ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,Mine de Fondugouffre,139,38,1,0
486,Mines inférieures,139,39,2,0
487,Pic Rochenoire,140,33,14,0
488,Cavernes de Rochenoire,140,34,15,0
489,Profondeurs de Rochenoire,140,35,16,0
490,La cave du Maître,141,44,23,0
491,Niveau inférieur de la cave,141,45,24,0
492,Orgrimmar,142,85,0,0
493,Faille de l’Ombre,142,86,1,0
496,La grotte Maudite,144,67,21,0
497,Caverne Vilespore,144,68,22,0
498,Donjon de Tiragarde,145,3,10,0
499,Grande salle,145,4,11,0
500,Tanière supérieure,146,60,4,0
501,Tanière inférieure,146,61,5,0
502,La cour,147,310,1,0
503,Salle à manger,147,311,2,0
504,Antre Vacant,147,312,3,0
505,Observatoire Inférieur,147,313,4,0
506,Observatoire Supérieur,147,314,5,0
507,Chambre du seigneur Godfrey,147,315,6,0
508,Le chemin de ronde,147,316,7,0
509,Les Mortemines,148,291,1,0
510,Crique du cuirassé,148,292,2,0
511,Le Bassin d’Ask’ar,149,221,1,0
512,Sanctuaire d’Écrin-de-Lune,149,222,2,0
513,Les bassins Oubliés,149,223,3,0
514,Hall des Gardiens,150,230,1,0
515,Siège de Khaz’goroth,150,231,2,0
516,Hall des Engrenages,151,226,1,0
517,Dortoir,151,227,2,0
518,Baie de lancement,151,228,3,0
519,Cour du Bricoleur,151,229,4,0
520,Cimetière,152,302,0,0
521,Bibliothèque,152,303,1,0
522,Armurerie,152,304,2,0
523,Cathédrale,152,305,3,0
524,Tazz’Alor,153,250,1,0
525,Tunnels de Toile-grouillante,153,251,2,0
526,Cité d’Hordemar,153,252,3,0
527,Salle de Main-Noire,153,253,4,0
528,Antre d’Halycon,153,254,5,0
529,Chambre de guerre,153,255,6,0
530,Quartier de détention,154,242,1,0
531,Ville des Ombreforge,154,243,2,0
532,Le Reliquaire,155,306,1,0
533,Chambre d’invocation,155,307,2,0
534,Étude supérieure,155,308,3,0
535,Bureau du proviseur,155,309,4,0
536,Place des Croisés,156,317,1,0
537,Le Défi,156,318,2,0
538,Cavernes de Maraudon,157,280,1,0
539,Tombe de Zaetar,157,281,2,0
540,Tram des profondeurs,158,499,1,0
541,Bar-Tabasse de Bizmo,158,500,2,0
542,Communs gordok,159,235,1,0
543,Grands jardins,159,236,2,0
544,Cour des Bien-nés,159,237,3,0
545,Prison d’Immol’thar,159,238,4,0
546,Quartier de Crochebois,159,239,5,0
547,Le sanctuaire d’Eldretharr,159,240,6,0
548,Garnison des Gueules-de-dragon,160,287,1,0
549,Halls des conflits,160,288,2,0
550,Laboratoires Cramoisis,160,289,3,0
551,Antre de Nefarian,160,290,4,0
552,Les souterrains de la ruche,161,319,1,0
553,Portes du Temple,161,320,2,0
554,Caveau de C’Thun,161,321,3,0
555,Quartiers des serviteurs,162,350,1,0
556,Écuries supérieures,162,351,2,0
557,La salle de banquet,162,352,3,0
558,Les Appartements des hôtes,162,353,4,0
559,Balcon de l’Opéra,162,354,5,0
560,Terrasse du Maître,162,355,6,0
561,Partie inférieure de l’Escalier brisé,162,356,7,0
562,Partie supérieure de l’Escalier brisé,162,357,8,0
563,La Ménagerie,162,358,9,0
564,Bibliothèque du Gardien,162,359,10,0
565,Le Dépôt,162,360,11,0
566,Bibliothèque supérieure,162,361,12,0
567,Le Guet céleste,162,362,13,0
568,Hall du Flambeur,162,363,14,0
569,Appartements de Medivh,162,364,15,0
570,Centrale électrique,162,365,16,0
571,Néantespace,162,366,17,0
572,Le quartier des Assemblages,163,162,1,0
573,Le quartier des Arachnides,163,163,2,0
574,Le quartier Militaire,163,164,3,0
575,Le quartier de la Peste,163,165,4,0
576,Partie inférieure de la Nécropole,163,166,5,0
577,Partie supérieure de la Nécropole,163,167,6,0
578,Le caveau de la Vapeur,164,263,1,0
579,Les bassins de refroidissement,164,264,2,0
580,Bloc de stase : Trion,165,269,1,0
581,Bloc de stase : Maximus,165,270,2,0
582,Cœur de confinement,165,271,3,0
583,Le Méchanar,166,267,1,0
584,Chambre des Calculs,166,268,2,0
585,Voile Sethekk,167,258,1,0
586,Les salles du Deuil,167,259,2,0
587,Les salles de l’Après-vie,168,256,1,0
588,Le pont des âmes,168,257,2,0
589,Égouts de Karabor,169,340,0,0
590,Temple noir,169,339,1,0
591,Sanctuaire des Ombres,169,341,2,0
592,Les salles de l’Angoisse,169,342,3,0
593,Veillée de Fielsang,169,343,4,0
594,Tanière des Délices mortelles,169,344,5,0
595,Chambre de commandement,169,345,6,0
596,Sommet du temple,169,346,7,0
597,Dalaran,170,125,1,0
598,Les Entrailles,170,126,2,0
599,Préparation de Njorndir,171,133,1,0
600,Ascension des Écorche-dragon,171,134,2,0
601,Terrasse de Tyr,171,135,3,0
602,Partie inférieure de la cime,172,136,1,0
603,Partie supérieure de la cime,172,137,2,0
604,Bague de variance,173,143,1,0
605,Bague d’accélération,173,144,2,0
606,Bague de transmutation,173,145,3,0
607,Bague d’alignement,173,146,4,0
608,Plateau du Puits de soleil,174,335,0,0
609,Sanctuaire de l’éclipse,174,336,1,0
610,Asile du grand magistère,175,348,1,0
611,Terrain d’observation,175,349,2,0
612,L’Épuration de Stratholme,176,130,0,0
613,Stratholme,176,131,1,0
614,Les antichambres de Drak’Tharon,177,160,1,0
615,Surplomb de Drak’Tharon,177,161,2,0
616,La Fosse des couvées,178,157,1,0
617,Le repaire d’Hadronox,178,158,2,0
618,La Porte dorée,178,159,3,0
619,Garnison inflexible,179,138,1,0
620,Promenade des Faiseurs,179,139,2,0
621,Ulduar,180,147,0,0
622,L’antichambre d’Ulduar,180,148,1,0
623,Le sanctum intérieur d’Ulduar,180,149,2,0
624,La prison de Yogg-Saron,180,150,3,0
625,L’Étincelle d’imagination,180,151,4,0
626,La Vue de l’esprit,180,152,5,0
627,Partie inférieure de la citadelle,181,186,1,0
628,Le rempart des Crânes,181,187,2,0
629,Cime du Porte-mort,181,188,3,0
630,Le repaire de la reine du Givre,181,189,4,0
631,Étages supérieurs,181,190,5,0
632,Quartiers royaux,181,191,6,0
633,Le Trône de glace,181,192,7,0
634,Deuillegivre,181,193,8,0
635,Salles Abyssales,182,322,1,0
636,Trône de Neptulon,182,323,2,0
637,La Voûte des lumières,183,297,1,0
638,Tombeau de l’Enrageterre,183,298,2,0
639,Les Quatre sièges,183,299,3,0
640,Salle d’incinération,184,283,1,0
641,La forge du Crépuscule,184,284,2,0
642,Niveau 1,185,208,1,0
643,Niveau 2,185,209,2,0
644,Tunnels miniers,186,177,3,0
645,Puits de mine,186,178,4,0
646,Le colisée d’Argent,187,172,1,0
647,Les Profondeurs glacées,187,173,2,0
648,Rez-de-chaussée,188,181,2,0
649,Étage supérieur,188,182,3,0
650,Le Hall brisé,189,285,1,0
651,Caveau de l’Ombreflamme,189,286,2,0
652,L’enclave du Crépuscule,190,294,1,0
653,Trône de l’Apocalypse,190,295,2,0
654,Les cavernes du Crépuscule,190,296,3,0
655,Terres de Feu,191,367,0,0
656,Enclume de la Déflagration,191,368,1,0
657,Donjon de Sulfuron,191,369,2,0
658,Salle du Croissant de lune,192,391,1,0
659,Le Commerce impérial,192,392,2,0
660,Le Pas de l’empereur,193,393,3,0
661,La Bourse impériale,193,394,4,0
662,Carrière supérieure,194,372,6,0
663,Carrière inférieure,194,373,7,0
664,Profondeurs supérieures,195,383,11,0
665,Profondeurs inférieures,195,384,12,0
666,Salles de Guo-Lai,196,395,18,0
667,La salle du Serpent,196,396,19,0
668,Ruines de Korune,197,386,20,0
669,Crypte de Korune,197,387,21,0
670,La Fin des temps,198,401,0,0
671,Sanctuaire draconique Azur,198,402,1,0
672,Sanctuaire draconique Rubis,198,403,2,0
673,Sanctuaire draconique Obsidien,198,404,3,0
674,Sanctuaire draconique Émeraude,198,405,4,0
675,Sanctuaire draconique Bronze,198,406,5,0
676,Heure du Crépuscule,199,399,0,0
677,Temple du Repos du ver,199,400,1,0
678,Monastère des Pandashan,200,443,0,0
679,Dojo de Foudre des Nuages,200,444,1,0
680,Dojo de Banc de Neige,200,445,2,0
681,Chambres scellées,200,446,3,0
682,Temple du Serpent de jade,201,429,1,0
683,Sanctum du Gardien des parchemins,201,430,2,0
684,Silo à Grains,202,439,1,0
685,Salle de brassage Brune d’Orage,202,440,2,0
686,La Grande Roue,202,441,3,0
687,Chambre de Dégustation,202,442,4,0
688,Porte du Soleil couchant,203,437,1,0
689,Tour de guet de la Porte,203,438,2,0
690,Âme des dragons,204,409,0,0
691,Gueule de Go’rath,204,410,1,0
692,Gueule de Shu’ma,204,411,2,0
693,L’Œil de l’éternité,204,412,3,0
694,Canonnière le Brûleciel,204,413,4,0
695,Échine d’Aile de mort,204,414,5,0
696,Le Maelström,204,415,6,0
697,Salle de l’Assemblée cramoisie,205,453,1,0
698,Caveaux des Rois d’antan,205,454,2,0
699,Trône des anciens Conquérants,205,455,3,0
700,Terrain d’entraînement,206,431,1,0
701,Athenaeum,206,432,2,0
702,Cloître solitaire,207,435,1,0
703,Chapelle des Croisés,207,436,2,0
704,Le Reliquaire,208,476,1,0
705,Chambre d’invocation,208,477,2,0
706,Étude supérieure,208,478,3,0
707,Bureau du proviseur,208,479,4,0
708,Tribune des Conquérants,209,471,1,0
709,Le Dépôt,209,472,2,0
710,Forge des Éternels,209,473,3,0
711,Oratoire de la Voix,210,474,1,0
712,Cœur de la peur,210,475,2,0
713,Siège du temple de Niuzao,211,457,0,0
714,L’Arbre creux,211,458,1,0
715,Anneau supérieur de l’arbre,211,459,2,0
716,Chambre funéraire supérieure,212,481,1,0
717,Profondeurs des cryptes,212,482,2,0
718,Excavations de l’Alliance,213,419,1,0
719,Ruines d’Ogudei,213,420,2,0
720,Incursion du Reliquaire,213,421,3,0
