Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Armi,LivOg,1,3,0,13,100,0,0,1
Una mano,LivOg,2,0,0,0,10,1,0,1
Asce a una mano,LivOg,3,3,3,0,10,2,0,1
Mazze a una mano,LivOg,4,3,7,0,20,2,0,1
Spade a una mano,LivOg,5,3,10,0,30,2,0,1
Lame da Guerra,LivOg,6,3,12,0,40,2,0,1
Pugnali,LivOg,7,3,18,0,50,2,0,1
Tirapugni,LivOg,8,3,16,0,60,2,0,1
Bacchette,LivOg,9,3,56,0,70,2,0,1
Due mani,LivOg,10,0,0,0,20,1,0,1
Asce a due mani,LivOg,11,3,4,0,10,10,0,1
Mazze a due mani,LivOg,12,3,8,0,20,10,0,1
Spade a due mani,LivOg,13,3,11,0,30,10,0,1
Armi ad asta,LivOg,14,3,9,0,40,10,0,1
Bastoni,LivOg,15,3,13,0,50,10,0,1
A distanza,LivOg,16,0,0,0,30,1,0,1
Archi,LivOg,17,3,5,0,10,16,0,1
Balestre,LivOg,18,3,55,0,20,16,0,1
Armi da fuoco,LivOg,19,3,6,0,30,16,0,1
Armi da lancio,LivOg,20,3,34,0,40,16,0,1
Varie,LivOg,21,0,0,0,40,1,0,1
Canne da pesca,LivOg,22,3,57,0,10,21,0,1
Altro,LivOg,23,3,17,0,20,21,0,1
Armature,LivOg,24,5,0,0,200,0,0,1
Piastre,LivOg,25,5,23,0,10,24,0,1
Incisione Runica,LivOg,26,5,23,0,10,25,13,1
Testa,LivOg,27,5,23,1,20,25,0,1
Spalle,LivOg,28,5,23,3,30,25,0,1
Torso,LivOg,29,5,23,5,40,25,0,1
Fianchi,LivOg,30,5,23,6,50,25,0,1
Gambe,LivOg,31,5,23,7,60,25,0,1
Piedi,LivOg,32,5,23,8,70,25,0,1
Polsi,LivOg,33,5,23,9,80,25,0,1
Mani,LivOg,34,5,23,10,90,25,0,1
Maglia,LivOg,35,5,22,0,20,24,0,1
Incisione Runica,LivOg,36,5,22,0,10,35,13,1
Testa,LivOg,37,5,22,1,20,35,0,1
Spalle,LivOg,38,5,22,3,30,35,0,1
Torso,LivOg,39,5,22,5,40,35,0,1
Fianchi,LivOg,40,5,22,6,50,35,0,1
Gambe,LivOg,41,5,22,7,60,35,0,1
Piedi,LivOg,42,5,22,8,70,35,0,1
Polsi,LivOg,43,5,22,9,80,35,0,1
Mani,LivOg,44,5,22,10,90,35,0,3
Cuoio,LivOg,45,5,21,0,30,24,0,1
Incisione Runica,LivOg,46,5,21,0,10,45,13,1
Testa,LivOg,47,5,21,1,20,45,0,1
Spalle,LivOg,48,5,21,3,30,45,0,1
Torso,LivOg,49,5,21,5,40,45,0,1
Fianchi,LivOg,50,5,21,6,50,45,0,1
Gambe,LivOg,51,5,21,7,60,45,0,1
Piedi,LivOg,52,5,21,8,70,45,0,1
Polsi,LivOg,53,5,21,9,80,45,0,1
Mani,LivOg,54,5,21,10,90,45,0,1
Stoffa,LivOg,55,5,20,0,40,24,0,1
Incisione Runica,LivOg,56,5,20,0,10,55,13,1
Testa,LivOg,57,5,20,1,20,55,0,1
Spalle,LivOg,58,5,20,3,30,55,0,1
Torso,LivOg,59,5,20,5,40,55,0,1
Fianchi,LivOg,60,5,20,6,50,55,0,1
Gambe,LivOg,61,5,20,7,60,55,0,1
Piedi,LivOg,62,5,20,8,70,55,0,1
Polsi,LivOg,63,5,20,9,80,55,0,1
Mani,LivOg,64,5,20,10,90,55,0,1
Varie,LivOg,65,5,19,0,50,24,0,1
Incisione Runica,LivOg,66,5,19,0,10,65,13,1
Collo,LivOg,67,5,19,2,20,65,0,1
Schiena,LivOg,68,5,20,16,30,65,0,1
Dita,LivOg,69,5,19,11,40,65,0,1
Monili,LivOg,70,5,19,12,50,65,0,1
Accessori,LivOg,71,5,19,23,60,65,0,1
Scudi,LivOg,72,5,25,14,70,65,0,3
Camicie,LivOg,73,5,19,4,80,65,0,1
Testa,LivOg,74,5,19,1,90,65,0,1
Cosmetico,LivOg,75,5,24,0,60,24,0,1
Contenitori,Scomparti,76,2,0,0,300,0,0,2
Sacca,Scomparti,77,2,2,0,10,76,0,2
Sacca da minatore,Scomparti,78,2,118,0,20,76,0,2
Cassetta da pescatore,Scomparti,79,2,171,0,30,76,0,2
Sacche da runografo,Scomparti,80,2,167,0,40,76,0,2
Sacche da conciatore,Scomparti,81,2,149,0,50,76,0,2
Sacche da erbalista,Scomparti,82,2,109,0,60,76,0,2
Sacca da incantatore,Scomparti,83,2,110,0,70,76,0,2
Sacca da ingegnere,Scomparti,84,2,111,0,80,76,0,2
Sacca da orafo,Scomparti,85,2,116,0,90,76,0,2
Sacca da cuoco,Scomparti,86,2,179,0,100,76,0,2
Gemme,LivOg,87,4,0,0,400,0,0,1
Reliquia di Artefatto,LivOg,88,4,187,0,10,87,0,1
Intelletto,LivOg,89,4,36,0,20,87,0,1
Agilità,LivOg,90,4,119,0,30,87,0,1
Forza,LivOg,91,4,120,0,40,87,0,1
Tempra,LivOg,92,4,121,0,50,87,0,1
Critico,LivOg,93,4,123,0,60,87,0,1
Maestria,LivOg,94,4,124,0,70,87,0,1
Celerità,LivOg,95,4,125,0,80,87,0,1
Versatilità,LivOg,96,4,126,0,90,87,0,1
Altro,LivOg,97,4,169,0,100,87,0,1
Statistiche multiple,LivOg,98,4,170,0,110,87,0,1
Potenziamenti oggetto,LivOg,99,9,0,0,500,0,0,1
Torso,LivOg,100,9,191,0,10,99,0,1
Polsi,LivOg,101,9,192,0,20,99,0,1
Mani,LivOg,102,9,193,0,30,99,0,1
Varie,LivOg,103,9,201,0,40,99,0,1
Testa,LivOg,104,9,48,0,50,99,0,1
Armi a due mani,LivOg,105,9,199,0,60,99,0,1
Scudo/Mano secondaria,LivOg,106,9,200,0,70,99,0,1
Spalle,LivOg,107,9,189,0,80,99,0,1
Schiena,LivOg,108,9,190,0,90,99,0,1
Arma,LivOg,109,9,198,0,100,99,0,1
Dita,LivOg,110,9,197,0,110,99,0,1
Piedi,LivOg,111,9,196,0,120,99,0,1
Gambe,LivOg,112,9,195,0,130,99,0,1
Fianchi,LivOg,113,9,194,0,140,99,0,1
Consumabili,Livello,114,1,0,0,600,0,0,3
Rune Vantus,Livello,115,1,184,0,10,114,0,3
Tonici e Fiale,Livello,116,1,131,0,20,114,0,3
Esplosivi e congegni,Livello,117,1,43,0,30,114,0,3
Pozioni,Livello,118,1,44,0,40,114,0,3
Elisir,Livello,119,1,45,0,50,114,0,3
Cibo e bevande,Livello,120,1,133,0,60,114,0,3
Bende,Livello,121,1,135,0,70,114,0,3
Altro,Livello,122,1,136,0,80,114,0,3
Glifi,,123,17,0,0,700,0,0,0
Druido,,124,17,161,0,10,123,0,0
Stregone,,125,17,160,0,20,123,0,0
Mago,,126,17,159,0,30,123,0,0
Sciamano,,127,17,158,0,40,123,0,0
Sacerdote,,128,17,157,0,50,123,0,0
Ladro,,129,17,156,0,60,123,0,0
Cacciatore,,130,17,155,0,70,123,0,0
Paladino,,131,17,154,0,80,123,0,0
Cavaliere della Morte,,132,17,162,0,90,123,0,0
Monaco,,133,17,177,0,100,123,0,0
Guerriero,,134,17,153,0,110,123,0,0
Cacciatore di Demoni,,135,17,183,0,120,123,0,0
Beni commerciali,,136,8,0,0,800,0,0,0
Stoffa,,137,8,137,0,10,136,0,0
Cuoio,,138,8,138,0,20,136,0,0
Metallo e pietra,,139,8,139,0,30,136,0,0
Cucina,,140,8,140,0,40,136,0,0
Erbe,,141,8,141,0,50,136,0,0
Incantamento,,142,8,148,0,50,136,0,0
Runografia,,143,8,185,0,60,136,0,0
Oreficeria,,144,8,115,0,70,136,0,0
Componenti,,145,8,38,0,80,136,0,0
Elementale,,146,8,142,0,90,136,0,0
Reagenti Facoltativi,,147,8,327,0,100,136,0,0
Altro,,148,8,143,0,120,136,0,0
Ricette,Competenza,149,10,0,0,900,0,0,4
Runografia,Competenza,150,10,168,0,10,149,0,4
Sartoria,Competenza,151,10,42,0,20,149,0,4
Conciatura,Competenza,152,10,41,0,30,149,0,4
Oreficeria,Competenza,153,10,106,0,40,149,0,4
Alchimia,Competenza,154,10,102,0,50,149,0,4
Forgiatura,Competenza,155,10,100,0,60,149,0,4
Ingegneria,Competenza,156,10,99,0,70,149,0,4
Incantamento,Competenza,157,10,104,0,80,149,0,4
Cucina,Competenza,158,10,101,0,90,149,0,4
Primo soccorso,Competenza,159,10,103,0,100,149,0,4
Pesca,Competenza,160,10,105,0,110,149,0,4
Libro,Competenza,161,10,40,0,120,149,0,4
Mascotte da combattimento,Livello,162,18,0,0,1000,0,0,3
Mascotte,Livello,163,16,145,0,1000,162,0,3
Oggetti di missione,,164,13,0,0,1100,0,0,0
