Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",1,840,16,833
GBP,%s £,%s £,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",2,826,16,836
KRW,%s*,%s Monete Battle.net,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato i termini e le condizioni relativi a questa transazione (incluse le 
|HurlIndex:9|h|cff71d5ffCondizioni di Vendita|r|h, la |HurlIndex:8|h|cff71d5ffPolitica per i rimborsi|r|h e la |HurlIndex:13|h|cff71d5ffPolitica sulla privacy|r|h) e di voler procedere col pagamento.",3,410,48,834
EUR,%s €,%s €,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",4,978,16,836
RUB,%s p.,%s p.,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",5,643,16,836
COP,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",6,170,4,833
PEN,%s S/.,%s S/.,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",7,604,4,833
ARS,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",8,32,0,833
CLP,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",9,152,0,833
MXN,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",10,484,0,833
BRL,%s R$,%s R$,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",11,986,0,833
AUD,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",12,36,0,833
SGD,%s $,%s $,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",13,702,0,833
CPT,%s*,%s Monete Battle.net,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:18|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:19|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",14,15,32,848
TPT,NT$%s,NT$%s,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:10|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:20|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,%s ¥,%s ¥,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",28,392,4,833
CAD,%s CAD,%s CAD,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",29,124,0,833
NZD,%s NZD,%s NZD,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",30,554,0,833
GEL,%s GEL,%s GEL,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",31,981,16,836
TRY,%s TRY,%s TRY,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",32,949,16,2020
KZT,%s KZT,%s KZT,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",33,398,16,836
UAH,%s UAH,%s UAH,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",34,980,16,836
HKD,%s HK$,%s HK$,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:10|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:20|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",35,344,16,840
AED,%s AED,%s AED,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",38,784,16,836
BGN,%s лв,%s лв,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",39,975,16,836
CHF,%s Fr.,%s Fr.,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",40,756,16,836
CZK,%s CZK,%s CZK,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",41,203,16,836
DKK,%s kr.,%s kr.,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",42,208,16,836
ILS,%s ILS,%s ILS,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",43,376,16,836
