ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
7,Mano di Alexander,La mascotte corre verso un nemico e gli infligge danni.,132109,2,0,0,0
70,Heal Back Line Test,"Cura le riserve di 50, ma ha un tempo di recupero di 2 turni.",135915,0,2,0,0
71,Prova di Danno,,135807,6,0,0,0
72,Prova Multieffetto,,135817,0,0,0,0
73,Prova Multiturno,"Morde il bersaglio, infliggendo [StandardDamage(1,1)] danni istantaneamente e [StandardDamage(2,1)] danni al turno successivo.

Dura [numTurns()] |4turno:turni;.",0,1,0,0,0
74,Prova Multieffetto e Multiturno,,0,1,0,0,0
77,Trappola Resistente,Prova a catturare una mascotte che abbia meno del 35% di salute. La probabilità di catturarla aumenta del 25% ogni volta che fallisce.,646380,0,0,0,6
78,Prova Applicazione Danno Periodico,,0,0,5,0,0
79,Prova Danno Aura 10,,0,-1,0,0,0
80,Apply Aura Test,,237179,0,0,0,0
81,Prova Aura Bomba 75,,0,0,0,0,0
82,Applica Danno Periodico Costante,,0,6,0,0,0
83,Apply Pad Aura Test,,460858,2,0,0,0
84,PadAuraTest,,132325,-1,0,104,0
85,Applica Prova Stordimento,,135891,1,0,0,0
86,Prova Aura Stordente,asdfasdfasdf,135906,-1,0,103,0
87,Apply Swap Lock,,460694,9,0,0,0
88,Swap Lock Aura,,132089,-1,0,0,0
97,Colpo Stordente,,0,6,0,0,0
110,Morso,"|cffffffffProbabilità d'impatto:|r [StandardAccuracy(1,1)]

Morde il nemico, infliggendo [StandardDamage(1,1)] danni [School()].",132127,7,0,0,0
111,Cazzotto,"|cffffffffProbabilità d'impatto:|r [StandardAccuracy(1,1)]

Tira un cazzotto al nemico, infliggendo [StandardDamage(1,1)] danni [School()].",132298,0,0,0,0
112,Beccata,"|cffffffffProbabilità d'impatto:|r [StandardAccuracy(1,1)]

Colpisce il nemico con il becco affilato, infliggendo [StandardDamage(1,1)] danni [School()].",133707,2,0,0,0
