ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,Volontà dei Reietti,"Puoi rimuovere paura, sonno e ammaliamento.","Dissolvi gli effetti di ammaliamento, paura e sonno",136187,0,5
2,Cannibalismo,Puoi consumare i cadaveri per rigenerare salute e mana.,Consumi i cadaveri per rigenerare salute e mana,132278,1,5
3,Tocco Tombale,Puoi risucchiare la vita dei nemici.,Risucchi la salute dei nemici,136157,2,5
4,Resistenza all'Ombra,Resistenza ai danni da ombra.,Resistenza ai danni da ombra,136152,3,5
5,Spirito Umano,"Aumentano gli indici di celerità, critico, maestria e versatilità.","Celerità, probabilità di critico, maestria e versatilità aumentate",132874,0,1
6,Aria di Casa,Bonus all'efficacia della Pietra del Ritorno,Bonus all'efficacia della Pietra del Ritorno,134328,1,1
7,Volontà di Ferro,Dissolve gli effetti di stordimento.,Dissolvi gli effetti di stordimento,136129,2,1
8,Forma di Pietra,Puoi assumere la Forma di Pietra.,Puoi assumere la Forma di Pietra,136225,0,3
9,Vigore della Montagna,Aumenta gli effetti dei colpi critici.,Effetti dei colpi critici aumentati,133042,1,3
10,Resistenza al Gelo,Resistenza ai danni da gelo.,Resistenza ai danni da gelo,135865,2,3
11,Esplorazione,Aumenta i frammenti ritrovati con Archeologia e la velocità di rilevamento.,Trovi più frammenti con Archeologia e li rilevi più velocemente,237387,3,3
98,Storia Antica,Aumenta la competenza in Runografia.,Competenza in Runografia aumentata,1723985,4,27
99,Affinità Magica,Aumenta i danni magici inflitti.,Danni magici inflitti aumentati,1723986,2,27
100,Grimorio Postale,Evochi un libro volante che funziona da cassetta della posta.,Evochi un libro volante che funziona da cassetta della posta,1723988,1,27
101,Abbraccio Entropico,Le abilità hanno una probabilità di attivare il potenziamento dell'essenza del Vuoto.,Vieni potenziato dal Vuoto,1723992,1,29
102,Connessione Eterea,Riduce il costo della Banca Eterea e della Trasmogrificazione.,Costo della Banca Eterea e della Trasmogrificazione ridotto,1723993,3,29
103,Quiete Sovrannaturale,I lanci di incantesimi non vengono ritardati quando si subiscono danni.,Il lancio d'incantesimi non viene ritardato dai danni subiti,1724001,2,29
104,Brivido della Notte,Resistenza ai danni da ombra.,Resistenza ai danni da ombra,1723989,4,29
105,Fenditura Spaziale,Apre una fenditura nello spazio per teletrasportarsi in una destinazione.,Ti teletrasporti attraverso una fenditura nello spazio,1724004,0,29
106,Resistenza all'Arcano,Resistenza ai danni da arcano.,Resistenza ai danni da arcano,1723997,3,27
107,Impulso Arcano,Puoi infliggere danni ai nemici vicini e intrappolarli.,Infliggi danni e intrappola i nemici vicini,1851463,0,27
108,Scatto del Toro,"Puoi eseguire una carica in avanti, facendo cadere i nemici.","Carichi in avanti, facendo cadere i nemici",1723987,0,28
109,Orgoglio dei Corno Ferreo,Aumenta la competenza in Estrazione e la velocità di raccolta dei minerali.,Competenza in Estrazione e velocità di raccolta aumentate,1724002,4,28
110,Il Risparmio è il Miglior Guadagno,Fornisce una probabilità di raccogliere carne e pesci aggiuntivi.,Hai una probabilità di raccogliere carne e pesci aggiuntivi,1724005,3,28
111,Familiarità: Montagne,Aumenta l'indice di versatilità.,Versatilità aumentata,1723999,2,28
112,Robustezza Tenace,Riduce i danni subiti dagli attacchi.,Danni subiti dagli attacchi ridotti,1724003,1,28
113,Giudizio della Luce,Infligge ingenti danni da sacro in un'area bersaglio.,Infliggi ingenti danni da sacro in un'area bersaglio,1724000,0,30
114,Resistenza al Sacro,Riduce i danni da sacro subiti.,Resistenza ai danni da sacro,1723996,2,30
115,Dottrina della Luce,"Alla morte, infligge danni da sacro ai nemici vicini e cura gli alleati vicini.","Alla morte esplodi, infliggendo danni da sacro ai nemici vicini e curando gli alleati vicini",1723994,1,30
116,Forgia di Luce,Aumenta la competenza in Forgiatura e ti consente di evocare un'incudine.,Competenza in Forgiatura aumentata e puoi evocare una forgia,1723995,3,30
117,Flagellademoni,Aumenta l'esperienza guadagnata dall'uccisione di demoni.,Esperienza guadagnata dall'uccisione di demoni aumentata,1723990,4,30
118,Sangue Infuocato,Dissolve gli effetti dannosi e potenzia.,Dissolvi gli effetti dannosi per potenziarti,1786406,0,34
119,Scavatore delle Caverne,Aumenta la velocità di movimento al coperto.,Ti muovi più velocemente al coperto,1786405,1,34
120,Produzione di Massa,Aumenta la competenza in Forgiatura e la velocità di creazione degli oggetti tramite Forgiatura.,Competenza in Forgiatura e velocità di produzione aumentate,1786408,2,34
121,Trivella,"Se ti trovi all'esterno, evochi una trivella che attraversa la terra.",Evochi una trivella per attraversare la terra,1786409,3,34
122,Forgiato nelle Fiamme,Riduce i danni fisici subiti.,Danni fisici subiti ridotti,1786407,4,34
123,Richiamo Ancestrale,Invoca il potere degli antenati e fornisce le loro abilità.,Invochi gli antenati per riceverne il potere,2021574,0,36
124,A Cielo Aperto,Aumenta la velocità su cavalcatura all'esterno.,Ti muovi più velocemente su una cavalcatura all'esterno,2021575,1,36
125,Vigore Empatico,Aumenta la salute del famiglio o del servitore.,Salute del famiglio o del servitore aumentata,2021577,2,36
126,Sangue Selvaggio,"Riduce la durata degli effetti subiti di veleno, malattia e maledizione.","Durata degli effetti di veleni, malattie e maledizioni ridotta",2021576,3,36
127,Rigenerazione,Puoi concentrarti per rigenerare salute rapidamente in un breve lasso di tempo.,Curi te stesso rapidamente in un breve lasso di tempo,1850550,0,31
128,Abbraccio del Loa,Venerare un Loa permette di ottenere uno tra sei potenti benefici.,Veneri un Loa per ottenere uno tra sei potenti benefici,1850548,1,31
129,Città d'Oro,Puoi depredare oro aggiuntivo dalle creature.,Depredi oro aggiuntivo dalle creature,1850547,2,31
130,Picchiata dello Pterrordattilo,Evochi uno pterrordattilo che riduce la velocità di caduta.,Evochi uno pterrordattilo che riduce la velocità di caduta,1850549,3,31
131,Martellata,"Schiaccia il nemico, stordendolo e respingendolo.","Schiacci il nemico, stordendolo e respingendolo",2447782,0,32
132,Tuttologo,Aumenta tutte le competenze nelle professioni.,Competenza aumentata in tutte le professioni,2447783,1,32
133,Sbrinata del Vecchio Marinaio,Resistenza ai danni da gelo e da natura.,Resistenza ai danni da gelo e da natura,2447784,2,32
