ID,Name_lang,Flags,ExpansionID,ParentCategoryID
1,Varie,16,0,0
2,Personaggio vs Personaggio,16,0,0
3,Non usato,19,0,0
4,Classico,16,0,257
21,Wrath of the Lich King,16,2,257
22,Spedizioni e Incursioni,16,0,0
23,Burning Crusade,16,1,257
41,Prova,0,0,0
81,Cataclysm,16,3,257
82,Archeologia,4,0,0
89,Meta,4,0,0
133,Mists of Pandaria,16,4,257
137,Warlords of Draenor,16,5,257
141,Legion,16,6,257
142,Nascosto,4,0,0
143,Battle for Azeroth,16,7,257
144,Virtuale,8,0,0
245,Shadowlands,16,8,257
246,Debug,0,0,0
248,Torghast UI (Hidden),4,8,0
250,Dragonflight,16,9,257
251,Dragon Racing UI (Hidden),4,9,0
252,Tuskarr - Reti da pesca (Nascosto),4,9,0
253,Test Subcategory 1,4,8,256
254,Test Subcategory 2,4,8,253
255,Test Subcategory 3,4,8,245
256,Test Subcategory 4,4,8,245
257,Oggetto del passato,16,0,0
260,War Within,16,10,257
263,Stagione 2,0,10,260
264,Midnight,0,11,0
265,Stagione 3,0,10,260
266,Corse nel Tempo,16,10,1
268,Stagione 1,17,11,264
277,Stagione 2,17,11,264
278,Interfaccia Punteggio Siti (Nascosta),4,11,0
280,Professioni,16,11,264
281,Scorribande,16,11,264
282,Emblemi,16,11,264
283,Zone,16,11,264
284,Funzionalità,16,11,264
