Field_9_2_0_42174_000_lang,ID,Season,Field_9_2_0_41827_001,ExpansionID,Field_10_0_2_45779_004,DelvesSeasonID
Sconfiggi %d boss dell'Incursione: Castello di Nathria,10,5,1,8,1,0
Sconfiggi %d boss dell'Incursione: Sanctum del Dominio,11,6,2,8,1,0
Sconfiggi %d boss dell'Incursione: Sepolcro dei Primi,12,7,3,8,1,0
Sconfiggi %d boss in un'incursione Predestinata,17,8,4,8,1,0
Sconfiggi %d boss delle Segrete delle Incarnazioni,19,9,1,9,2,0
"Sconfiggi %d boss dell'Aberrus, il Crogiolo d'Ombra",21,10,2,9,2,0
"Sconfiggi %d boss ad Amirdrassil, Speranza del Sogno",22,11,3,9,2,0
Sconfiggi %d boss in un'incursione Risvegliata,23,12,4,9,2,0
Sconfiggi %d boss nel Palazzo dei Nerub'ar,24,13,1,10,3,1
Sconfiggi %d boss della Liberazione di Cavafonda,25,14,2,10,3,2
