ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,Estraneo,2,0,0
2,Conoscente,2,8400,0
3,Compagno,2,16800,0
4,Amico,2,25200,0
5,Amico Intimo,2,33600,0
6,Miglior Amico,2,42000,0
59,Estraneo,16,0,0
60,Conoscente,16,8400,0
61,Compagno,16,16800,0
62,Amico,16,25200,0
63,Amico Intimo,16,33600,0
64,Miglior Amico,16,42000,0
65,Estraneo,17,0,0
66,Conoscente,17,8400,0
67,Compagno,17,16800,0
68,Amico,17,25200,0
69,Amico Intimo,17,33600,0
70,Miglior Amico,17,42000,0
71,Estraneo,18,0,0
72,Conoscente,18,8400,0
73,Compagno,18,16800,0
74,Amico,18,25200,0
75,Amico Intimo,18,33600,0
76,Miglior Amico,18,42000,0
77,Estraneo,19,0,0
78,Conoscente,19,8400,0
79,Compagno,19,16800,0
80,Amico,19,25200,0
81,Amico Intimo,19,33600,0
82,Miglior Amico,19,42000,0
83,Estraneo,20,0,0
84,Conoscente,20,8400,0
85,Compagno,20,16800,0
86,Amico,20,25200,0
87,Amico Intimo,20,33600,0
88,Miglior Amico,20,42000,0
89,Estraneo,21,0,0
90,Conoscente,21,8400,0
91,Compagno,21,16800,0
92,Amico,21,25200,0
93,Amico Intimo,21,33600,0
94,Miglior Amico,21,42000,0
95,Estraneo,22,0,0
96,Conoscente,22,8400,0
97,Compagno,22,16800,0
98,Amico,22,25200,0
99,Amico Intimo,22,33600,0
100,Miglior Amico,22,42000,0
101,Estraneo,23,0,0
102,Conoscente,23,8400,0
103,Compagno,23,16800,0
104,Amico,23,25200,0
105,Amico Intimo,23,33600,0
106,Miglior Amico,23,42000,0
107,Estraneo,24,0,0
108,Conoscente,24,8400,0
109,Compagno,24,16800,0
110,Amico,24,25200,0
111,Amico Intimo,24,33600,0
112,Miglior Amico,24,42000,0
113,Apprendista,25,0,0
114,Apprendista,25,8400,0
115,Praticante,25,16800,0
116,Praticante,25,25200,0
117,Praticante,25,33600,0
118,Esperto,25,42000,0
119,Estraneo,26,0,0
120,Compare,26,8400,0
121,Compagno,26,16800,0
122,Amico,26,25200,0
123,Miglior Amico,26,42000,0
124,Amico Intimo,26,33600,0
127,Grado 1,28,0,0
128,Grado 2,28,1000,0
129,Grado 3,28,2000,0
130,Grado 4,28,3000,0
131,Grado 5,28,4000,0
132,Grado 6,28,5000,0
133,Grado 7,28,6000,0
192,Grado 1,43,0,0
193,Grado 2,43,1000,0
194,Grado 3,43,2000,0
195,Grado 4,43,3000,0
196,Grado 5,43,4000,0
197,Grado 6,43,5000,0
198,Grado 7,43,6000,0
271,Grado Massimo,43,7000,0
272,Grado Massimo,28,7000,0
288,non rifornita,72,0,0
289,rifornita,72,10000,0
416,Guardia del Corpo,160,0,0
417,Guardia Fidata,160,10000,0
418,Scorta Personale,160,20000,0
422,Guardia del Corpo,162,0,0
423,Guardia Fidata,162,10000,0
424,Scorta Personale,162,20000,0
425,Guardia del Corpo,163,0,0
426,Guardia Fidata,163,10000,0
427,Scorta Personale,163,20000,0
428,Guardia del Corpo,164,0,0
429,Guardia Fidata,164,10000,0
430,Scorta Personale,164,20000,0
431,Guardia del Corpo,165,0,0
432,Guardia Fidata,165,10000,0
433,Scorta Personale,165,20000,0
434,Guardia del Corpo,166,0,0
435,Guardia Fidata,166,10000,0
436,Scorta Personale,166,20000,0
437,Guardia del Corpo,167,0,0
438,Guardia Fidata,167,10000,0
439,Scorta Personale,167,20000,0
443,Grado 1,171,0,0
444,Grado 2,171,1000,0
445,Grado 3,171,2000,0
446,Grado 4,171,3000,0
447,Grado 5,171,4000,0
448,Grado 6,171,5000,0
449,Grado 7,171,6000,0
450,Grado 8,171,7000,0
451,Grado 1,172,0,0
452,Grado 2,172,1000,0
453,Grado 3,172,2000,0
454,Grado 4,172,3000,0
455,Grado 5,172,4000,0
456,Grado 6,172,5000,0
457,Grado 7,172,6000,0
458,Grado 8,172,7000,0
466,indebolita,181,0,0
467,stabile,181,100,0
471,indebolita,182,0,0
472,stabile,182,100,0
473,potenziata,182,150,0
476,indebolita,183,0,0
477,sazia,183,200,0
481,Grado 9,171,8000,0
482,Grado Massimo,171,9000,0
483,Grado 9,172,8000,0
484,Grado Massimo,172,9000,0
485,Stato 0 - Seguace,184,0,0
486,Stato 2 - Capitolo 2,184,21000,0
487,Stato 1 - Capitolo 1,184,45000,0
488,Stato 3 - Capitolo 3,184,60000,0
489,indebolita,185,0,0
490,stabile,185,100,0
520,Estraneo,193,0,0
521,Compare,193,8400,0
522,Compagno,193,16800,0
523,Amico,193,25200,0
524,Amico Intimo,193,33600,0
525,Miglior Amico,193,42000,0
530,Studente,195,0,0
531,Specializzando Inesperto,195,1000,0
532,Specializzando Esperto,195,2000,0
533,Primo Rinforzo,195,3000,0
534,sazia,185,200,0
535,sazia,181,200,0
536,stabile,183,100,0
543,Guardia del Corpo,198,0,0
544,Guardia Fidata,198,10000,0
545,Scorta Personale,198,20000,0
546,Estraneo,199,0,0
547,Compare,199,8400,0
548,Compagno,199,16800,0
550,Amico,199,25200,0
551,Amico Intimo,199,33600,0
552,Estraneo,200,0,0
553,Compare,200,8400,0
554,Compagno,200,16800,0
555,Amico Intimo,200,33600,0
556,Miglior Amico,200,42000,0
562,Estraneo,202,0,0
563,Compare,202,8400,0
564,Compagno,202,16800,0
565,Amico Intimo,202,33600,0
566,Miglior Amico,202,42000,0
572,Estraneo,204,0,0
573,Compare,204,8400,0
574,Compagno,204,16800,0
575,Amico Intimo,204,33600,0
576,Miglior Amico,204,42000,0
582,Estraneo,206,0,0
583,Compare,206,8400,0
584,Compagno,206,16800,0
585,Amico Intimo,206,33600,0
586,Miglior Amico,206,42000,0
592,Estraneo,208,0,0
593,Tipo Strano,208,8400,0
594,Tipo Affidabile,208,16800,0
595,Amico Benevolo,208,33600,0
596,Miglior Amico,208,42000,0
597,Miglior Amico,199,42000,0
598,Amico,200,25200,0
599,Amico,202,25200,0
600,Amico,204,25200,0
601,Amico,206,25200,0
602,Amico,208,25200,0
603,Draghetto,209,0,0
604,Allievo Temporale,209,1000,0
605,Erologo,209,2500,0
606,Cronoamico,209,4500,0
607,Alleato di Bronzo,209,7000,0
608,Guaritore delle Ere,209,10000,0
609,Signore delle Ere,209,15000,0
611,Grado 1,210,0,0
612,Grado 2,210,1000,0
613,Grado 3,210,2000,0
614,Grado 4,210,3000,0
615,Grado 5,210,4000,0
616,Grado 6,210,5000,0
617,Grado 7,210,6000,0
618,Grado 8,210,7000,0
619,Grado 9,210,8000,0
620,Grado Massimo,210,9000,0
631,Grado 1,212,0,0
632,Grado 2,212,1000,0
633,Grado 3,212,2000,0
634,Grado 4,212,3000,0
635,Grado 5,212,4000,0
636,Grado 6,212,5000,0
637,Grado 7,212,6000,0
638,Grado 8,212,7000,0
639,Grado 9,212,8000,0
640,Grado Massimo,212,9000,0
641,Pulcino,213,0,0
642,Cucciolo,213,5000,0
643,Adolescente,213,15000,0
644,Adulto,213,30000,0
746,Neonato,315,0,0
750,Grado 1,316,0,0
751,Grado 2,316,300,0
752,Grado 3,316,600,0
753,Grado 4,316,900,0
754,Grado 1,317,0,0
755,Grado 2,317,300,0
756,Grado 3,317,600,0
757,Grado 4,317,900,0
758,Grado 1,318,0,0
760,Grado 3,318,600,0
761,Grado 4,318,900,0
766,Grado 1,320,0,0
767,Grado 2,320,300,0
768,Grado 3,320,600,0
769,Grado 4,320,900,0
774,Grado 5,316,1200,0
775,Grado 6,316,1500,0
776,Grado 7,316,1800,0
777,Grado 8,316,2100,0
778,Grado 9,316,2400,0
779,Grado 10,316,2700,0
780,Grado 11,316,3000,0
781,Grado 12,316,3300,0
782,Grado 13,316,3600,0
783,Grado 14,316,3900,0
784,Grado 15,316,4200,0
785,Grado 16,316,4500,0
786,Grado 17,316,4800,0
787,Grado 18,316,5100,0
788,Grado 19,316,5400,0
789,Grado 20,316,5700,0
790,Grado 21,316,6000,0
791,Grado 22,316,6300,0
792,Grado 23,316,6600,0
793,Grado 24,316,6900,0
794,Grado 25,316,7200,0
795,Grado 26,316,7500,0
796,Grado 27,316,7800,0
797,Grado 28,316,8100,0
798,Grado 29,316,8400,0
799,Grado 30,316,8700,0
821,Cucciolo,315,4000,0
822,Adulto,315,8000,0
823,Grado 5,320,1200,0
824,Grado 6,320,1500,0
825,Grado 7,320,1800,0
826,Grado 8,320,2100,0
827,Grado 9,320,2400,0
828,Grado 10,320,2700,0
829,Grado 11,320,3000,0
830,Grado 12,320,3300,0
831,Grado 13,320,3600,0
832,Grado 14,320,3900,0
833,Grado 15,320,4200,0
834,Grado 16,320,4500,0
835,Grado 17,320,4800,0
836,Grado 18,320,5100,0
837,Grado 19,320,5400,0
838,Grado 20,320,5700,0
839,Grado 21,320,6000,0
840,Grado 22,320,6300,0
841,Grado 23,320,6600,0
842,Grado 24,320,6900,0
843,Grado 25,320,7200,0
844,Grado 26,320,7500,0
845,Grado 27,320,7800,0
846,Grado 28,320,8100,0
847,Grado 29,320,8400,0
848,Grado 30,320,8700,0
879,Grado 1,323,0,0
880,Grado 2,323,300,0
881,Grado 3,323,600,0
882,Grado 4,323,900,0
883,Grado 5,323,1200,0
884,Grado 6,323,1500,0
885,Grado 7,323,1800,0
886,Grado 8,323,2100,0
887,Grado 9,323,2400,0
888,Grado 10,323,2700,0
889,Grado 11,323,3000,0
890,Grado 12,323,3300,0
891,Grado 13,323,3600,0
892,Grado 14,323,3900,0
893,Grado 15,323,4200,0
894,Grado 16,323,4500,0
895,Grado 17,323,4800,0
896,Grado 18,323,5100,0
897,Grado 19,323,5400,0
898,Grado 20,323,5700,0
899,Grado 21,323,6000,0
900,Grado 22,323,6300,0
901,Grado 23,323,6600,0
902,Grado 24,323,6900,0
903,Grado 25,323,7200,0
904,Grado 26,323,7500,0
905,Grado 27,323,7800,0
906,Grado 28,323,8100,0
