ID,Title_lang,GarrTypeID,ClassID,MaxTiers,UiOrder,Flags,UiTextureKitID,GarrTalentTreeType,PlayerConditionID,FeatureTypeIndex,FeatureSubtypeIndex,CurrencyID
4,,3,10,7,0,0,0,0,0,0,0,0
31,,3,7,7,0,0,0,0,0,0,0,0
107,,3,11,7,0,0,0,0,0,0,0,0
110,,3,9,7,0,0,0,0,0,0,0,0
113,,3,3,7,0,0,0,0,0,0,0,0
116,,3,8,7,0,0,0,0,0,0,0,0
119,,3,2,7,0,0,0,0,0,0,0,0
122,,3,1,7,0,0,0,0,0,0,0,0
125,,3,12,7,0,0,0,0,0,0,0,0
128,,3,6,7,0,0,0,0,0,0,0,0
131,,3,4,7,0,0,0,0,0,0,0,0
134,,3,5,7,0,0,0,0,0,0,0,0
150,,111,0,8,0,0,0,1,0,0,0,0
151,,3,0,7,0,0,253,0,0,0,0,0
152,Ricerca di Guerra,9,0,6,0,1,0,0,0,0,0,0
153,Ricerca di Guerra,9,0,6,0,1,0,0,0,0,0,0
260,Visions Research [NYI],9,0,6,0,0,253,0,0,0,0,0
263,Ricerca della M.A.D.R.E. - Solo,9,0,4,0,0,253,0,0,0,0,0
264,Ricerca della M.A.D.R.E. - Gruppo,9,0,4,0,0,253,0,0,0,0,0
265,Ricerca della M.A.D.R.E. - Scommettitore,9,0,2,0,0,253,0,0,0,0,0
266,Ricerca della M.A.D.R.E. - Velocista,9,0,2,0,0,253,0,0,0,0,0
267,Ricerca della M.A.D.R.E. - Esploratore,9,0,3,0,0,253,0,0,0,0,0
268,Ricerca della M.A.D.R.E. - Traguardi,9,0,2,0,0,253,1,0,0,0,0
271,Ricerca della M.A.D.R.E.,9,0,6,0,0,5273,1,0,0,0,1719
272,Nadjia la Lamabruma,111,0,5,0,0,253,1,0,6,0,0
275,Plasmasogni,111,0,12,0,16,0,0,79281,6,3,0
276,Niya,111,0,12,0,16,0,0,79279,6,3,0
304,Generale Draven,111,0,12,0,16,0,0,79288,6,2,0
307,Rete di Trasporto,111,0,3,0,16,0,0,0,2,3,0
308,Rete di Trasporto,111,0,3,0,16,5283,0,0,2,1,0
309,Rete di Trasporto,111,0,3,0,16,0,0,0,2,2,0
310,Rete di Trasporto,111,0,3,0,16,0,0,0,2,4,0
311,Conduttore d'Animum,111,0,3,0,16,0,0,0,1,3,0
312,Conduttore d'Animum,111,0,3,0,16,5283,0,0,1,1,0
313,Conduttore d'Animum,111,0,3,0,16,0,0,0,1,4,0
314,Conduttore d'Animum,111,0,3,0,16,0,0,0,1,2,0
315,Tavolo del Comandante,111,0,3,0,16,0,0,0,3,3,0
316,Tavolo del Comandante,111,0,3,0,16,5283,0,0,3,1,0
317,Tavolo del Comandante,111,0,3,0,16,0,0,0,3,2,0
318,Tavolo del Comandante,111,0,3,0,16,0,0,0,3,4,0
319,Il Vivaio della Regina,111,0,5,0,16,0,0,0,5,3,0
320,La Via dell'Ascensione,111,0,5,0,16,5283,0,0,5,1,0
321,Fabbrica degli Abomini,111,0,5,0,16,0,0,0,5,4,0
324,La Corte delle Braci,111,0,5,0,0,0,1,0,5,2,0
325,Architetto della Piaga Marileth,111,0,12,0,16,0,0,79284,6,4,0
326,Revendreth - Miglioramenti bacino,111,0,3,0,16,5285,0,0,4,2,0
327,Bastione - Miglioramenti bacino,111,0,3,0,16,5283,0,0,4,1,0
328,Selvarden - Miglioramenti bacino,111,0,3,0,16,5305,0,0,4,3,0
329,Maldraxxus - Miglioramenti bacino,111,0,3,0,16,5287,0,0,4,4,0
330,Emeni,111,0,12,0,16,0,0,79285,6,4,0
334,Korayn,111,0,12,0,16,0,0,79283,6,3,0
335,Chris Test Tree Set,3,0,2,0,0,0,0,0,0,0,0
345,Canalizzazione Animum,111,0,1,0,0,5283,1,0,7,1,0
346,Canalizzazione Animum,111,0,1,0,0,5305,1,0,7,3,0
347,Canalizzazione Animum,111,0,1,0,0,5287,1,0,7,4,0
348,Canalizzazione Animum,111,0,1,0,0,5285,1,0,7,2,0
349,Forgiaossa Heirmir,111,0,12,0,16,0,0,81502,6,4,0
357,Pelagos,111,0,12,0,16,0,0,81504,6,1,0
360,Kleia,111,0,12,0,16,0,0,81505,6,1,0
365,Mikanikos,111,0,12,0,16,0,0,81506,6,1,0
368,Nadjia la Lamabruma,111,0,12,0,16,0,0,81503,6,2,0
392,"Teotar, il Duca Folle",111,0,12,0,16,0,0,83261,6,2,0
393,Abilità della Congrega del Bastione,111,0,2,0,0,5283,1,0,0,1,0
395,Abilità della Congrega di Maldraxxus,111,0,2,0,0,5287,1,0,0,4,0
396,Abilità della Congrega di Revendreth,111,0,2,0,0,5279,1,0,0,2,0
397,Abilità della Congrega di Selvarden,111,0,2,0,0,5301,1,0,0,3,0
461,Scatola dalle Molte Cose,111,0,6,0,4,5400,1,0,0,0,1904
463,Progresso della Maestria del Draco,111,0,9,0,0,0,0,0,0,0,42
465,Console di Potenziamento del Dispositivo,111,0,3,0,0,253,1,0,0,0,1979
466,Nucleo dei Progenitori,111,0,4,0,0,5273,1,0,0,0,1979
467,Progresso della Maestria del Draco,111,0,3,0,0,0,1,0,0,0,0
468,Nucleo dei Progenitori JZB,9,0,7,0,0,5273,0,0,0,0,1979
474,Console di Ricerca del Codice,111,0,7,0,12,5415,1,0,8,0,1979
476,Personalizzazione Pocopoc,111,0,6,0,0,5419,0,0,0,0,0
479,Effige di Sauro del Tuono,111,0,3,0,0,5166,1,0,0,0,2011
482,Competenza in Cavalcadraghi,111,0,9,0,0,5273,1,0,0,0,0
483,Rastrelliera di Equipaggiamenti di Cacciatori di Mostri,111,0,5,0,0,5419,0,0,0,0,0
484,Volo Draconico Avanzato,111,0,9,0,0,0,1,0,0,0,2045
