ID,Name_lang,OrderIndex
1,Assedio di Orgrimmar,1
2,Regni Orientali,0
3,Kalimdor,0
5,Miniere della Morte,0
6,Miniere dei Magliorosso,0
7,Darsena di Ferro,0
8,Auchindoun,0
9,Vetta dei Cieli,0
10,Treno Frecciacupa,1
11,Verdeterno,0
12,Necropoli dei Torvaluna,10
13,Bastioni di Roccianera Superiori,0
14,Altomaglio,0
15,Fonderia dei Roccianera,0
16,Naxxramas,0
17,Rocca della Corona di Ghiaccio,0
18,Scholomance,0
19,Forte di Zannascura,0
20,Bastioni del Fuoco Infernale,0
21,Forgia del Sangue,0
22,Sale della Devastazione,0
23,Fosse degli Schiavi,0
24,Torbiera Sotterranea,0
25,Antro dei Vapori,0
26,Tombe del Mana,0
27,Cripte degli Auchenai,0
28,Sale dei Sethekk,0
29,Labirinto delle Ombre,0
30,Sale Scarlatte,0
31,Monastero Scarlatto,0
32,Fuga da Durnholde,0
33,Palude Nera,0
34,Mecanar,0
35,Botanica,0
36,Arcatraz,0
37,Terrazza dei Magisteri,0
38,Forte Utgarde,0
39,Pinnacolo di Utgarde,0
40,Azjol-Nerub,0
41,Oculus,0
42,Sale del Fulmine,0
43,Sale della Pietra,0
44,Epurazione di Stratholme,0
45,Forte di Drak'Tharon,0
46,Gundrak,0
47,"Ahn'kahet, il Regno Antico",0
48,Fortezza Violacea,0
49,Nexus,0
50,Ordalia dei Campioni,0
51,Forgia delle Anime,0
52,Fossa di Saron,0
53,Sale dei Riflessi,0
54,Trono delle Maree,0
55,Caverne di Roccianera,0
56,Grim Batol,0
57,Sale della Creazione,0
58,Nucleo di Pietra,0
59,Pinnacolo del Vortice,0
60,Città Perduta dei Tol'vir,0
61,Tempio della Serpe di Giada,10
62,Birrificio Triplo Malto,0
63,Monastero degli Shandaren,0
64,Palazzo Mogu'shan,0
65,Assedio al Tempio di Niuzao,0
66,Porta del Sole Calante,0
67,Verdeterno,0
68,Draenor,0
69,Terre Esterne,0
70,Nordania,0
71,Pandaria,0
73,Ordalia dei Crociati,0
74,Santuario di Rubino,0
75,Sotterranei dell'Ala Nera,0
76,Bastione del Crepuscolo,0
77,Trono dei Quattro Venti,0
78,Terre del Fuoco,0
79,Anima del Drago,0
80,Segrete Mogu'shan,5
81,Cuore della Paura,4
82,Terrazza dell'Eterna Primavera,3
83,Regno del Tuono,2
84,Spedizione casuale di Pandaria,0
86,Caduta di Theramore,0
102,Tempesta Alcolica,0
103,Battaglia in Mare Aperto,0
104,Neve Insanguinata,0
105,Cripta degli Imperatori Dimenticati,0
106,Cuore Oscuro di Pandaria,0
107,Scenario casuale di Pandaria,0
108,Segreti di Fiamma Furente,0
109,Spedizione casuale di Draenor,0
110,Cittadella del Fuoco Infernale,0
111,Spedizione Casuale di Legion,0
112,Occhio di Azshara,9
113,Boschetto Cuortetro,12
114,Sale del Valore,10
115,Antro di Neltharion,10
116,Assalto alla Fortezza Violacea,40
117,Segrete delle Custodi,13
118,Forte Corvonero,17
119,Fauci delle Anime,40
120,Corte delle Stelle,10
121,Arcavia,40
122,Incubo di Smeraldo,40
123,Rocca della Notte,3
124,Isole Disperse,0
125,Ritorno a Karazhan,41
126,Prova del Valore,2
127,Karazhan Inferiore,5
128,Karazhan Superiore,6
129,Cattedrale della Notte Eterna,41
130,Faglia Malosfregio,0
131,Tomba di Sargeras,4
132,"Antorus, il Trono Infuocato",5
133,Seggio del Triumvirato,41
134,Argus,0
135,Uldir,0
136,Spedizione casuale: Battle for Azeroth,0
137,Atal'dazar,30
138,Grottamarcia,10
139,Tempio di Sethraliss,30
140,Vena Madre,30
141,Requie dei Re,30
142,Covo della Libertà,10
143,Santuario della Tempesta,30
144,Tol Dagor,30
145,Maniero dei Crestabianca,30
146,Assedio di Boralus,30
247,Kul Tiras,0
248,Zandalar,0
249,Scorrerie sulle Isole,0
251,Battaglia di Dazar'alor,0
252,Crogiolo delle Tempeste,0
253,Operazione: Meccagon,30
254,Palazzo Eterno,0
255,Battaglia per Stromgarde,0
256,Operazione: Meccagon - Discarica,30
257,Operazione: Meccagon - Officina,30
258,"Ny'alotha, la Città Risvegliata",0
259,Piagafunesta,20
260,L'Aldilà,20
261,Sale della Redenzione,20
262,Nebbie di Tirna Falcis,20
263,Profondità Sanguigne,20
264,Guglie dell'Ascensione,20
265,Scia Necrotica,20
266,Teatro del Dolore,20
267,Castello di Nathria,0
269,Boss esterni,0
270,Shadowlands,0
271,Sanctum del Dominio,0
272,"Tazavesh, il Bazar Celato",20
273,Corridoi Contorti,0
274,Sala di Skoldus,1
275,Bastioni Superiori,1
276,Forge dell'Anima,0
277,Mort'regar,0
278,Stanze delle Fratture,0
279,Interstizi dei Cuorfreddo,0
280,Tazavesh: Strade delle Meraviglie,20
281,Tazavesh: Azzardo di So'leah,20
282,Sepolcro dei Primi,0
283,Sfida del Carceriere,0
284,Isole dei Draghi,0
302,Accademia di Algeth'ar,10
303,Conca dei Felcepelle,10
304,Sale dell'Infusione,10
305,Neltharus,10
306,Pozze della Vita di Rubino,10
307,Cripta Azzurra,10
308,L'Offensiva dei Nokhud,10
309,Uldaman: Eredità di Tyr,10
310,Segrete delle Incarnazioni,0
313,"Aberrus, il Crogiolo d'Ombra",0
315,Alba degli Infiniti,20
316,Caduta di Galakrond - Alba degli Infiniti,20
317,Ascesa di Murozond - Alba degli Infiniti,20
318,Caduta di Galakrond - Alba degli Infiniti,20
319,"Amirdrassil, Speranza del Sogno",0
322,Faglia di Fiammoscura,10
323,"Ara-Kara, Città degli Echi",10
324,Prioria della Fiamma Sacra,10
325,Corveria,10
326,Alba Infranta,10
327,Idromelificio Cinereo,10
328,Volta di Pietra,10
329,Città dei Fili,10
331,Follia Fungina,0
332,Requie di Kriegval,0
333,Miniere Strisciaterra,0
334,Antro di Zekvir,13
335,Acquedotto,0
336,Fossa del Terrore,0
337,Santuario del Tramonto,0
338,Caverna del Micomante,0
339,Voragine,0
340,Breccia Brulicante,0
341,Sottoforte,0
