ID,ClassName_lang,ClassID,PriceModifier,Flags
1,Consumabili,0,0.25,0
2,Contenitori,1,0.25,0
3,Arma,2,0.2,1
4,Gemme,3,0.25,0
5,Armature,4,0.2,0
6,Reagente,5,0.25,0
7,Proiettili,6,0.25,0
8,Beni commerciali,7,0.25,0
9,Potenziamenti oggetti,8,0.25,0
10,Ricette,9,0.25,0
11,Denaro,10,0.25,0
12,Faretre,11,0.25,0
13,Oggetti di missione,12,0.25,0
14,Chiavi,13,0.25,0
15,Permanenti,14,0.25,0
16,Varie,15,0.25,0
17,Glifi,16,0.25,0
18,Mascotte,17,0.25,0
19,Gettone WoW,18,0.25,0
145,Professione,19,0,0
147,Alloggi,20,0,0
