ID,Name_lang,SetFlags,RequiredSkill,RequiredSkillRank,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16]
1,Gladiatore,1,0,0,11729,11726,11728,11731,11730,0,0,0,0,0,0,0,0,0,0,0,0
41,Lame di Dal'Rend,0,0,0,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Bacio del Ragno,0,0,0,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Completo del Postale,0,0,0,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0
121,Abiti Cadaverici,0,0,0,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0
122,Divisa della Necromassa,0,0,0,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0
123,Vessillo della Maglia Insanguinata,0,0,0,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0
124,Guardiano Ossotetro,0,0,0,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0
141,Armatura Vulcanica,0,0,0,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Armatura del Manto Tempestoso,0,0,0,15056,15057,15058,21278,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Armatura del Gigantosauro,0,0,0,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Armatura di Piume di Ferro,0,0,0,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Cuoio dei Defias,0,0,0,10399,10403,10402,10401,10400,0,0,0,0,0,0,0,0,0,0,0,0
162,Abbraccio della Vipera,0,0,0,10412,10411,10413,10410,6473,0,0,0,0,0,0,0,0,0,0,0,0
163,Maglia della Crociata Scarlatta,0,0,0,10329,10332,10328,10331,10330,10333,0,0,0,0,0,0,0,0,0,0,0
181,Vessillo del Magistro,0,0,0,16685,16683,16686,16684,16687,16689,16688,16682,0,0,0,0,0,0,0,0,0
182,Paramenti del Devoto,0,0,0,16696,16691,16697,16693,16692,16695,16694,16690,0,0,0,0,0,0,0,0,0
183,Divisa di Brumafunesta,0,0,0,16702,16703,16699,16701,16700,16704,16698,16705,0,0,0,0,0,0,0,0,0
184,Armatura del Creatore d'Ombra,0,0,0,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0
185,Divisa del Cuorselvaggio,0,0,0,16716,16715,16714,16720,16706,16718,16719,16717,0,0,0,0,0,0,0,0,0
186,Armatura del Predatore di Bestie,0,0,0,16680,16675,16681,16677,16674,16678,16679,16676,0,0,0,0,0,0,0,0,0
187,Completo Elementale,1,0,0,16673,16670,16671,16667,16672,16668,16669,16666,0,0,0,0,0,0,0,0,0
