Name_lang,ID,Field_10_0_5_47118_002
,1,0
Gennaio: nuovo inizio,6,1
Febbraio: cure e premure,7,2
Marzo: niente male,8,3
Aprile: carica d'energia,9,4
Maggio: un gioco da ragazzi,10,5
Giugno: Giocare col fuoco,11,6
Luglio: Festa!,12,7
Agosto: Faccia a Faccia!,13,8
Settembre: Ora di festeggiare,14,9
Ottobre: Sinistro e bizzarro,16,10
"Novembre: Più siamo, meglio è",18,11
Dicembre: Congelante,19,12
Gennaio: Un nuovo inizio,20,13
Febbraio: Amori vecchi e nuovi,21,14
Marzo: Vestirsi eleganti,22,15
Aprile: La primavera è nell'aria,23,16
Maggio: Potere ai fiori,24,17
Giugno: Divertimento estivo,25,18
Luglio: Le Profondità Oscure,26,19
Agosto: Lo Spirito della Competizione,27,20
Settembre: Raduna la Ciurma,28,21
Ottobre: Luce contro Oscurità,29,22
Novembre: Iconico,30,23
Dicembre: Gel Tentativo,31,24
Gennaio: Passi Avanti,32,25
Febbraio: Magnificenza al Chiaro di Luna,33,26
Marzo: Stile Scintillante,34,27
Aprile: Fiera di Essere,35,28
Maggio: Terra degli Animaletti,36,29
Giugno: Cuori in Fiamme,37,30
Luglio: Ricordi Reietti,38,31
Agosto: Uno o l'Altro,39,32
Settembre: Fascino Nanico,40,33
Ottobre: Vilfestività,41,34
Novembre: Doni Abbondanti,42,35
Dicembre: Cuori Gelidi,43,36
Gennaio: Una nuova alba,53,37
Febbraio: L'oro va bene,55,38
"Marzo: Vivi, ridi, ama",56,39
Aprile: Pensa al giardino,57,40
Maggio: Qualcosa di semplice,58,41
Giugno: Scalda gli animi,59,42
Luglio: Fuochi d'artificio!,60,43
Agosto: Resa dei conti,61,44
Settembre: Amicizia,62,45
Ottobre: Calamità in costume,63,46
"Novembre: Cibo, glorioso cibo",64,47
Dicembre: Coprirsi bene,65,48
