Description_lang,ID,MapID
Bandiere conquistate,42,489
Bandiere riportate,44,489
Torri assalite,61,30
Cimiteri assaliti,63,30
Torri difese,64,30
Cimiteri difesi,65,30
Obiettivi secondari,82,30
Basi assalite,122,529
Basi difese,123,529
Bandiere conquistate,183,566
Mura distrutte,215,571
Edifici distrutti,216,571
Cancelli distrutti,231,607
Demolitori distrutti,232,607
Basi assalite,245,628
Basi difese,246,628
Bandiere conquistate,290,726
Bandiere riportate,291,726
Basi assalite,370,761
Basi difese,371,761
Basi assalite,391,968
Basi difese,392,968
Bandiere conquistate,393,968
Possessioni del Globo,418,998
Punti Vittoria,419,998
Bandiere conquistate,422,1010
Bandiere riportate,423,1010
Carri controllati,428,727
Carrelli conquistati,457,1105
Carrelli riportati,458,1105
Miniere assaltate,459,1105
Miniere difese,460,1105
Punteggio,501,451
Basi assalite,679,1681
Basi difese,680,1681
Basi assalite,688,2177
Basi difese,690,2177
Azerite raccolta,744,1803
Bandiere conquistate,762,1740
Bandiere riportate,763,1740
Ingredienti raccolti,923,1691
Basi assalite,926,2107
Basi difese,927,2107
Bandiere conquistate,928,2106
Bandiere riportate,929,2106
Manufatti Recuperati,931,1191
Basi assalite,1001,2245
Basi difese,1002,2245
Torri assalite,1003,2197
Obiettivi secondari,1004,2197
Cimiteri difesi,1005,2197
Torri difese,1006,2197
Cimiteri assaliti,1007,2197
Turni vinti,1008,1505
Turni vinti,1009,1672
Turni vinti,1010,1134
Turni vinti,1011,980
Turni vinti,1012,572
Turni vinti,1013,1911
Turni vinti,1014,1504
Turni vinti,1015,2509
Turni vinti,1016,2511
Turni vinti,1017,2547
Turni vinti,1018,2563
Bandiere conquistate,1020,2656
Carri controllati,1021,2656
Turni vinti,1022,2759
