ID,InfoName_lang,Type,Modifiers,Profession
1,Gruppo,0,2,0
21,Classe,0,0,0
41,PvP,0,0,0
62,Incursione,0,0,0
81,Spedizione,0,0,0
82,Evento Mondiale,0,0,0
83,Leggendaria,0,0,0
84,Scorta,0,0,0
85,Eroica,0,0,0
88,Incursione (10),0,0,0
89,Incursione (25),0,0,0
98,Scenario,0,0,0
104,Missione Secondaria,0,0,0
107,Artefatto,0,0,0
109,Missione Mondiale,2,256,0
110,Missione Mondiale Epica,2,268,0
111,Missione Mondiale Élite,2,258,0
112,Missione Mondiale Epica Élite,2,334,0
113,Missione Mondiale PvP,3,256,0
114,Missione Mondiale di Primo Soccorso,1,256,129
115,Missione Mondiale Scontri tra Mascotte,4,256,0
116,Missione Mondiale di Forgiatura,1,256,164
117,Missione Mondiale di Conciatura,1,256,165
118,Missione Mondiale di Alchimia,1,256,171
119,Missione Mondiale di Erbalismo,1,256,182
120,Missione Mondiale di Estrazione,1,256,186
121,Missione Mondiale di Sartoria,1,256,197
122,Missione Mondiale di Ingegneria,1,256,202
123,Missione Mondiale di Incantamento,1,256,333
124,Missione Mondiale di Scuoiatura,1,256,393
125,Missione Mondiale di Oreficeria,1,256,755
126,Missione Mondiale di Runografia,1,256,773
128,Missione Emissario,5,272,0
129,Missione Mondiale di Archeologia,1,256,794
130,Missione Mondiale di Pesca,1,256,356
131,Missione Mondiale di Cucina,1,256,185
135,Missione Mondiale Rara,2,257,0
136,Missione Mondiale Rara Élite,2,267,0
137,Missione Mondiale Spedizione,6,267,0
139,Missione Mondiale Invasione della Legione,7,296,0
140,Ricompensa Classificata,3,272,0
141,Missione Mondiale Incursione,8,266,0
142,Missione Mondiale Élite Invasione della Legione,7,266,0
143,Contributo agli Spezzalegione,9,272,0
144,Missione Mondiale degli Spezzalegione,2,334,0
145,Missione Mondiale delle Spedizioni degli Spezzalegione,6,331,0
146,,11,0,0
147,Fronti di Guerra - Savane,0,0,0
148,Borseggio,0,0,0
151,Missione Mondiale di Magni - Azerite,2,256,0
152,,2,256,0
153,Contributi al Fronte di Guerra,9,272,0
254,Missione dell'Isola,0,0,0
255,Modalità Guerra PvP,0,0,0
256,Conquista PvP,10,272,0
259,Missione Mondiale Assalto di Fazione,12,360,0
260,Missione Mondiale Assalto di Fazione Élite,12,330,0
261,Missione settimanale dell'Isola,13,144,0
263,Missione pubblica,0,16,0
264,Obiettivo Minaccia,5,272,0
265,Missione Nascosta,5,272,0
266,Missione dell'alleato combattente,0,0,0
267,Professioni,0,0,0
268,Involucro Minaccia,14,272,0
270,Missione Emissario Minaccia,14,272,0
271,Missione Chiamata,15,0,0
272,MissioneGruppoVenthyr,2,448,0
273,Individuatore Apparizione Anima della Fauce,5,272,0
278,Missione Mondiale Rara PvP Élite,3,258,0
279,Incarico dell'Inviato dell'Isola Proibita,9,0,0
281,Corsa Cavalcadraghi,16,0,0
282,Missione importante,0,1024,0
283,Obiettivo bonus con brindisi di completamento,0,512,0
284,Metamissione,0,2048,0
286,Missione Mondiale Miliare,17,266,0
287,Blocco Pietra Miliare,5,272,0
288,Scorribanda,0,0,0
289,Boss Esterno,18,334,0
291,Nascosto,0,272,0
292,Missione importante (abbandono impossibile),0,1280,0
