String_lang,ID,Flags
"Richiede l'impresa ""Un alleato azzurro"" o il Livello 35.",740,1
"Richiede l'impresa ""Compagno della rupe"".",741,1
"Richiede l'impresa ""Insieme nei cieli"" o il Livello 25.",742,1
"Richiede l'impresa ""Nuovo Amico"" o il Livello 15.",743,1
|cff808080Questo talento per la tua specializzazione viene concesso gratuitamente e non può essere dimenticato|r,910,1
Spendi ancora %d |4punto:punti; per sbloccare questo talento,911,1
Classic,953,1
Terre Esterne,954,1
Nordania,955,1
Cataclysm,956,1
Pandaria,957,1
Draenor,958,1
Legion,959,1
Kul Tiras,960,1
Shadowlands,961,1
Isole dei Draghi,962,1
Zandalar,963,1
Esploratore,970,1
Avventuriero,971,1
Veterano,972,1
Campione,973,1
Eroe,974,1
Ricreare questo oggetto con una Scintilla di livello più alto rimuoverà in modo permanente l'incavo aggiunto dal Manipolatore Caricato dalla Tempesta.|n|nVuoi davvero continuare?,975,1
Spendi ancora %d |4punto:punti; per sbloccare questo talento,976,1
|cff808080Questo talento per la tua specializzazione viene concesso gratuitamente e non può essere dimenticato|r,977,1
Mito,978,1
Khaz Algar,989,1
Avventuriero,990,1
Ricreare questo oggetto con una Scintilla di livello più alto rimuoverà in modo permanente l'incavo aggiunto dallo Scultore Vulcanico.|n|nVuoi davvero continuare?,991,1
Scheda 1,992,0
Scheda 2,993,0
Scheda 3,994,0
Scheda 4,995,0
Scheda 5,996,0
Ricreare questo oggetto con una scintilla di livello più alto rimuoverà in modo permanente l'incavo aggiunto dalla Culla della Natura.|n|nVuoi davvero continuare?,997,1
Risvegliato,998,1
%s,999,0
Requires Void Torrent talent,1000,1
"The General must consider you a ""Accessory.""",1001,1
"The Weaver must consider you an ""Acquaintance.""",1002,1
"The Weaver must consider you a ""Crony.""",1003,1
"The Weaver must consider you an ""Accomplice.""",1004,1
"The General must consider you a ""Collaborator.""",1005,1
"The General must consider you an ""Abettor.""",1006,1
"The General must consider you a ""Conspirator.""",1007,1
"The Weaver must consider you a ""Mastermind.""",1008,1
"The General must consider you an ""Acquaintance.""",1009,1
"The General must consider you a ""Crony.""",1010,1
"The General must consider you an ""Accomplice.""",1011,1
"The Weaver must consider you a ""Collaborator.""",1012,1
"The Weaver must consider you a ""Accessory.""",1013,1
"The Weaver must consider you an ""Abettor.""",1014,1
"The Weaver must consider you a ""Conspirator.""",1015,1
"The Vizier must consider you an ""Acquaintance.""",1016,1
"The Vizier must consider you a ""Crony.""",1017,1
"The Vizier must consider you an ""Accomplice.""",1018,1
"The Vizier must consider you a ""Collaborator.""",1019,1
"The Vizier must consider you a ""Accessory.""",1020,1
"The Vizier must consider you an ""Abettor.""",1021,1
"The Vizier must consider you a ""Conspirator.""",1022,1
"The Vizier must consider you a ""Mastermind.""",1023,1
"The General must consider you a ""Mastermind.""",1024,1
You must purchase additional Thunderclaps,1025,1
Requires Halo talent,1026,1
