ID,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID,RaceMasks[0],RaceMasks[1]
1,Teletrasporto,Ti teletrasporta in una delle città principali.,0,128,237509,1309324210,-1440044374
8,Teletrasporto,Ti teletrasporta in una delle città principali.,0,128,237509,-1321907123,1427461461
9,Richiamo: Famiglio,Richiama un famiglio al tuo fianco.,0,4,132161,-1,-1
10,Evocazione: Servitore,Evoca un servitore al tuo fianco.,0,256,136082,-1,-1
11,Portale,Crea un portale in grado di teletrasportare i membri del tuo gruppo in una delle città principali.,0,128,135744,1309324210,-1440044374
12,Portale,Crea un portale in grado di teletrasportare i membri del tuo gruppo in una delle città principali.,0,128,135748,-1321907123,1427461461
66,Veleni,Applica un potente veleno alle tue armi.,0,8,136242,-1,-1
67,Rito del Servizio,"Evoca istantaneamente un secondo servitore, che combatte per 25 s.",0,256,538444,-1,-1
84,Via dell'Eroe: Mists of Pandaria,"Ti teletrasporta all'ingresso di una spedizione di Mists of Pandaria per la quale hai ottenuto una Medaglia d'Oro o l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
92,Varianti di Metamorfosi,"Varianti di Metamorfosi, che consentono di trasformare un bersaglio in un'ampia varietà di creature.",0,128,575586,-1,-1
93,Munizioni Esotiche,Modifica le munizioni usate dalla tua arma a distanza.,0,4,249177,-1,-1
96,Via dell'Eroe: Warlords of Draenor,"Ti teletrasporta all'ingresso di una spedizione di Warlords of Draenor per la quale hai ottenuto una Medaglia d'Oro o l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
103,Gestione Famiglio,Diversi strumenti che ti aiutano a gestire il tuo famiglio.,0,4,132179,-1,-1
106,Varianti di Maleficio,"Varianti di Maleficio, che consentono di trasformare un bersaglio in un'ampia varietà di creature.",0,64,538518,-1,-1
217,Strumenti dei Kyrian,Suona uno strumento dei Kyrian.,0,0,454048,-1,-1
219,Adattamento,"Adattati a un tipo di magia, cambiando il tuo attacco Alito del Drago.",0,4096,254886,-1,-1
220,Sentiero dell'Eroe: Shadowlands,"Ti teletrasporta all'ingresso di una spedizione di Shadowlands per la quale hai ottenuto l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
222,Via dell'Eroe: Incursioni di Shadowlands,"Teletrasporta all'ingresso di un'incursione di Shadowlands. Disponibile solo dopo aver compiuto l'impresa ""Mitica: Destini delle incursioni di Shadowlands"".",0,-1,519384,-1,-1
223,Via dell'Eroe: Battle for Azeroth,"Ti teletrasporta all'ingresso di una spedizione di Battle for Azeroth per la quale hai ottenuto l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
224,Via dell'Eroe: Legion,"Ti teletrasporta all'ingresso di una spedizione di Legion per la quale hai ottenuto l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
225,Tracciamento del Cacciatore,Indica sulla minimappa la posizione del tipo di creature vicine.,0,4,132328,-1,-1
226,Tracciamento Reagenti per Professioni,Indica sulla minimappa la posizione dei reagenti vicini da raccogliere.,0,-1,134441,-1,-1
227,Chiamata alle armi: Dragonflight!,"Ti teletrasporta all'ingresso di una spedizione di Dragonflight per la quale hai ottenuto l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
229,Volo Dinamico,"Spicca il volo in sella a una cavalcatura del Volo Dinamico, sfruttando queste abilità per spostarti in aria.",0,-1,4640486,-1,-1
230,Via dell'Eroe: Cataclysm,"Ti teletrasporta all'ingresso di una spedizione di Cataclysm per la quale hai ottenuto l'impresa ""Eroe delle Chiavi"". Completare una spedizione Mitica+ azzera il tempo di recupero di queste abilità.",0,-1,519384,-1,-1
231,Via dell'Eroe: incursioni di Dragonflight,"Ti teletrasporta all'ingresso di un'incursione di Dragonflight. Disponibile solo dopo aver ottenuto l'impresa ""Mitica: Risveglio delle incursioni di Dragonflight"".",0,-1,519384,-1,-1
