ID,Name_lang
1,Word of Recall (OLD)
3,Word of Mass Recall (OLD)
4,Word of Recall Other
5,Tocco della Morte
7,Suicidio
11,Dardo di Gelo delle Ere
13,Swim Speed (TEST)
14,Risucchio di Mana
17,Parola del Potere: Scudo
24,Major Heal Self (TEST)
25,Stordimento
26,Bind Self (TEST)
27,Portale di Borgodoro
31,Teletrasporto Borgodoro
33,Teletrasporto Marche Occidentali
34,Teletrasporto Boscovespro
35,Teletrasporto Elwynn
45,Urto di Guerra
53,Pugnalata alle Spalle
56,Stordimento
59,Normal bow shot (TEST)
65,Celerità
66,Invisibilità
71,Avanguardia
75,Tiro Automatico
77,Guscio della Tartaruga
81,Schivata
96,Smembramento
99,Ruggito Inabilitante
100,Carica
101,Sgambetto
107,Blocco
108,Elusione DND
110,Critter Tracking (INTERNAL)
111,Passo del Tempo
112,Reflect Magic (TEST)
113,Catene di Ghiaccio
116,Dardo di Gelo
118,Metamorfosi
120,Cono di Freddo
122,Esplosione Gelida
126,Occhio di Kilrogg
130,Caduta Lenta
133,Palla di Fuoco
134,Scudo di Fuoco
136,Cura Famiglio
139,Rinnovamento
172,Corruzione
184,Scudo di Fuoco
196,Asce a una mano
197,Asce a due mani
198,Mazze a una mano
199,Mazze a due mani
200,Armi ad asta
201,Spade a una mano
202,Spade a due mani
203,A Mani Nude
204,Difesa
227,Bastoni
228,Metamorfosi: Pollo
246,Rallentamento
261,Evocazione: Scheletro
264,Archi
265,Area Death (TEST)
266,Armi da fuoco
269,Walk of Fire Trigger (DNC)
339,Radici Avvolgenti
348,Immolazione
355,Provocazione
370,Epurazione
379,Scudo di Terra
408,Colpo ai Reni
427,Teletrasporto Monastero
428,Teletrasporto Rivoluna
430,Consumo di Bevanda
431,Consumo di Bevanda
432,Consumo di Bevanda
433,Cibo
434,Cibo
435,Cibo
436,Recupero Mana
437,Recupero Mana
438,Recupero Mana
439,Pozione di Cura
440,Pozione di Cura
441,Pozione di Cura
442,Teletrasporto Abbazia della Contea del Nord
443,Teletrasporto Caserme
444,Teletrasporto Faro
445,Teletrasporto Borgoscuro
446,Teletrasporto Cimitero
447,Teletrasporto Treant
453,Pacificazione Mentale
458,Cavallo Bruno
459,Lupo Grigio
465,Aura della Devozione
467,Spine
468,Stallone Bianco
470,Stallone Nero
471,Palomino
472,Pinto
475,Rimozione Maledizione
483,Apprendimento
498,Protezione Divina
512,Catene di Ghiaccio
514,Scott Test
518,Evocazione: Verme
522,SPELLDEFENSE (DND)
527,Depurazione
528,Dissoluzione Magica
530,Charm (Possess)
546,Cammino Acquatico
550,Annulla Veleno
556,Richiamo Astrale
568,Scarica Arcana
578,Lupo Nero
579,Lupo Rosso
580,Lupo della Foresta
581,Lupo Invernale
585,Punizione
586,Trasparenza
589,Parola d'Ombra: Dolore
596,Preghiera di Cura
603,Rovina
605,Controllo Mentale
606,Mente Marcia
633,Mano Celestiale
642,Scudo Divino
668,Lingua: Comune
669,Lingua: Orchesco
670,Lingua: Taurino
671,Lingua: Darnassiano
672,Lingua: Nanico
673,Difesa Minore
674,Combattimento con Due Armi
