ID,Name,Message_lang
1,MSG_TITLE_WOW,World of Warcraft
2,MSG_GX_INIT_FAILED_D3D,World of Warcraft non ha potuto avviare l'accelerazione 3D. Assicurati che sia installato DirectX 9.0c e che i driver video siano aggiornati.
3,MSG_GX_INIT_FAILED,World of Warcraft non ha potuto avviare l'accelerazione 3D.
4,MSG_HW_UNSUPPORTED,"La scheda acceleratrice 3D in uso non è supportata da World of Warcraft. Per ulteriori informazioni, consulta il sito: http://eu.battle.net/support/it/article/world-of-warcraft-system-requirements"
5,MSG_HW_CHANGED,L'hardware è stato modificato. Vuoi utilizzare le impostazioni predefinite?
9,MSG_GLUEXML_UI_CORRUPT,I file dell'interfaccia d'accesso sono corrotti. È necessario reinstallare il gioco.
10,MSG_FRAMEXML_UI_CORRUPT,I file dell'interfaccia di gioco sono corrotti. È necessario rimuovere la cartella Interface\FrameXML.
11,MSG_GX_NO_DEVICE,Impossibile trovare uno schermo compatibile. Il programma verrà chiuso.
12,MSG_REMOTE_DESKTOP,Non è possibile giocare a World of Warcraft attraverso una connessione via Desktop remoto. Il programma verrà chiuso.
14,MSG_CLIENT_INIT,World of Warcraft sta eseguendo la preparazione dei file necessari. L'operazione potrebbe richiedere alcuni minuti. Puoi interrompere il processo e permettere al programma di avvio di completare l'installazione.
15,MSG_DOWNLOAD_FAILED,Impossibile recuperare dati di gioco fondamentali. Controlla di essere connesso a Internet.
16,MSG_DISK_FULL,Il disco è pieno. È necessario liberare dello spazio aggiuntivo.
17,MSG_GX_FAIL_API_VERSION,"World of Warcraft richiede la versione più recente di DirectX Runtime. Per ulteriori informazioni, consulta il sito: http://eu.battle.net/support/it/article/driver-update-information"
18,MSG_GX_FAIL_NO_DRIVER,"World of Warcraft non ha rilevato una scheda video adeguata. Assicurati che i driver siano aggiornati e che Windows non sia in modalità provvisoria. Per ulteriori informazioni, consulta: http://eu.battle.net/support/it/article/driver-update-information"
27,MSG_COMPATIBILITY_ERROR,"World of Warcraft non può essere avviato a causa delle impostazioni della modalità compatibilità. Disattiva la modalità compatibilità dagli eseguibili WoW.exe e Launcher.exe e prova a riavviare il gioco. Per ulteriori informazioni su come disattivare la modalità compatibilità, consulta il sito: http://www.battle.net/support/article/8500085"
134,MSG_GX_SLOW_SHADER_BUILDING_WARNING,C'è un problema di driver della GPU che può causare forti rallentamenti all'avvio del gioco quando gli shader vengono processati per la prima volta. Questo processo può richiedere diversi minuti.
135,MSG_INTEL_13TH_OR_14TH_GEN_MICROCODE_WARNING,"World of Warcraft ha rilevato che il tuo computer utilizza un processore Intel di 13ª o 14ª generazione, privo degli aggiornamenti necessari per risolvere potenziali problemi di instabilità del processore. Ti consigliamo di aggiornare il BIOS della scheda madre all'ultima versione con un microcodice Intel 0x12B o successivo."
136,MSG_MOTHERBOARD_BIOS_UPDATE,Vedi %s per ulteriori informazioni sull'aggiornamento del BIOS della scheda madre.
137,MSG_MOTHERBOARD_INFO,"CPU: %s
Scheda madre: %s
Data di rilascio BIOS: %s
Versione microcodice: 0x%llX"
