SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200Bottino: |rBottino mondiale,1,1973,0,0
|cFFFFD200Casa d'Aste del Mercato Nero|r,4,32566,0,2
|cFFFFD200Casa d'Aste del Mercato Nero|r,5,33223,0,2
|cFFFFD200Casa d'Aste del Mercato Nero|r,7,38578,0,2
|cFFFFD200Evento mondiale: |rAmore nell'Aria|n|cFFFFD200Mercante: |rMercante Amorosa|n|cFFFFD200Zona: |rCapitali|n|cFFFFD200Costo: |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200Promozione|r,12,67097,0,7
|cFFFFD200Mercante: |rTex Vortaspira|n|cFFFFD200Zona: |rAzshara|n|cFFFFD200Costo: |r5.000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200Mercante: |rAyla Ombratonante|n|cFFFFD200Zona: |rFronte Magmatico|n|cFFFFD200Costo: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
"|cFFFFD200Evento mondiale: |rVeglia delle Ombre|n|cFFFFD200Mercante: |rChub, Dorothy|n|cFFFFD200Zona: |rRadure di Tirisfal, Roccavento|n|cFFFFD200Costo: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n",18,70722,0,6
|cFFFFD200Promozione|r,19,72161,0,7
|cFFFFD200Bottino: |rPandaria,20,72231,2,0
|cFFFFD200Bottino: |rYorik Occhio Arguto|n|cFFFFD200Zona: |rVallata dell'Eterna Primavera,21,86568,0,0
|cFFFFD200Bottino: |rKang il Ladro d'Anime|n|cFFFFD200Zona: |rVallata dell'Eterna Primavera,22,86571,0,0
|cFFFFD200Bottino: |rHavak|n|cFFFFD200Zona: |rMassiccio del Kun-Lai,23,72221,2,0
|cFFFFD200Bottino: |rUrgolax|n|cFFFFD200Zona: |rVallata dell'Eterna Primavera,24,86575,0,0
|cFFFFD200Bottino: |rSki'thik|n|cFFFFD200Zona: |rMassiccio del Kun-Lai,25,72225,2,0
|cFFFFD200Missione: |rLa Benedizione di Elune|n|cFFFFD200Zona: |rRadaluna,29,21540,0,1
,30,33079,2,7
|cFFFFD200Professione: |rArcheologia,33,64651,0,3
"|cFFFFD200Mercante: |rOlut Birramara, Rork Mentoaguzzo|n|cFFFFD200Zona: |rCime Tempestose|n|cFFFFD200Costo: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t",34,43499,0,2
|cFFFFD200Bottino: |rTerokk|n|cFFFFD200Zona: |rForesta di Terokk,99,32782,0,0
|cFFFFD200Casa d'Aste del Mercato Nero|r,100,34499,0,2
|cFFFFD200Bottino: |rNordania,101,37254,0,0
|cFFFFD200Promozione|r,102,38301,0,7
|cFFFFD200Impresa: |rMaestro delle monetine|n|cFFFFD200Categoria: |rPesca,103,44430,0,5
|cFFFFD200Evento mondiale:|r Vigilia di Grande Inverno,109,46709,0,6
|cFFFFD200Promozione|r,110,49703,0,7
|cFFFFD200Promozione|r,111,49704,2,7
|cFFFFD200Missione: |rIl lamento di Muradin|n|cFFFFD200Zona: |rRocca della Corona di Ghiaccio,112,52201,0,1
|cFFFFD200Missione: |rLa vendetta di Sylvanas|n|cFFFFD200Zona: |rRocca della Corona di Ghiaccio,114,52253,0,1
|cFFFFD200Professione: |rArcheologia,116,64358,0,3
|cFFFFD200Professione: |rArcheologia,117,64361,0,3
|cFFFFD200Professione: |rArcheologia,118,64373,0,3
|cFFFFD200Professione: |rArcheologia,119,64383,0,3
|cFFFFD200Professione: |rArcheologia,120,64456,0,3
|cFFFFD200Professione: |rArcheologia,121,64481,0,3
|cFFFFD200Professione: |rArcheologia,122,64482,0,3
|cFFFFD200Professione: |rArcheologia,123,64646,0,3
|cFFFFD200Professione: |rArcheologia,124,64881,0,3
|cFFFFD200Mercante: |rMeilosh|n|cFFFFD200Zona: |rVilbosco|n|cFFFFD200Fazione: |rRifugio dei Mordilegno - Osannato|n|cFFFFD200Costo: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
