Name_lang,ID,ClassMask,TrackingQuestID,Flags,TransmogSetGroupID,ItemNameDescriptionID,ParentTransmogSetID,CompleteWorldStateID,ExpansionID,PatchIntroduced,UiOrder,ConditionID
,2,128,0,1,1,0,0,1,0,0,590,0
,3,0,0,1,0,0,0,1,0,0,1591,0
,4,0,42729,3,0,0,0,1,0,60002,1000,0
,5,4164,0,3,0,0,0,1,0,0,360,0
,6,35,0,3,0,0,0,1,0,0,390,0
Maglia Inanellata del Combattente Indomito,13,4,42975,276,12,13302,80,1,5,60100,6700,0
Maglia Inanellata del Combattente Indomito,14,4,42992,280,12,13302,79,1,5,60100,6700,0
Maglia Rinforzata del Combattente Indomito,15,64,42993,276,12,13302,81,1,5,60100,6700,0
Maglia Rinforzata del Combattente Indomito,16,64,42994,280,12,13302,82,1,5,60100,6700,0
Piastre Oscure del Combattente Indomito,17,32,43004,276,12,13302,90,1,5,60100,6700,0
Piastre Oscure del Combattente Indomito,18,32,43005,280,12,13302,89,1,5,60100,6700,0
Scaglie del Combattente Indomito,19,2,43006,276,12,13302,94,1,5,60100,6700,0
Scaglie del Combattente Indomito,20,2,43008,280,12,13302,93,1,5,60100,6700,0
Piastre del Combattente Indomito,21,1,43010,280,12,13302,91,1,5,60100,6700,0
Piastre del Combattente Indomito,22,1,43009,276,12,13302,92,1,5,60100,6700,0
Cuoio del Combattente Indomito,23,8,43011,276,12,13302,85,1,5,60100,6700,0
Cuoio del Combattente Indomito,24,8,43012,280,12,13302,86,1,5,60100,6700,0
Pelle di Drago del Combattente Indomito,25,1024,43018,280,12,13302,83,1,5,60100,6700,0
Pelle di Drago del Combattente Indomito,26,1024,43017,276,12,13302,84,1,5,60100,6700,0
Cuoioferro del Combattente Indomito,27,512,43020,280,12,13302,87,1,5,60100,6700,0
Cuoioferro del Combattente Indomito,28,512,43019,276,12,13302,88,1,5,60100,6700,0
Seta del Combattente Indomito,29,128,43021,276,12,13302,100,1,5,60100,6700,0
Seta del Combattente Indomito,30,128,43022,280,12,13302,99,1,5,60100,6700,0
Raso del Combattente Indomito,31,16,43023,276,12,13302,98,1,5,60100,6700,0
Raso del Combattente Indomito,32,16,43024,280,12,13302,97,1,5,60100,6700,0
Viltela del Combattente Indomito,33,256,43026,280,12,13302,95,1,5,60100,6700,0
Viltela del Combattente Indomito,34,256,43025,276,12,13302,96,1,5,60100,6700,0
Armatura Inanellata del Combattente Guerrafondaio,35,4,43028,276,13,13302,102,1,5,60200,7000,0
Armatura Inanellata del Combattente Guerrafondaio,36,4,43029,280,13,13302,101,1,5,60200,7000,0
Maglia Rinforzata del Combattente Guerrafondaio,37,64,43030,276,13,13302,104,1,5,60200,7000,0
Maglia Rinforzata del Combattente Guerrafondaio,38,64,43031,280,13,13302,103,1,5,60200,7000,0
Pelle di Drago del Combattente Guerrafondaio,39,1024,43032,276,13,13302,106,1,5,60200,7000,0
Pelle di Drago del Combattente Guerrafondaio,40,1024,43033,280,13,13302,105,1,5,60200,7000,0
Cuoio del Combattente Guerrafondaio,41,8,43034,276,13,13302,114,1,5,60200,7000,0
Cuoio del Combattente Guerrafondaio,42,8,43035,280,13,13302,113,1,5,60200,7000,0
Cuoioferro del Combattente Guerrafondaio,43,512,43037,280,13,13302,111,1,5,60200,7000,0
Cuoioferro del Combattente Guerrafondaio,44,512,43036,276,13,13302,112,1,5,60200,7000,0
Piastre Oscure del Combattente Guerrafondaio,45,32,43038,276,13,13302,108,1,5,60200,7000,0
Piastre Oscure del Combattente Guerrafondaio,46,32,43039,280,13,13302,107,1,5,60200,7000,0
Scaglie del Combattente Guerrafondaio,47,2,43042,280,13,13302,119,1,5,60200,7000,0
Scaglie del Combattente Guerrafondaio,48,2,43041,276,13,13302,120,1,5,60200,7000,0
Piastre del Combattente Guerrafondaio,49,1,43044,280,13,13302,115,1,5,60200,7000,0
Piastre del Combattente Guerrafondaio,50,1,43043,276,13,13302,116,1,5,60200,7000,0
Raso del Combattente Guerrafondaio,51,16,43046,280,13,13302,117,1,5,60200,7000,0
Raso del Combattente Guerrafondaio,52,16,43045,276,13,13302,118,1,5,60200,7000,0
Seta del Combattente Guerrafondaio,53,128,43047,276,13,13302,122,1,5,60200,7000,0
Seta del Combattente Guerrafondaio,54,128,43048,280,13,13302,121,1,5,60200,7000,0
Viltela del Combattente Guerrafondaio,55,256,43050,280,13,13302,109,1,5,60200,7000,0
Viltela del Combattente Guerrafondaio,56,256,43049,276,13,13302,110,1,5,60200,7000,0
Maglia Inanellata del Combattente Primordiale,57,4,43074,280,11,13302,123,1,5,60001,6200,0
Maglia Inanellata del Combattente Primordiale,58,4,43073,276,11,13302,124,1,5,60001,6200,0
Maglia Rinforzata del Combattente Primordiale,59,64,43076,280,11,13302,137,1,5,60001,6200,0
Maglia Rinforzata del Combattente Primordiale,60,64,43075,276,11,13302,138,1,5,60001,6200,0
Pelle di Drago del Combattente Primordiale,61,1024,43078,280,11,13302,125,1,5,60001,6200,0
Pelle di Drago del Combattente Primordiale,62,1024,43077,276,11,13302,126,1,5,60001,6200,0
Cuoio del Combattente Primordiale,63,8,43080,280,11,13302,133,1,5,60001,6200,0
Cuoio del Combattente Primordiale,64,8,43081,276,11,13302,134,1,5,60001,6200,0
Cuoioferro del Combattente Primordiale,65,512,43083,280,11,13302,131,1,5,60001,6200,0
Cuoioferro del Combattente Primordiale,66,512,43082,276,11,13302,132,1,5,60001,6200,0
Piastre Oscure del Combattente Primordiale,67,32,43085,280,11,13302,127,1,5,60001,6200,0
Piastre Oscure del Combattente Primordiale,68,32,43084,276,11,13302,128,1,5,60001,6200,0
Scaglie del Combattente Primordiale,69,2,43087,280,11,13302,141,1,5,60001,6200,0
Scaglie del Combattente Primordiale,70,2,43086,276,11,13302,142,1,5,60001,6200,0
Piastre del Combattente Primordiale,71,1,43089,280,11,13302,135,1,5,60001,6200,0
Piastre del Combattente Primordiale,72,1,43088,276,11,13302,136,1,5,60001,6200,0
Viltela del Combattente Primordiale,73,256,43093,280,11,13302,129,1,5,60001,6200,0
Viltela del Combattente Primordiale,74,256,43092,276,11,13302,130,1,5,60001,6200,0
Raso del Combattente Primordiale,75,16,43095,280,11,13302,139,1,5,60001,6200,0
Raso del Combattente Primordiale,76,16,43094,276,11,13302,140,1,5,60001,6200,0
Seta del Combattente Primordiale,77,128,43097,280,11,13302,143,1,5,60001,6200,0
Seta del Combattente Primordiale,78,128,43096,276,11,13302,144,1,5,60001,6200,0
Maglia Inanellata del Gladiatore Indomito,79,4,43103,280,12,13301,0,1,5,60100,7000,0
Maglia Inanellata del Gladiatore Indomito,80,4,43102,276,12,13301,0,1,5,60100,7000,0
Maglia Rinforzata del Gladiatore Indomito,81,64,43104,276,12,13301,0,1,5,60100,7000,0
Maglia Rinforzata del Gladiatore Indomito,82,64,43105,280,12,13301,0,1,5,60100,7000,0
Pelle di Drago del Gladiatore Indomito,83,1024,43108,280,12,13301,0,1,5,60100,7000,0
Pelle di Drago del Gladiatore Indomito,84,1024,43107,276,12,13301,0,1,5,60100,7000,0
Cuoio del Gladiatore Indomito,85,8,43109,276,12,13301,0,1,5,60100,7000,0
Cuoio del Gladiatore Indomito,86,8,43110,280,12,13301,0,1,5,60100,7000,0
Cuoioferro del Gladiatore Indomito,87,512,43113,280,12,13301,0,1,5,60100,7000,0
Cuoioferro del Gladiatore Indomito,88,512,43112,276,12,13301,0,1,5,60100,7000,0
Piastre Oscure del Gladiatore Indomito,89,32,43005,280,12,13301,0,1,5,60100,7000,0
Piastre Oscure del Gladiatore Indomito,90,32,43114,276,12,13301,0,1,5,60100,7000,0
Piastre del Gladiatore Indomito,91,1,43117,280,12,13301,0,1,5,60100,7000,0
Piastre del Gladiatore Indomito,92,1,43116,276,12,13301,0,1,5,60100,7000,0
Scaglie del Gladiatore Indomito,93,2,43119,280,12,13301,0,1,5,60100,7000,0
Scaglie del Gladiatore Indomito,94,2,43118,276,12,13301,0,1,5,60100,7000,0
Viltela del Gladiatore Indomito,95,256,43123,280,12,13301,0,1,5,60100,7000,0
Viltela del Gladiatore Indomito,96,256,43122,276,12,13301,0,1,5,60100,7000,0
Raso del Gladiatore Indomito,97,16,43125,280,12,13301,0,1,5,60100,7000,0
Raso del Gladiatore Indomito,98,16,43124,276,12,13301,0,1,5,60100,7000,0
Seta del Gladiatore Indomito,99,128,43127,280,12,13301,0,1,5,60100,7000,0
Seta del Gladiatore Indomito,100,128,43126,276,12,13301,0,1,5,60100,7000,0
Maglia Inanellata del Gladiatore Guerrafondaio,101,4,43137,280,13,13301,0,1,5,60200,7100,0
Maglia Inanellata del Gladiatore Guerrafondaio,102,4,43136,276,13,13301,0,1,5,60200,7100,0
Maglia Rinforzata del Gladiatore Guerrafondaio,103,64,43139,280,13,13301,0,1,5,60200,7100,0
Maglia Rinforzata del Gladiatore Guerrafondaio,104,64,43138,276,13,13301,0,1,5,60200,7100,0
Pelle di Drago del Gladiatore Guerrafondaio,105,1024,43155,280,13,13301,0,1,5,60200,7100,0
Pelle di Drago del Gladiatore Guerrafondaio,106,1024,43154,276,13,13301,0,1,5,60200,7100,0
Piastre Oscure del Gladiatore Guerrafondaio,107,32,43157,280,13,13301,0,1,5,60200,7100,0
Piastre Oscure del Gladiatore Guerrafondaio,108,32,43156,276,13,13301,0,1,5,60200,7100,0
Viltela del Gladiatore Guerrafondaio,109,256,43161,280,13,13301,0,1,5,60200,7100,0
Viltela del Gladiatore Guerrafondaio,110,256,43160,276,13,13301,0,1,5,60200,7100,0
Cuoioferro del Gladiatore Guerrafondaio,111,512,43164,280,13,13301,0,1,5,60200,7100,0
Cuoioferro del Gladiatore Guerrafondaio,112,512,43163,276,13,13301,0,1,5,60200,7100,0
Cuoio del Gladiatore Guerrafondaio,113,8,43166,280,13,13301,0,1,5,60200,7100,0
Cuoio del Gladiatore Guerrafondaio,114,8,43165,276,13,13301,0,1,5,60200,7100,0
Piastre del Gladiatore Guerrafondaio,115,1,43168,280,13,13301,0,1,5,60200,7100,0
Piastre del Gladiatore Guerrafondaio,116,1,43167,276,13,13301,0,1,5,60200,7100,0
Raso del Gladiatore Guerrafondaio,117,16,43170,280,13,13301,0,1,5,60200,7100,0
Raso del Gladiatore Guerrafondaio,118,16,43169,276,13,13301,0,1,5,60200,7100,0
Scaglie del Gladiatore Guerrafondaio,119,2,43172,280,13,13301,0,1,5,60200,7100,0
Scaglie del Gladiatore Guerrafondaio,120,2,43171,276,13,13301,0,1,5,60200,7100,0
Seta del Gladiatore Guerrafondaio,121,128,43174,280,13,13301,0,1,5,60200,7100,0
Seta del Gladiatore Guerrafondaio,122,128,43173,276,13,13301,0,1,5,60200,7100,0
Maglia Inanellata del Gladiatore Primordiale,123,4,43198,280,11,13301,0,1,5,60001,6600,0
Maglia Inanellata del Gladiatore Primordiale,124,4,43197,276,11,13301,0,1,5,60001,6600,0
Pelle di Drago del Gladiatore Primordiale,125,1024,43200,280,11,13301,0,1,5,60001,6600,0
Pelle di Drago del Gladiatore Primordiale,126,1024,43199,276,11,13301,0,1,5,60001,6600,0
Piastre Oscure del Gladiatore Primordiale,127,32,43202,280,11,13301,0,1,5,60001,6600,0
Piastre Oscure del Gladiatore Primordiale,128,32,43201,276,11,13301,0,1,5,60001,6600,0
Viltela del Gladiatore Primordiale,129,256,43204,280,11,13301,0,1,5,60001,6600,0
Viltela del Gladiatore Primordiale,130,256,43203,276,11,13301,0,1,5,60001,6600,0
Cuoioferro del Gladiatore Primordiale,131,512,43210,280,11,13301,0,1,5,60001,6600,0
Cuoioferro del Gladiatore Primordiale,132,512,43209,276,11,13301,0,1,5,60001,6600,0
Cuoio del Gladiatore Primordiale,133,8,43212,280,11,13301,0,1,5,60001,6600,0
Cuoio del Gladiatore Primordiale,134,8,43211,276,11,13301,0,1,5,60001,6600,0
Piastre del Gladiatore Primordiale,135,1,43089,280,11,13301,0,1,5,60001,6600,0
Piastre del Gladiatore Primordiale,136,1,43213,276,11,13301,0,1,5,60001,6600,0
Maglia Rinforzata del Gladiatore Primordiale,137,64,43217,280,11,13301,0,1,5,60001,6600,0
Maglia Rinforzata del Gladiatore Primordiale,138,64,43216,276,11,13301,0,1,5,60001,6600,0
Raso del Gladiatore Primordiale,139,16,43219,280,11,13301,0,1,5,60001,6600,0
Raso del Gladiatore Primordiale,140,16,43218,276,11,13301,0,1,5,60001,6600,0
Scaglie del Gladiatore Primordiale,141,2,43221,280,11,13301,0,1,5,60001,6600,0
Scaglie del Gladiatore Primordiale,142,2,43220,276,11,13301,0,1,5,60001,6600,0
Seta del Gladiatore Primordiale,143,128,43223,280,11,13301,0,1,5,60001,6600,0
Seta del Gladiatore Primordiale,144,128,43222,276,11,13301,0,1,5,60001,6600,0
Arsenale del Gladiatore Primordiale,145,0,43225,281,0,0,0,1,5,60001,6600,0
Arsenale del Gladiatore Primordiale,146,0,43224,277,0,0,0,1,5,60001,6600,0
,147,0,43227,281,0,0,0,1,5,60100,7000,0
,148,0,43226,277,0,0,0,1,5,60100,7000,0
,149,0,43230,281,0,0,0,1,0,60200,7100,0
,150,0,43229,277,0,0,0,1,0,60200,7100,0
,151,0,43232,281,0,0,0,1,5,60200,7000,0
,152,0,43231,277,0,0,0,1,5,60200,7000,0
,153,0,43234,281,0,0,0,1,5,60100,6700,0
,154,0,43233,277,0,0,0,1,5,60100,6700,0
Arsenale del Combattente Primordiale,155,0,43236,281,0,0,0,1,5,60001,6200,0
Arsenale del Combattente Primordiale,156,0,43235,277,0,0,0,1,5,60001,6200,0
Armatura Vilforgiata,157,35,43278,2,48,0,0,1,6,70001,100,0
Armatura di Vilmaglia,158,4164,43279,2,48,0,0,1,6,70001,100,0
Armatura di Cuoio di Vilmanto,159,3592,43280,2,48,0,0,1,6,70001,100,0
Armatura di Stoffa Vilinfusa,160,400,43281,2,48,0,0,1,6,70001,100,0
,162,0,0,3,0,0,0,1,0,0,10,0
,163,4,0,3,0,0,0,1,0,0,750,0
,164,16,0,3,0,0,0,1,0,0,750,0
,167,0,42778,3,0,0,0,1,0,0,200,0
,168,0,45129,3,0,0,0,1,0,0,6400,0
,169,0,45130,3,0,0,0,1,0,0,2510,0
,170,0,45131,3,0,0,0,1,0,0,490,0
Vessillo del Defunto Prescelto,171,400,45208,2,47,13193,0,1,6,70100,8551,0
