ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Signore degli Apexis,3,20529,28227
3,Mastro Artigiano di Draenor,3,19152,27762
4,Difensore di Draenor,4,19153,28169
5,Allenatore di Draenor,3,20514,28226
9,Incursore Mitico di Draenor,3,19207,28220
10,Incursore Mitico di Draenor,4,19209,28220
11,Mastro Artigiano di Draenor,4,19573,27762
12,Difensore di Draenor,3,20403,28169
13,Allenatore di Draenor,4,20528,28226
14,Signore degli Apexis,4,20530,28227
15,Statua Ordinaria,0,10782,24827
16,Re in Verde,4,23436,30838
17,Re in Verde,3,23502,30838
18,Capitolo IV: Oscurità Incarnata,3,26914,34184
19,Allenatore di Draenor,0,20514,27108
20,Capitolo IV: Oscurità Incarnata,4,26914,34184
