WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
Impatto!,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
La Corrosione sta per corrompere la tua mente!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
La Spazzatura Rotolante sta collassando!,27,461536,5000,0,0,0,0
Il tuo Destino sta iniziando a separarsi!,28,1224865,0,0,5793,0,15
L'Onda d'Urto Cristallina è imminente!,31,1243721,8000,0,0,0,0
L'Involucro di Cristallo è imminente!,32,1227373,6000,0,0,0,0
Alleria è pronta a far fuoco!,33,1233602,3000,0,0,0,0
Il Terrore dell'Ignoto arriverà presto!,34,1225221,3000,0,0,0,0
Il Volteggio Reshii è quasi esausto!,35,1235114,4000,0,0,0,0
Sul punto di essere folgorato!,39,1246457,0,0,0,0,0
La gravità sta iniziando ad avere la meglio su di te!,40,1234570,0,0,0,0,8
Alleria è pronta a far fuoco!,41,1237623,3000,0,0,0,0
Stretta della Vacuità sta terminando!,42,1232470,4000,0,0,0,0
Per te giunge l'oblio...,46,1257299,0,0,0,0,0
Rovina!,47,1217973,10000,0,0,0,0
Accogli il Vuoto o soccombi,48,1262972,0,0,0,0,0
Accogli la Luce o soccombi,49,1262983,0,0,0,0,0
Bersaglio acquisito!,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t Il tuo Marchio dell'Ombra sta per esplodere!,51,1270497,2500,0,0,0,0
,52,1222088,2000,1,0,12197,0
L'Espulsione del Vuoto sta per eruttare!,53,1283236,3000,0,0,0,0
