Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,TempVisibilityPlayerConditionID,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,AlternateUiMapGroup,ContentTuningID,AdventureMapTextureKitID,MapArtZoneTextPosition
Durotar,1,12,6,0,3,0,0,0,0,0,0,0,70,0,0
Covo delle Lame Ardenti,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0
Forte di Tiragarde,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0
Forte di Tiragarde,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0
Roccia del Teschio,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0
Grotta di Ventolordo,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0
Mulgore,7,12,6,0,3,0,0,0,0,0,0,0,71,0,0
Roccia dei Mantopallido,8,7,0,0,5,0,0,0,0,0,0,0,0,0,0
Miniera della S.P.R. & Co.,9,7,0,0,5,0,0,0,0,0,0,0,0,0,0
Savane Settentrionali,10,12,6,0,3,0,0,0,0,0,0,0,3,0,0
Caverna dei Lamenti,11,10,0,0,5,0,0,0,0,0,0,0,0,0,0
Kalimdor,12,947,0,0,2,0,0,0,0,0,0,0,2844,0,0
Regni Orientali,13,947,0,0,2,0,0,0,0,0,0,0,2844,0,0
Altopiani d'Arathi,14,13,6,0,3,10,1,0,0,1,0,0,17,0,0
Maleterre,15,13,6,0,3,0,0,0,0,0,0,0,27,0,0
Uldaman,16,15,0,0,5,0,0,0,0,0,0,0,0,0,0
Terre Devastate,17,13,6,0,3,0,0,0,0,0,0,0,34,0,0
Radure di Tirisfal,18,13,6,0,3,0,0,0,0,0,0,0,75,0,0
Ingresso al Monastero Scarlatto,19,18,0,0,5,0,0,0,0,0,0,0,0,0,0
Riposo del Guardiano,20,18,0,0,5,0,0,0,0,0,0,0,0,0,0
Selva Pinargento,21,13,6,0,3,0,0,0,0,0,0,0,7,0,0
Terre Infette Occidentali,22,13,6,0,3,0,0,0,0,0,0,0,25,0,0
Terre Infette Orientali,23,13,6,0,3,0,0,0,0,0,0,0,35,0,0
Cappella della Luce,24,23,0,0,5,0,0,0,0,0,0,0,0,0,0
Alture di Colletorto,25,13,6,0,3,0,0,0,0,0,0,0,11,0,0
Entroterre,26,13,6,0,3,0,0,0,0,0,0,0,20,0,0
Dun Morogh,27,13,6,0,3,0,0,0,0,0,0,0,74,0,0
Passo Crestafredda,28,27,0,0,5,0,0,0,0,0,0,0,0,0,0
Tana Selvaggia,29,27,0,0,5,0,0,0,0,0,0,0,0,0,0
Nuova Rabberciopoli,30,27,0,0,5,0,0,0,0,0,0,0,0,0,0
Cava di Gol'Bolar,31,27,0,0,5,0,0,0,0,0,0,0,0,0,0
Gorgia Rovente,32,13,6,0,3,0,0,0,0,0,0,0,29,0,0
Massiccio Roccianera,33,36,0,0,5,0,0,0,0,0,0,0,0,0,0
Massiccio Roccianera,34,36,0,0,5,0,0,0,0,0,0,0,0,0,0
Massiccio Roccianera,35,32,0,0,5,0,0,0,0,0,0,0,0,0,0
Steppe Ardenti,36,13,6,0,3,0,0,0,0,0,0,0,30,0,0
Foresta di Elwynn,37,13,6,0,3,0,0,0,0,0,0,0,73,0,0
Miniera Antrocupo,38,37,0,0,5,0,0,0,0,0,0,0,0,0,0
Miniera Antrocupo,39,37,0,0,5,0,0,0,0,0,0,0,0,0,0
Miniera Venarossa,40,37,0,0,5,0,0,0,0,0,0,0,0,0,0
Dalaran,41,42,0,0,5,0,0,0,0,0,0,0,0,0,0
Valico Ventomorto,42,13,6,0,3,0,0,0,0,0,0,0,775,0,0
Cantina del Padrone,43,42,0,0,5,0,0,0,0,0,0,0,0,0,0
Cantina del Padrone,44,42,0,0,5,0,0,0,0,0,0,0,0,0,0
Cantina del Padrone,45,42,0,0,5,0,0,0,0,0,0,0,0,0,0
Catacombe di Karazhan,46,42,0,0,5,0,0,0,0,0,0,0,0,0,0
Boscovespro,47,13,6,0,3,0,0,0,0,0,0,0,13,0,0
Loch Modan,48,13,6,0,3,0,0,0,0,0,0,0,9,0,0
Montagne Crestarossa,49,13,6,0,3,0,0,0,0,0,0,0,10,0,0
Rovotorto Settentrionale,50,224,6,0,3,0,0,0,0,0,0,0,18,0,0
Palude del Dolore,51,13,6,0,3,0,0,0,0,0,0,0,31,0,0
Marche Occidentali,52,13,6,0,3,0,0,0,0,0,0,0,6,0,0
Cava della Costa d'Oro,53,52,0,0,5,0,0,0,0,0,0,0,0,0,0
Miniera Venacava,54,52,0,0,5,0,0,0,0,0,0,0,0,0,0
Miniere della Morte,55,52,0,0,5,0,0,0,0,0,0,0,0,0,0
Paludi Grigie,56,13,6,0,3,0,0,0,0,0,0,0,15,0,0
Teldrassil,57,12,6,0,3,0,0,0,68088,0,0,0,72,0,0
Caverna Telabuia,58,57,0,0,5,0,0,0,0,0,0,0,0,0,0
Vilroccia,59,57,0,0,5,0,0,0,0,0,0,0,0,0,0
Eremo di Ban'ethil,60,57,0,0,5,0,0,0,0,0,0,0,0,0,0
Eremo di Ban'ethil,61,57,0,0,5,0,0,0,0,0,0,0,0,0,0
Rivafosca,62,12,6,0,3,10,1,0,0,1,0,0,5,0,0
Valtetra,63,12,6,0,3,0,0,0,0,0,0,0,12,0,0
Millepicchi,64,12,6,0,3,0,0,0,0,0,0,0,21,0,0
Vette di Petrartiglio,65,12,6,0,3,0,0,0,0,0,0,0,14,0,0
Desolanda,66,12,6,0,3,0,0,0,0,0,0,0,19,0,0
Maraudon,67,66,0,0,5,0,0,0,0,0,0,0,0,0,0
Maraudon,68,66,0,0,5,0,0,0,0,0,0,0,0,0,0
Feralas,69,12,6,0,3,0,0,0,0,0,0,0,22,0,0
Acquemorte,70,12,6,0,3,0,0,0,0,0,0,0,23,0,0
Tanaris,71,12,6,0,3,0,0,0,0,0,0,0,28,0,0
Antro Venefico,72,71,0,0,5,0,0,0,0,0,0,0,0,0,0
Abisso Golaperta,73,71,0,0,5,0,0,0,0,0,0,0,0,0,0
Caverne del Tempo,74,71,0,0,5,0,0,0,0,0,0,0,0,0,0
Caverne del Tempo,75,71,0,0,5,0,0,0,0,0,0,0,0,0,0
Azshara,76,12,6,0,3,0,0,0,0,0,0,0,2,0,0
Vilbosco,77,12,6,0,3,0,0,0,0,0,0,0,26,0,0
Cratere di Un'Goro,78,12,6,0,3,0,0,0,0,0,0,0,32,0,0
Anfratto Brulicante,79,78,0,0,5,0,0,0,0,0,0,0,0,0,0
Radaluna,80,12,6,0,3,0,0,0,0,0,0,0,884,0,0
Silitus,81,12,6,0,3,0,0,0,0,0,0,0,36,0,0
Grotta del Crepuscolo,82,81,0,0,5,0,0,0,0,0,0,0,0,0,0
Fontefredda,83,12,6,0,3,0,0,0,0,0,0,0,33,0,0
Roccavento,84,13,7,0,3,0,0,0,0,0,0,0,0,0,0
Orgrimmar,85,12,7,0,3,0,0,0,0,0,0,0,0,0,0
Orgrimmar,86,85,512,0,6,0,0,0,0,0,0,0,0,0,0
Forgiardente,87,13,6,0,3,0,0,0,0,0,0,0,0,0,0
Picco del Tuono,88,12,6,0,3,0,0,0,0,0,0,0,0,0,0
Darnassus,89,12,7,0,3,0,0,0,68088,0,0,0,0,0,0
Sepulcra,90,13,6,0,3,0,0,0,62731,0,0,0,0,0,0
Valle d'Alterac,91,25,0,0,6,0,0,0,0,0,0,0,0,0,0
Forra dei Cantaguerra,92,10,0,0,6,0,0,0,0,0,0,0,0,0,0
