ID,Value_lang,ReqID,ParentWidgetID
7,Controllate: %2476w,2,4
8,Fortificazioni dell'Alleanza controllate,3,4
9,Ultimo vincitore: Alleanza,4,4
10,Controllate: %2478w,2,5
11,Fortificazioni dell'Orda controllate,3,5
12,Ultimo vincitore: Orda,4,5
13,Tempo restante: %4248k,2,6
16,Raccogli %14684w Azerite.,14,7
17,Rilevatore d'Azerite in: %13654k,2,8
18,Tempo all'attivazione del Rilevatore d'Azerite.,3,8
19,,4,8
1406,%12953w,2,497
1407,Encomi Qiraji dell'Alleanza,3,497
1408,,4,497
1409,%12952w,2,498
1410,Encomi Qiraji dell'Orda,3,498
1411,,4,498
1412,Nemici invasori: %2454w,2,499
1413,Numero di nemici invasori nella base dell'Orda.,3,499
1414,,4,499
1415,Nemici invasori: %2454w,2,500
1416,Numero di nemici invasori nella base dell'Orda.,3,500
1417,,4,500
1418,Guardie restanti: %2491w/%2493w,2,501
1419,,3,501
1420,,4,501
1421,Guardie restanti: %2491w/%2493w,2,503
1422,,3,503
1423,,4,503
1424,Tempo restante: %2509w:%2512w%2510w,2,504
1425,Tempo restante prima che le Torri dello Spirito diventino conquistabili.,3,504
1426,,4,504
1427,Scudo di Medivh restante: %2540w%,2,507
1428,,3,507
1429,,4,507
1430,Squadra Viola: %3600w giocatori restanti,2,508
1431,,3,508
1432,,4,508
1433,Squadra Oro: %3601w giocatori restanti,2,509
1434,,3,509
1435,,4,509
1436,Faro Occidentale,2,510
1437,Faro controllato dall'Alleanza,3,510
1438,,4,510
1439,Faro Occidentale,2,511
1440,Faro controllato dall'Orda,3,511
1441,,4,511
1442,Faro Occidentale,2,512
1443,Faro neutrale,3,512
1444,,4,512
1445,Faro Orientale,2,513
1446,Faro controllato dall'Alleanza,3,513
1447,,4,513
1448,Faro Orientale,2,514
1449,Faro controllato dall'Orda,3,514
1450,,4,514
1451,Faro Orientale,2,515
1452,Faro neutrale,3,515
1453,,4,515
1454,Squadra Oro: %3601w giocatori restanti,2,516
1455,,3,516
1456,,4,516
1457,Squadra Viola: %3600w giocatori restanti,2,517
1458,,3,517
1459,,4,517
1460,Torri controllate: %2621w,2,518
1461,Torri dell'Alleanza controllate,3,518
1462,,4,518
1463,Torri controllate: %2622w,2,519
1464,Torri dell'Orda controllate,3,519
1465,,4,519
1466,Bombe incendiarie piazzate: %2436w/5,2,522
1467,Numero di bombe incendiarie piazzate a Durnholde.,3,522
1468,,4,522
1475,Tempo restante: %2509w:%2512w%2510w,2,525
1476,Tempo restante prima che le Torri dello Spirito diventino conquistabili.,3,525
1477,,4,525
1478,Tempo restante: %2509w:%2512w%2510w,2,526
1479,Tempo restante prima che le Torri dello Spirito diventino conquistabili.,3,526
1480,,4,526
1481,Fenditure del Tempo aperte: %2784w/18,2,527
1482,,3,527
1483,,4,527
1484,Ondata attuale: %2842w di 8,2,528
1485,Ondata attuale,3,528
1486,,4,528
1487,Portale distorcente settentrionale: %2880w%,2,529
1488,,3,529
1489,,4,529
1490,Portale distorcente meridionale: %2881w%,2,530
1491,,3,530
1492,,4,530
1493,Squadra Oro: %3601w giocatori restanti,2,531
1494,,3,531
1495,,4,531
1496,Squadra Viola: %3600w giocatori restanti,2,532
1497,,3,532
1498,,4,532
1499,Scudo restante: %3054w%,2,533
1500,Percentuale di integrità dello scudo,3,533
1501,,4,533
1502,%3082w / 12 tiratori restanti,2,534
1503,Numero di difensori di Theramore ancora in vita.,3,534
1504,,4,534
1505,Tempo al sacrificio: %3106w min,2,535
1506,Tempo restante prima dell'uccisione dei prigionieri.,3,535
1507,,4,535
1508,Rinforzi: %3127w,2,536
1509,Rinforzi dell'Alleanza,3,536
1510,,4,536
1511,Rinforzi: %3128w,2,537
1512,Rinforzi dell'Orda,3,537
1513,,4,537
1514,Casse infette scoperte: %3480w/5,2,539
1515,Numero di casse di grano infette scoperte.,3,539
1516,,4,539
1517,Ondate del Flagello: %3504w/10,2,541
1518,Numero di ondate del Flagello affrontate.,3,541
1519,,4,541
1520,Veicoli: %3490w/%3491w,2,542
1521,Stato dell'Orda,3,542
1522,,4,542
1523,Veicoli: %3680w/%3681w,2,543
1524,Stato dell'Alleanza,3,543
1525,,4,543
1526,Costrutti Roteanti: %3486w restanti,2,544
1527,,3,544
1528,,4,544
1529,Attaccante,2,546
1530,Stato dell'Alleanza,3,546
1531,,4,546
1532,Difensore,2,547
1533,Stato dell'Orda,3,547
1534,,4,547
1535,Fine del turno: %3557k,2,548
1536,Il turno finirà allo scadere del tempo.,3,548
1537,,4,548
1538,Difensore,2,549
1539,Stato dell'Alleanza,3,549
1540,,4,549
1541,Attaccante,2,550
1542,Stato dell'Orda,3,550
1543,,4,550
1544,Tempo bonus: %3557k,2,551
1545,Tempo restante per ottenere punti bonus.,3,551
1546,,4,551
1547,Fine del turno: %3557k,2,552
1548,Il turno finirà allo scadere del tempo.,3,552
1549,,4,552
1550,Truppe della Luce restanti: %3590w,2,553
1551,Truppe della Luce rimaste!,3,553
1552,,4,553
1553,Truppe del Flagello restanti: %3591w,2,554
1554,Truppe del Flagello rimaste!,3,554
1555,,4,554
1556,%3604w min alla battaglia per la Cappella della Luce!,2,555
1557,Tempo restante prima dell'inizio della battaglia per la Cappella della Luce!,3,555
1558,,4,555
1559,La battaglia per la Cappella della Luce è iniziata!,2,556
1560,,3,556
1561,,4,556
1562,Squadra Oro: %3601w giocatori restanti,2,557
1563,,3,557
1564,,4,557
1565,Squadra Viola: %3600w giocatori restanti,2,558
1566,,3,558
1567,,4,558
1568,Squadra Oro: %3601w giocatori restanti,2,559
1569,,3,559
1570,,4,559
1571,Squadra Viola: %3600w giocatori restanti,2,560
1572,,3,560
1573,,4,560
1574,Tempo restante: %3781k,2,561
1575,La partita finirà allo scadere del tempo.,3,561
1576,,4,561
1577,Controllato dall'Alleanza,2,562
1578,,3,562
1579,,4,562
1580,Controllato dall'Orda,2,563
1581,,3,563
1582,,4,563
1583,Prossima battaglia: %4354k,2,564
1584,Tempo restante prima della prossima battaglia per il Lago Lungoinverno.,3,564
1585,,4,564
1586,Integrità del sigillo della prigione: %3815w%,2,565
1587,,3,565
1588,,4,565
1589,Portali aperti: %3810w/18,2,566
1590,,3,566
1591,,4,566
1592,La battaglia per Sepulcra è iniziata!,2,567
1593,La battaglia per Sepulcra è iniziata!,3,567
1594,,4,567
1595,%3877w min alla battaglia per Sepulcra!,2,568
1596,Tempo restante prima dell'inizio della battaglia per Sepulcra!,3,568
1597,,4,568
1598,Il nemico controlla Sepulcra!,2,569
1599,Varimathras e il Gran Speziale Putress hanno preso il controllo di Sepulcra!,3,569
1600,,4,569
1601,L'Orda sta combattendo per il cortile!,2,570
1602,Aiuta le truppe dell'Orda nel cortile di Sepulcra!,3,570
1603,,4,570
1604,L'Orda controlla il Quartiere degli Speziali!,2,571
1605,L'area è ora sicura.,3,571
1606,,4,571
1607,L'Orda sta combattendo per il Santuario Interno!,2,572
1608,Aiuta le truppe dell'Orda nel Quartiere dei Commerci e nei Canali!,3,572
1609,,4,572
1610,L'Orda controlla il Santuario Interno!,2,573
1611,L'area è ora sicura.,3,573
1612,,4,573
1613,L'Orda sta combattendo per il Quartiere degli Speziali!,2,574
1614,Aiuta le truppe dell'Orda nel Quartiere degli Speziali!,3,574
1615,,4,574
1616,L'Orda controlla il Quartiere degli Speziali!,2,575
1617,L'area è ora sicura.,3,575
1618,,4,575
1619,L'Orda sta combattendo per il Quartiere Reale!,2,576
1620,Aiuta le truppe dell'Orda nel Quartiere Reale!,3,576
1621,,4,576
1622,L'Orda controlla il Quartiere Reale! Varimathras è sconfitto!,2,577
1623,L'Orda ha ripreso il controllo di Sepulcra!,3,577
1624,,4,577
1625,%3893w min alla ripartenza dell'evento.,2,578
1626,,3,578
1627,,4,578
1628,Tempo restante: %3931w min,2,579
1629,Tempo restante prima della corruzione del Guardiano del Tempo.,3,579
1630,,4,579
1631,Il nemico controlla Sepulcra!,2,580
1632,Varimathras e il Gran Speziale Putress hanno preso il controllo di Sepulcra!,3,580
1633,,4,580
1634,L'Alleanza sta combattendo nelle Fogne!,2,581
1635,Aiuta le truppe dell'Alleanza nelle fogne di Sepulcra!,3,581
1636,,4,581
1637,L'Alleanza ha assunto il controllo del Quartiere degli Speziali!,2,582
1638,L'area è ora sicura.,3,582
1639,,4,582
1640,%3957w min alla caccia all'uomo!,2,583
1641,Tempo restante all'inizio della caccia per il Gran Speziale Putress!,3,583
1642,,4,583
1643,La caccia all'uomo è iniziata!,2,584
1644,La caccia all'uomo è iniziata!,3,584
1645,,4,584
1646,L'Alleanza sta combattendo nelle Fogne!,2,585
1647,Aiuta le truppe dell'Orda nel Quartiere degli Speziali!,3,585
1648,,4,585
1649,L'Alleanza ha assunto il controllo del Quartiere degli Speziali!,2,586
1650,L'area è ora sicura. Putress è sconfitto!,3,586
1651,,4,586
1652,Tempo restante all'invio della richiesta d'aiuto: %4131w min,2,587
1653,Tempo prima dell'invio della richiesta.,3,587
1654,,4,587
1655,Rinforzi: %4226w,2,588
1656,Rinforzi dell'Alleanza,3,588
1657,,4,588
1658,Rinforzi: %4227w,2,589
1659,Rinforzi dell'Orda,3,589
1660,,4,589
1661,Fine del turno: %3557k,2,590
1662,Il turno finirà allo scadere del tempo.,3,590
1663,Il turno finirà allo scadere del tempo.,4,590
1664,Tentativi restanti: %4389w,2,591
1665,,3,591
1666,,4,591
1667,Ondate di spiriti: %4882w/10,2,592
1668,Numero di ondate di spiriti affrontate.,3,592
1669,,4,592
1670,Tempo all'esecuzione: %4904w min,2,593
1671,Tempo restante prima che Minchar soccomba.,3,593
1672,,4,593
1673,Tentativi eroici restanti prima della ritirata: %4941w di %4942w,2,594
1674,,3,594
1675,,4,594
1676,Tentativi eroici restanti prima della ritirata: %4941w di %4942w,2,595
1677,,3,595
1678,,4,595
1679,Tentativi eroici restanti prima della ritirata: %4941w di %4942w,2,596
1680,,3,596
1681,,4,596
1682,Tentativi eroici restanti prima della ritirata: %4941w di %4942w,2,597
1683,,3,597
1684,,4,597
1685,Tentativi eroici restanti prima della ritirata: %4941w di %4942w,2,598
1686,,3,598
1687,,4,598
1688,Attaccanti naga uccisi: %5028w/50,2,599
1689,Numero di attaccanti naga uccisi.,3,599
1690,,4,599
1691,L'Operazione Gnomeregan è in corso.,2,600
1692,L'Operazione Gnomeregan è in corso.,3,600
1693,,4,600
1694,Lanciarazzi distrutti: %5027w/4,2,601
1695,,3,601
1696,,4,601
1697,Aiuta le forze di Gnomeregan alle strutture di ingegneria.,2,602
1698,Aiuta le forze di Gnomeregan alle strutture di ingegneria.,3,602
1699,,4,602
1700,L'aerodromo è sotto attacco.,2,603
1701,Aiuta le truppe di Gnomeregan all'aerodromo!,3,603
1702,,4,603
1703,Gli Gnomi controllano l'aerodromo!,2,604
1704,Gli Gnomi controllano l'aerodromo!,3,604
1705,,4,604
1706,Cannoni anticarro distrutti: %5006w/6,2,605
1707,Aiuta le forze di Gnomeregan alle strutture di ingegneria.,3,605
1708,,4,605
1709,Gli Gnomi controllano l'aerodromo e il posto di comando.,2,606
1710,Gli Gnomi hanno assunto il controllo dell'aerodromo e del posto di comando di superficie.,3,606
1711,,4,606
