Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,2,61892,0,132332,4,49,-1,6,7,0
기계 다람쥐는 논리 회로의 연산 결과에 따라 겨울을 나는 데 필요한 나사와 부속품을 수집하고 저장합니다.,|cFFFFD200전문 기술: |r기계공학,39,2671,4055,656559,9,2,3,6,7,0
"도니 앤서니아는 자신의 무덤에 검은고양이를 함께 묻어달라고 유언을 남길 생각입니다. 물론, 현명한 모험가라면 검은고양이의 재능을 훨씬 더 유용하게 사용할 수도 있을 겁니다.",|cFFFFD200상인: |r도니 앤서니아|n|cFFFFD200지역: |r엘윈 숲|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,40,7385,10673,656575,7,2,2,6,7,0
도니 앤서니아는 이 고양이들을 초대해서 함께 차를 마십니다. 하지만 이 고양이들이 좋아하는 음료는 따로 있습니다. 바로 적의 눈물입니다.,|cFFFFD200상인: |r도니 앤서니아|n|cFFFFD200지역: |r엘윈 숲|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,41,7384,10674,656577,7,2,2,6,7,0
알터랙 지역의 옛 속담: '고양이의 목숨은 아홉 개다. 하지만 필요한 건 하나 뿐이다.',|cFFFFD200획득: |r무작위 전리품|n|cFFFFD200지역: |r언덕마루 구릉지,42,7383,10675,656574,7,2,0,6,7,0
"마지막으로 이 고양이를 길들이려고 했던 사람은, 바닥 깔개가 조금 더럽혀지는 게 다른 모든 것이 갈가리 찢어지기보다는 낫다는 사실을 깨달아야 했습니다.","|cFFFFD200상인: |r도니 앤서니아, 스티븐 리스베인|n|cFFFFD200지역: |r엘윈 숲|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",43,7382,10676,656578,7,2,2,6,7,0
파란 눈 때문에 유명합니다. 커다란 멀록의 별미이기도 합니다.,|cFFFFD200상인: |r무역업자 라샤드|n|cFFFFD200지역: |r황천의 폭풍|n|cFFFFD200가격: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,44,7380,10677,656579,7,2,2,6,7,0
이 고양이가 두 번째로 좋아하는 행동은 낮잠입니다. 첫 번째는 하품입니다.,|cFFFFD200상인: |r도니 앤서니아|n|cFFFFD200지역: |r엘윈 숲|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,45,7381,10678,656580,7,2,2,6,7,0
"'여왕님은 고양이 세 마리를 키웠습니다. 첫 번째 고양이는 죽은 쥐를, 두 번째는 맛있는 토끼를 여왕님께 가져왔습니다. 여왕님이 가장 아끼던 세 번째 고양이는 적의 머리카락을 선물했습니다.'",|cFFFFD200상인: |r꼬마 티미|n|cFFFFD200지역: |r스톰윈드|n|cFFFFD200가격: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,46,7386,10679,656581,7,2,2,6,7,0
"이 새는 워낙 영리해서 말하는 법도 가르칠 수 있다고 합니다. 물론, 필요할 때는 부리를 다물 줄도 압니다.","|cFFFFD200상인: |r맨손의 해리, 나르크|n|cFFFFD200지역: |r가시덤불 곶|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",47,7390,10680,132921,2,2,2,6,7,0
"밀림 트롤은 이 새에게 ""도와주세요!""라는 말을 가르친 다음, 이 말을 듣고 아무 의심 없이 도와주러 온 여행자들을 납치합니다.","|cFFFFD200획득: |r무작위 전리품|n|cFFFFD200지역: |r북부 가시덤불, 가시덤불 곶",49,7391,10682,132921,2,2,0,6,7,0
"데피아즈단 해적들이 좋아하는 애완동물입니다. 깃털이 무척 화려하며, 비밀번호, 식료품 목록, 과자 제조법을 기억시켜 두면 편리하게 써먹을 수 있습니다.",|cFFFFD200획득: |r데피아즈단 해적 처치|n|cFFFFD200지역: |r죽음의 폐광,50,7387,10683,132925,2,2,0,6,7,0
"무법항의 고블린들이 좋아하는 애완동물입니다. 깃털이 무척 화려하며, 동전을 세거나, 영수증 금액을 계산하거나, 거짓 계약을 하는 데 편리하게 써먹을 수 있습니다.","|cFFFFD200상인: |r나르크, 맨손의 해리|n|cFFFFD200지역: |r가시덤불 곶|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200상인: |r무역업자 라샤드|n|cFFFFD200지역: |r황천의 폭풍|n|cFFFFD200가격: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",51,7389,10684,132924,2,2,2,6,7,0
이 녀석은 당신도 통닭 맛이 날 거라고 생각합니다.,"|cFFFFD200상인: |r""씩씩이"" 존슨|n|cFFFFD200지역: |r버섯구름 봉우리|n|cFFFFD200가격: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",52,7394,10685,135996,2,2,2,6,7,0
"충동 구매를 통해 바퀴벌레를 애완동물로 삼는 일이 많습니다. 하지만 일단 친구가 된 후에는, 아무리 애를 써도 헤어지기가 쉽지 않습니다.",|cFFFFD200상인: |r무역업자 라샤드|n|cFFFFD200지역: |r황천의 폭풍|n|cFFFFD200가격: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200상인: |r제레미어 페이슨|n|cFFFFD200지역: |r티리스팔 숲|n|cFFFFD200가격: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,55,7395,10688,294474,4,2,2,6,7,0
이 아이도 언젠가 다 자라면 엄마처럼 마을을 통째로 불태울 수 있을 겁니다.,"|cFFFFD200획득: |r새끼용 처치|n|cFFFFD200지역: |r저습지, 먼지진흙 습지대, 황야의 땅, 불타는 평원",56,7543,10695,134154,1,2,0,6,7,0
"푸른용군단의 다른 용들과 마찬가지로, 이 작고 엉뚱한 친구도 비전 마법을 능숙하게 사용합니다.",|cFFFFD200획득: |r무작위 전리품|n|cFFFFD200지역: |r여명의 설원,57,7547,10696,134155,1,2,0,6,7,0
"저습지 출신의 이 어린 용은 이제 막 사냥하는 법과 불을 뿜는 법, 깜찍하게 난동을 부리는 법을 배우기 시작했습니다.",|cFFFFD200획득: |r무작위 전리품|n|cFFFFD200지역: |r저습지,58,7544,10697,134158,1,2,0,6,7,0
한때 녹색용 이타리우스의 보살핌을 받았던 이 독특한 새끼용은 페랄라스의 밀림에 정착했습니다.,|cFFFFD200획득: |r맹독 새끼용 처치|n|cFFFFD200지역: |r페랄라스,59,7545,10698,134157,1,2,0,6,7,0
"다크문 축제 상인들은 기이하고 이국적이며 경이로운 물품을 판매합니다. 아, 뿔개구리도 팝니다.",|cFFFFD200상인: |r플릭|n|cFFFFD200지역: |r다크문 섬|n|cFFFFD200가격: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,64,7550,10703,237579,8,2,2,6,7,0
강인한 다리와 예민한 시력으로 유명합니다.,|cFFFFD200상인: |r플릭|n|cFFFFD200지역: |r다크문 섬|n|cFFFFD200가격: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,65,7549,10704,237579,8,2,2,6,7,0
텔드랏실의 드루이드 중에는 깃털이 어두운 이 맹금류를 파멸의 전령이라고 생각하는 이들도 많습니다.,|cFFFFD200상인: |r샤이레나이|n|cFFFFD200지역: |r텔드랏실|n|cFFFFD200가격: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,67,7555,10706,132150,2,2,2,6,7,0
나이트 엘프 아이들은 첫 번째 생일에 행운의 상징으로 부엉이 깃털을 선물 받습니다.,|cFFFFD200상인: |r샤이레나이|n|cFFFFD200지역: |r텔드랏실|n|cFFFFD200가격: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,68,7553,10707,132150,2,2,2,6,7,0
여명의 설원 펄볼그들은 이 멋진 생물의 흰 깃털을 의식에 사용하기 위해 소중히 아낍니다.,|cFFFFD200애완동물 대전: |r여명의 설원|n|cFFFFD200계절: |r겨울,69,7554,0,132150,2,26,4,6,7,0
이 땅다람쥐는 현란한 잠복 기술을 바탕으로 다른 종족들의 거대한 발굽을 피해 살아남았습니다.,"|cFFFFD200상인: |r할파, 날린|n|cFFFFD200지역: |r멀고어|n|cFFFFD200가격: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",70,14421,10709,2126349,4,2,2,6,7,0
