ID,Name_lang,NameAlt_lang,Title_lang,TitleAlt_lang,Classification,CreatureType,CreatureFamily,StartAnimState,DisplayID[0],DisplayID[1],DisplayID[2],DisplayID[3],DisplayProbability[0],DisplayProbability[1],DisplayProbability[2],DisplayProbability[3],AlwaysItem[0],AlwaysItem[1],AlwaysItem[2]
3,굶주린 시체,,,,0,6,0,0,987,0,0,0,1,1,1,1,0,0,0
89,지옥불정령,,,,0,3,108,0,87778,0,0,0,1,1,1,1,0,0,0
304,지옥마,,,,0,3,0,0,2346,0,0,0,1,1,1,1,0,0,0
305,백마,,,,0,1,0,0,2410,0,0,0,1,1,1,1,0,0,0
416,임프,,,,0,3,23,0,64799,0,0,0,1,1,1,1,0,0,0
417,지옥사냥개,,,,0,3,15,0,113609,0,0,0,1,1,1,1,0,0,0
444,돼지왕,,,,0,14,0,0,22938,0,0,0,1,1,1,1,0,0,0
620,닭,,,,0,8,0,0,304,0,0,0,1,1,1,1,0,0,0
721,토끼,,,,0,8,0,0,328,4626,0,0,1,1,1,1,0,0,0
1748,대영주 볼바르 폴드라곤,,,,1,7,0,0,5566,0,0,0,1,1,1,1,2178,143,0
1860,공허방랑자,,,,0,3,16,0,113621,0,0,0,1,1,1,1,0,0,0
1863,서큐버스,,,,0,3,17,0,77396,0,0,0,1,1,1,1,0,0,0
2671,기계 다람쥐,,,,0,12,0,0,7937,0,0,0,1,1,1,1,0,0,0
2748,아카에다스,,고대의 바위감시자,,1,5,0,0,5988,0,0,0,1,1,1,1,2557,0,0
3524,늑대 정령,,,,0,1,0,0,1236,0,0,0,1,1,1,1,0,0,0
3771,싸늘한심장의 지옥소환사,,,,0,3,0,0,2013,0,0,0,0,0,0,0,0,0,0
3823,유령발늑대,,,,0,1,1,0,802,0,0,0,0,0,0,0,0,0,0
3956,하클란 문그로브,,연금술용품 상인,,0,7,0,0,4183,0,0,0,0,0,0,0,0,0,0
4075,쥐,,,,0,8,0,0,1141,1418,2176,0,2,2,1,1,0,0,0
4274,파멸의 펜루스,,,,1,1,0,0,20180,0,0,0,0,1,1,1,0,0,0
4275,대마법사 아루갈,,,,1,7,0,0,2353,0,0,0,0,1,1,1,6322,0,0
4780,검은 산양,,,,0,1,0,0,2784,0,0,0,1,1,1,1,0,0,0
5198,길들인 북극 늑대,,,,0,1,0,0,1166,0,0,0,1,1,1,1,0,0,0
7109,비취불꽃 악마추종자,,,,0,3,0,0,11334,0,0,0,0,0,0,0,0,0,0
7380,샴고양이,,,,0,12,0,0,5585,0,0,0,1,1,1,1,0,0,0
7381,은빛띠고양이,,,,0,12,0,0,5555,0,0,0,1,1,1,1,0,0,0
7382,주황띠고양이,,,,0,12,0,0,5554,0,0,0,1,1,1,1,0,0,0
