Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction,Field_11_1_5_59735_010
대심문관 게르스탄,227,230,1,0,4625,0,4,0,-1,0
불의 군주 록코르,228,230,1,1000,4626,1,4,0,-1,0
사냥개조련사 그렙마르,229,230,1,2000,4627,2,4,0,-1,0
법의 심판장,230,230,1,3000,4628,3,4,0,-1,0
화염술사 로어그레인,231,230,1,4000,4629,4,4,0,-1,0
불의 군주 인센디우스,232,230,1,5000,4630,5,4,0,-1,0
문지기 스틸기스,233,230,1,6000,4633,6,4,0,-1,0
파이너스 다크바이어,234,230,1,7000,4634,7,4,0,-1,0
밸가르,235,230,1,8000,4635,8,4,0,-1,0
사령관 앵거포지,236,230,1,9000,4636,9,4,0,-1,0
골렘 군주 아젤마크,237,230,1,10000,4637,10,4,0,-1,0
헐레이 블랙브레스,238,230,1,11000,4638,11,4,0,-1,0
팔랑크스,239,230,1,12000,4639,12,4,0,-1,0
리블리 스크류스피곳,240,230,1,13000,4640,13,4,0,-1,0
플러거 스패즈링,241,230,1,14000,4641,14,4,0,-1,0
사자 화염채찍,242,230,1,15000,4642,15,4,0,-1,0
일곱 현자,243,230,1,16000,4643,16,4,0,-1,0
마그무스,244,230,1,17000,4644,17,4,0,-1,0
제왕 다그란 타우릿산,245,230,1,18000,4645,18,4,0,-1,0
요르,250,557,2,1500,4607,3,4,0,-1,0
대영주 오모크,267,229,1,0,4646,0,4,0,-1,0
어둠사냥꾼 보쉬가진,268,229,1,1000,4647,1,4,0,-1,0
대장군 부네,269,229,1,2000,4648,2,4,0,-1,0
여왕 불그물거미,270,229,1,3000,4649,3,4,0,-1,0
우로크 둠하울,271,229,1,4000,4650,4,4,0,-1,0
병참장교 지그리스,272,229,1,5000,4651,5,4,0,-1,0
흉포한 기즈룰,273,229,1,6000,4652,6,4,0,-1,0
할리콘,274,229,1,5500,4653,7,4,0,-1,0
대군주 웜타라크,275,229,1,8000,4654,8,4,0,-1,0
제브림 쏜후프,343,429,0,0,4669,0,4,0,-1,0
히드로스폰,344,429,0,-500,4670,1,4,0,-1,0
레스텐드리스,345,429,0,-1000,4671,2,4,0,-1,0
칼날바람 알진,346,429,0,3000,4672,3,4,0,-1,0
일리아나 레이븐오크,347,429,0,4000,4676,4,4,0,-1,0
마법학자 칼렌드리스,348,429,0,5000,4675,5,4,0,-1,0
이몰타르,349,429,0,6000,4676,6,4,0,-1,0
굽이나무 텐드리스,350,429,0,3500,4673,7,4,0,-1,0
왕자 토르텔드린,361,429,0,7000,4677,8,4,0,-1,0
경비병 몰다르,362,429,1,8000,4678,9,4,0,-1,0
천둥발 크리그,363,429,1,9000,4679,10,4,0,-1,0
경비병 펜구스,364,429,1,10000,4680,11,4,0,-1,0
경비병 슬립킥,365,429,1,11000,4681,12,4,0,-1,0
대장 크롬크러쉬,366,429,1,12000,4682,13,4,0,-1,0
정찰병 초루쉬,367,429,1,13000,4683,14,4,0,-1,0
왕 고르독,368,429,1,14000,1544,15,4,0,-1,0
방사성 폐기물,378,90,1,2500,4693,1,4,0,-1,0
그루비스,379,90,1,2000,4694,2,4,0,-1,0
기계화 문지기 6000,380,90,1,3000,4695,3,4,0,-1,0
고철 압축기 9-60,381,90,1,4000,4696,4,4,0,-1,0
기계박사 텔마플러그,382,90,1,5000,4697,5,4,0,-1,0
녹시온,422,349,1,0,4703,0,4,0,-1,0
칼날채찍,423,349,1,1000,4704,1,4,0,-1,0
군주 바일텅,424,349,1,2000,4705,2,4,0,-1,0
저주받은 셀레브라스,425,349,1,3000,4706,3,4,0,-1,0
산사태,426,349,1,4000,4707,4,4,0,-1,0
땜장이 기즐록,427,349,1,1500,4708,5,4,0,-1,0
썩은아귀,428,349,1,6000,4709,6,4,0,-1,0
공주 테라드라스,429,349,1,7000,4710,7,4,0,-1,0
루구그,438,47,1,375,8591,0,0,0,-1,0
심문관 비샤스,444,189,1,0,24615,0,0,0,-1,0
사냥개조련사 록시,446,189,1,2000,24617,2,0,0,-1,0
신비술사 도안,447,189,1,3000,24618,3,0,0,-1,0
헤로드,448,189,1,4000,24619,4,0,0,-1,0
종교재판관 페어뱅크스,449,189,1,5000,24620,5,0,0,-1,0
종교재판관 화이트메인,450,189,1,6000,24621,6,0,0,-1,0
사자 키르토노스,451,289,1,0,4573,0,0,0,-1,0
잔다이스 바로브,452,289,1,1000,4574,1,0,0,-1,0
들창엄니,453,289,1,2000,4575,2,0,0,-1,0
마르두크 블랙풀,454,289,1,3000,4576,3,0,0,-1,0
벡투스,455,289,1,4000,4577,4,0,0,-1,0
라스 프로스트위스퍼,456,289,1,5000,4578,5,0,0,-1,0
조교 말리시아,457,289,1,6000,4588,6,0,0,-1,0
의사 테올렌 크라스티노브,458,289,1,7000,4589,7,0,0,-1,0
현자 폴켈트,459,289,1,8000,4590,8,0,0,-1,0
라베니안,460,289,1,9000,4591,9,0,0,-1,0
군주 알렉세이 바로브,461,289,1,10000,4592,10,0,0,-1,0
여군주 일루시아 바로브,462,289,1,11000,4593,11,0,0,-1,0
암흑스승 간들링,463,289,1,12000,4594,12,0,0,-1,0
용서받지 못한 자,472,329,0,6500,4719,0,4,0,-1,0
하스싱어 포레스턴,473,329,0,1000,4720,1,4,0,-1,0
잔혹한 티미,474,329,0,2000,4721,2,4,0,-1,0
윌리 호프브레이커,475,329,0,3000,4723,3,4,0,-1,0
사령관 말로,476,329,0,2500,4722,4,4,0,-1,0
교관 갈포드,477,329,0,5000,4724,5,4,0,-1,0
발나자르,478,329,0,6000,4725,6,4,0,-1,0
남작부인 아나스타리,479,329,0,7000,4726,7,4,0,-1,0
네룹엔칸,480,329,0,8000,4727,8,4,0,-1,0
냉혈한 말레키,481,329,0,9000,4728,9,4,0,-1,0
집정관 발실라스,482,329,0,10000,4729,10,4,0,-1,0
먹보 람스타인,483,329,0,11000,4730,11,4,0,-1,0
군주 아우리우스 리븐데어,484,329,0,12000,4731,12,4,0,-1,0
드림사이드,486,109,1,1000,4734,1,4,0,-1,0
위버,487,109,1,2000,4735,2,4,0,-1,0
예언자 잠말란,488,109,1,500,121,3,4,0,-1,0
몰파즈,490,109,1,5000,4737,5,4,0,-1,0
하자스,491,109,1,6000,4738,6,4,0,-1,0
학카르의 화신,492,109,1,-500,4739,7,4,0,-1,0
에라니쿠스의 사령,493,109,1,8000,4740,8,4,0,-1,0
얼어붙은 사령관,519,576,2,0,3685,0,0,0,-1,0
심문관 드라코스,528,578,1,0,3869,0,0,0,-1,0
심문관 드라코스,529,578,2,1000,3869,0,0,0,-1,0
바로스 클라우드스트라이더,530,578,1,1000,3871,1,0,0,-1,0
바로스 클라우드스트라이더,531,578,2,2000,3871,1,0,0,-1,0
마법사 군주 우롬,532,578,1,2000,3872,2,0,0,-1,0
마법사 군주 우롬,533,578,2,3000,3872,2,0,0,-1,0
지맥 수호자 에레고스,534,578,1,3000,3873,3,0,0,-1,0
지맥 수호자 에레고스,535,578,2,4000,3873,3,0,0,-1,0
레벨로쉬,547,70,1,0,4758,0,4,0,-1,0
길 잃은 드워프,548,70,1,1000,4761,1,4,0,-1,0
아이로나야,549,70,1,2000,4762,2,4,0,-1,0
고대 바위 문지기,551,70,1,4000,4764,4,4,0,-1,0
갈간 파이어해머,552,70,1,5000,4765,5,4,0,-1,0
그림로크,553,70,1,6000,4766,6,4,0,-1,0
아카에다스,554,70,1,7000,4767,7,4,0,-1,0
여군주 아나콘드라,585,43,1,0,4776,0,4,0,-1,0
군주 코브란,586,43,1,1000,4777,1,4,0,-1,0
크레쉬,587,43,1,2000,4778,2,4,0,-1,0
군주 피타스,588,43,1,3000,4779,3,4,0,-1,0
스컴,589,43,1,4000,4780,4,4,0,-1,0
군주 서펜티스,590,43,1,5000,4781,5,4,0,-1,0
영생의 베르단,591,43,1,6000,4782,6,4,0,-1,0
걸신들린 무타누스,592,43,1,7000,4783,7,4,0,-1,0
유체술사 벨라타,593,209,0,0,4784,0,4,0,-1,0
가즈릴라,594,209,0,1000,4785,1,4,0,-1,0
안투술,595,209,0,-500,4786,2,4,0,-1,0
순교자 데카,596,209,0,-1000,4787,3,4,0,-1,0
의술사 줌라,597,209,0,-250,4788,4,4,0,-1,0
네크룸 거트츄어,598,209,0,5000,4789,5,4,0,-1,0
암흑사제 세즈지즈,599,209,0,6000,4790,6,4,0,-1,0
족장 우코르즈 샌드스칼프,600,209,0,7000,4791,7,4,0,-1,0
대장군 나젠투스,601,564,0,0,3013,0,6,0,-1,0
궁극의 심연,602,564,0,1000,3012,1,6,0,-1,0
아카마의 망령,603,564,0,2000,3058,2,6,0,-1,0
테론 고어핀드,604,564,0,3000,4792,3,6,0,-1,0
구르토그 블러드보일,605,564,0,4000,3014,4,6,0,-1,0
영혼의 성물함,606,564,0,5000,4793,5,6,0,-1,0
대모 샤라즈,607,564,0,6000,12150,6,6,0,-1,0
일리다리 의회,608,564,0,7000,3030,7,6,0,-1,0
일리단 스톰레이지,609,564,0,8000,4794,8,7,0,-1,0
폭군 서슬송곳니,610,469,0,0,4795,0,6,0,-1,0
타락한 밸라스트라즈,611,469,0,1000,4796,1,6,0,-1,0
용기대장 래쉬레이어,612,469,0,2000,4797,2,6,0,-1,0
화염아귀,613,469,0,3000,4798,3,6,0,-1,0
에본로크,614,469,0,4000,4799,4,6,0,-1,0
플레임고르,615,469,0,5000,4800,5,6,0,-1,0
크로마구스,616,469,0,6000,4801,6,6,0,-1,0
네파리안,617,469,0,7000,1641,7,7,0,-1,0
격노한 윈터칠,618,534,0,0,2519,0,6,0,-1,0
아네테론,619,534,0,1000,2464,1,6,0,-1,0
카즈로갈,620,534,0,2000,2523,2,6,0,-1,0
아즈갈로,621,534,0,3000,2487,3,6,0,-1,0
아키몬드,622,534,0,4000,2530,4,7,0,-1,0
불안정한 히드로스,623,548,0,0,2853,0,6,0,-1,0
심연의 잠복꾼,624,548,0,1000,2855,1,6,0,-1,0
눈먼 레오테라스,625,548,0,2000,2857,2,6,0,-1,0
심해군주 카라드레스,626,548,0,3000,2856,3,6,0,-1,0
겅둥파도 모로그림,627,548,0,4000,2854,4,6,0,-1,0
여군주 바쉬,628,548,0,5000,4802,5,7,0,-1,0
왕중왕 마울가르,649,565,0,0,2778,0,2,0,-1,0
용 학살자 그룰,650,565,0,1000,4804,1,3,0,-1,0
마그테리돈,651,544,0,0,4805,0,7,0,-1,0
사냥꾼 어튜멘,652,532,0,0,2315,0,4,0,-1,0
모로스,653,532,0,1000,2309,1,4,0,-1,0
고결의 여신,654,532,0,2000,4806,2,4,0,-1,0
오페라 극장,655,532,0,3000,2381,3,4,0,-1,0
전시 관리인,656,532,0,4000,2501,4,4,0,-1,0
테레스티안 일후프,657,532,0,5000,2336,5,4,0,-1,0
아란의 망령,658,532,0,6000,2910,6,4,0,-1,0
황천의 원령,659,532,0,7000,2865,7,4,0,-1,0
체스 이벤트,660,532,0,8000,2517,8,4,0,-1,0
공작 말체자르,661,532,0,9000,4807,9,4,0,-1,0
파멸의 어둠,662,532,0,10000,4808,10,4,0,-1,0
루시프론,663,409,0,0,4809,0,6,0,-1,0
마그마다르,664,409,0,1000,847,1,6,0,-1,0
게헨나스,665,409,0,2000,848,2,6,0,-1,0
가르,666,409,0,3000,846,3,6,0,-1,0
샤즈라,667,409,0,4000,850,4,6,0,-1,0
남작 게돈,668,409,0,5000,845,5,6,0,-1,0
설퍼론 선구자,669,409,0,6000,761,6,6,0,-1,0
초열의 골레마그,670,409,0,7000,741,7,6,0,-1,0
청지기 이그젝큐투스,671,409,0,8000,1502,8,6,0,-1,0
라그나로스,672,409,0,9000,1666,9,7,0,-1,0
예언자 스케람,709,531,0,0,4821,0,6,0,-1,0
실리시드 왕실,710,531,0,1000,4822,1,6,0,-1,0
전투감시병 살투라,711,531,0,2000,4823,2,6,0,-1,0
불굴의 판크리스,712,531,0,3000,4824,3,6,0,-1,0
비시두스,713,531,0,4000,4825,4,6,0,-1,0
공주 후후란,714,531,0,5000,4826,5,6,0,-1,0
쌍둥이 제왕,715,531,0,6000,4827,6,6,0,-1,0
아우로,716,531,0,7000,2296,7,6,0,-1,0
크툰,717,531,0,8000,4828,8,7,0,-1,0
쿠린낙스,718,509,0,0,4811,0,6,0,-1,0
장군 라작스,719,509,0,1000,2174,1,6,0,-1,0
모암,720,509,0,2000,4812,2,6,0,-1,0
먹보 부루,721,509,0,3000,4813,3,6,0,-1,0
사냥꾼 아야미스,722,509,0,4000,4814,4,6,0,-1,0
무적의 오시리안,723,509,0,5000,4815,5,7,0,-1,0
칼렉고스,724,580,0,0,3434,0,6,0,-1,0
브루탈루스,725,580,0,1000,3336,1,6,0,-1,0
지옥안개,726,580,0,2000,3337,2,6,0,-1,0
에레다르 쌍둥이,727,580,0,3000,3435,3,6,0,-1,0
므우루,728,580,0,4000,3423,4,6,0,-1,0
킬제덴,729,580,0,5000,4816,5,7,0,-1,0
알라르,730,550,0,0,4817,0,6,0,-1,0
공허의 절단기,731,550,0,1000,4818,1,6,0,-1,0
고위 점성술사 솔라리안,732,550,0,2000,4819,2,6,0,-1,0
캘타스 선스트라이더,733,550,0,3000,4820,3,7,0,-1,0
대사제 베녹시스,784,309,1,0,1967,0,0,0,-1,0
대여사제 제클릭,785,309,1,-1000,1968,1,0,0,-1,0
대여사제 말리,786,309,1,2000,1969,2,0,0,-1,0
혈군주 만도키르,787,309,1,3000,4839,3,0,0,-1,0
광란의 경계,788,309,1,4000,4850,4,0,0,-1,0
대사제 데칼,789,309,1,5000,1970,5,0,0,-1,0
가즈란카,790,309,1,6000,4840,6,0,0,-1,0
대여사제 알로크,791,309,1,7000,1971,7,0,0,-1,0
사술사 진도,792,309,1,8000,4841,8,0,0,-1,0
학카르,793,309,1,9000,4844,9,0,0,-1,0
아트라메데스,1022,669,0,0,5182,0,6,0,-1,0
키마이론,1023,669,0,1000,5318,1,6,0,-1,0
용암아귀,1024,669,0,-500,5301,2,14,0,-1,0
말로리악,1025,669,0,3000,5315,3,6,0,-1,0
