Name_lang,ID,DyeColorCategoryID,GradientTextureIndex,ItemID,SwatchColorStart,SwatchColorEnd,SortOrder
따뜻한 낙엽수,3,2,1,259053,-3761562,-14808573,300
기본 자작나무,4,2,2,259078,-75605,-12571100,304
콩나무 갈색,5,2,3,259096,-6324389,-14873596,302
소나무,6,2,4,259097,-5790596,-15396605,308
어두운 나무,7,2,5,259098,-7372429,-16185590,307
고원 자작나무,8,2,6,259099,-2109778,-10463152,305
신성한 떡갈나무 황갈색,9,2,7,259100,-1653892,-14282491,303
연한 암갈색,10,2,8,259101,-4149098,-14806509,306
멀구슬나무,11,2,9,259102,-9878988,-13428202,299
심장나무,12,2,10,259103,-7703477,-15398392,301
폭풍강철,13,3,52,259104,-4140594,-15724271,200
구리,14,3,53,259105,-3699899,-15660537,216
잔달라 금색,15,3,54,259106,-669635,-14218240,212
황동,16,3,55,259107,-1847687,-15200255,210
청동,17,3,56,259108,-1595068,-10801390,214
검은무쇠,18,3,57,259109,-7959152,-16316664,205
쿨 티란 강철,19,3,58,259110,-6105647,-15461613,202
금,20,3,59,258838,-2114016,-3835119,213
무쇠발톱,21,3,60,259111,-9206155,-16052726,208
어두운 금색,22,3,61,259112,-6520009,-15988990,211
호드 빨간색,23,1,102,259113,-5170146,-14351870,100
무성한 녹색,24,1,103,259114,-12607410,-16248059,132
얼라이언스 파란색,25,1,104,259115,-12626542,-16447725,121
키린 토 보라색,26,1,105,259116,-7451976,-15726821,107
성난모래 노란색,27,1,106,259117,-4875226,-14937339,150
엘윈 숲 호박색,28,1,107,259118,-1408997,-9879781,163
황천폭풍 바늘꽃,29,1,108,259119,-4695372,-14283993,105
골조 흰색,30,1,109,259120,-1592,-5990278,153
흑요암 검은색,31,1,110,259121,-12564915,-16711423,191
토석인 갈색,32,1,111,259122,-9086921,-15660023,160
스톰하임 회색,33,1,112,259123,-9146519,-15659508,192
은초롱이 녹색,34,1,113,259124,-6244468,-14275551,138
운고로 녹색,35,1,114,259125,-14714011,-16247535,130
공허 보라색,36,1,115,259126,-10405966,-15856364,108
화염초 빨간색,37,1,116,259127,-5685473,-15268092,170
칼림도어 모래,38,1,117,259128,-3366567,-14937593,159
푸른 서풍,39,1,118,259129,-8074523,-14726823,123
별빛노래 연보라색,40,1,119,259130,-6586406,-13557167,109
비전주,41,1,120,259131,-5552003,-14415090,104
코도가죽 갈색,42,1,121,259132,-6003902,-14415349,162
먼지진흙 녹색,43,1,122,259133,-6841541,-15986428,139
에메랄드의 꿈,44,1,123,259134,-10569071,-16246510,131
한밤 파란색,45,1,124,259135,-12693806,-16250079,122
소용돌이 청록색,46,1,125,259136,-5711133,-15917536,124
태양풀 노란색,47,1,126,259137,-2665,-1849512,152
사바나 금색,48,1,127,259138,-1851307,-6129407,151
길니아스 장미색,49,1,128,259139,-5887417,-15203320,102
달딸기 자수정색,50,1,129,259140,-8501643,-15530480,106
볼둔 회갈색,51,1,130,259141,-9015724,-15331064,154
톱니항 녹,52,1,131,259142,-9225937,-15267834,172
무덤이끼 녹색,53,1,132,259143,-10786983,-16183799,137
포세이큰 자두색,54,1,133,259144,-9215364,-15725039,113
나무구렁 갈색,55,1,134,259145,-9610414,-15199471,155
나즈자타 남색,56,1,135,259146,-11775890,-16053233,120
회색 구릉지 녹색,57,1,136,259147,-11573440,-15985656,133
파도현자 청록색,58,1,137,259148,-12746368,-16116973,125
명가 대리석,59,1,138,259149,-2568760,-14147555,193
뱀뿌리,60,1,139,259150,-8688086,-16054010,140
짙은 마법초 빨간색,61,1,140,259151,-9885913,-15858427,190
동부 내륙지 히코리,62,1,141,259152,-8042424,-15661048,173
황혼 백합 회색,63,1,142,259153,-5465645,-10859651,110
빗방울 백일홍 빨간색,64,1,143,259154,-1610899,-14152684,103
