Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,이정표 1,교류회 상인 물품 추가 해제,2,0,0,0,0,0
0,이정표 2,교류회 상인 물품 추가 해제,3,0,0,0,0,0
0,이정표 3,교류회 상인 물품 추가 해제,4,0,0,0,0,0
0,교류회 완료 보상,,5,0,0,0,0,93262
0,교류회 완료 보상,,21,0,0,0,0,93262
0,교류회 완료 보상,,22,0,0,0,0,93262
0,교류회 완료 보상,,23,0,0,0,0,93262
0,교류회 완료 보상,,24,0,0,0,0,93262
0,교류회 완료 보상,,25,0,0,0,0,93262
0,교류회 완료 보상,,26,0,0,0,0,93262
0,교류회 완료 보상,,27,0,0,0,0,93262
0,교류회 완료 보상,,28,0,0,0,0,93262
0,교류회 완료 보상,,29,0,0,0,0,93262
