Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
오크어,1,0,0,0,0
나이트 엘프어,2,0,0,0,0
타우렌어,3,0,0,0,0
드워프어,6,0,0,0,0
공용어,7,0,0,0,0
악마어,8,0,0,0,0
티탄어,9,0,0,0,0
하이엘프어,10,0,0,0,0
용언,11,0,0,0,0
정령어,12,0,0,0,0
노움어,13,0,0,0,0
잔달라어,14,0,0,0,0
포세이큰어,33,0,0,0,0
드레나이어,35,0,0,0,0
좀비어,36,0,0,0,0
노움 이진 언어,37,0,0,0,0
고블린 이진 언어,38,0,0,0,0
길니아스어,39,0,0,0,0
고블린어,40,0,0,0,0
판다렌어,42,0,0,0,0
판다렌어,43,0,0,0,0
판다렌어,44,0,0,0,0
요마어,168,0,0,0,0
샤트야르,178,0,0,0,0
옳옳어,179,0,0,0,0
달빛야수,180,0,0,0,0
나이트본어,181,0,0,0,0
하이엘프어,182,0,0,0,0
불페라어,285,0,0,0,0
복합 암호,287,0,0,0,0
기본 암호,288,0,0,0,0
메트리얼,290,7,5410,36,0
알토니안,291,7,5410,36,0
소프라니안,292,7,5410,36,0
아이얼릭,293,7,5410,36,0
댈릭,294,7,5410,36,0
트레벨림,295,7,5410,36,0
바살림,296,7,5410,36,0
내부 언어,297,2,0,0,0
알 수 없음,298,7,5410,36,0
펄볼그어,303,1,5508,36,62550
토석인어,304,1,0,36,69564
네루비안,307,0,0,0,0
