ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,오리지널 던전,1,0,114
2,불타는 성전 (일반),1,0,113
3,불타는 성전 (영웅),1,0,112
4,리치 왕의 분노 (일반),1,0,111
5,리치 왕의 분노 (영웅),1,0,110
6,오리지널 공격대,2,0,522
7,불타는 성전 공격대,2,0,521
8,리치 왕의 분노 공격대 (10인),2,0,520
9,리치 왕의 분노 공격대 (25인),2,0,519
11,월드 이벤트,0,0,10
12,대격변 영웅,1,0,108
13,대격변 일반,1,0,109
14,대격변 공격대 (25인),2,0,517
15,대격변 공격대 (10인),2,0,518
20,평점제 전장,2,0,1024
33,황혼의 시간 영웅,1,0,107
36,판다리아의 안개 영웅,1,0,105
37,판다리아의 안개 일반,1,0,106
38,시나리오,1,0,1025
40,판다리아의 안개 공격대 (25인),2,0,516
41,판다리아의 안개 공격대 (10인),2,0,515
43,영웅 시나리오,1,0,1026
44,시간여행,0,0,1027
45,판다리아의 안개 공격대 (탄력적),2,0,514
46,판다리아의 안개 야외 우두머리,2,0,513
47,드레노어의 전쟁군주 (일반),1,0,104
48,드레노어의 전쟁군주 (영웅),1,0,103
49,드레노어의 전쟁군주 공격대 (일반),2,0,510
50,드레노어의 전쟁군주 공격대 (영웅),2,0,511
51,드레노어의 전쟁군주 공격대 (신화),2,0,512
52,군단 영웅,1,0,102
53,군단 일반,1,0,101
54,군단 공격대 (일반),2,0,507
55,군단 공격대 (영웅),2,0,508
56,군단 공격대 (신화),2,0,509
57,격전의 아제로스 일반,1,0,99
58,격전의 아제로스 영웅,1,0,100
159,격전의 아제로스 공격대 (일반),2,0,510
160,격전의 아제로스 공격대 (영웅),2,0,511
161,격전의 아제로스 공격대 (신화),2,0,512
162,격전의 아제로스 신화,1,0,101
163,어둠땅 신화,1,0,98
164,어둠땅 영웅,1,0,97
165,어둠땅 일반,1,0,96
166,추방자의 해안,1,0,115
167,어둠땅 공격대 (신화),2,0,95
168,어둠땅 공격대 (영웅),2,0,94
169,어둠땅 공격대 (일반),2,0,93
170,용군단 신화,1,0,92
171,용군단 영웅,1,0,91
172,용군단 일반,1,0,90
173,용군단 추종자,1,0,90
177,내부 전쟁 일반,1,0,87
178,내부 전쟁 영웅,1,0,88
180,판다리아의 안개 추종자,1,0,106
182,시간질주 던전,0,0,1028
183,시간질주 영웅 던전,0,0,1029
184,시간질주 시나리오,1,0,1030
185,시간질주 영웅 시나리오,1,0,1031
186,내부 전쟁 영웅: 1 시즌,1,0,89
192,내부 전쟁 영웅: 2 시즌,1,0,89
