ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,분노,균열,휴식처,2
2,열기,사막,섬,2
3,강철,무덤,틈새,2
4,지하,웅덩이,언덕,2
5,암흑,진창,협곡,2
6,바위,불길,골짜기,2
19,행복,개울,계곡,1
55,거짓,시험,광야,4
61,나른한,화덕,포도원,1
62,신성한,사자,섬,1
63,푸른,파도,소도,1
64,서늘,안개,항구,1
65,침묵의,바람,도피처,1
66,황금,빛,성역,1
67,고요한,대양,지점,1
68,황홀한,바다,휴식처,1
69,노곤한,항해,마을,1
70,소금,수확,언덕,1
71,최초의,깃발,상륙지,1
72,에메랄드,축복,거주지,1
73,고대,참나무,항만,1
74,신생,여정,전초기지,1
75,침울한,그늘,촌락,1
76,약속받은,닻,항구,1
77,청아한,하늘,고을,1
78,창백한,모래,경사지,1
81,건조한,꽃송이,만,2
82,신비한,산,소도,2
83,그을린,모래,도피처,2
84,밝은,태양,보루,2
86,갈라진,바위,첨탑,2
87,붉은,멧돼지,마루,2
88,높은,여름,정원,2
89,대지의,가시,풍요원,2
90,날렵한,순례자,안식처,2
91,자유로운,행운,공동체,2
92,취약한,엄니,오아시스,2
93,비탄,추방자,절벽,2
94,선명한,자갈,정착지,2
