DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
도검류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,43,6,136243,0,0,0,128,0,0,0
도끼류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,44,6,136243,0,0,0,128,0,0,0
활류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,45,6,136243,0,0,0,128,0,0,0
총기류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,46,6,136243,0,0,0,128,0,0,0
둔기류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,54,6,136243,0,0,0,128,0,0,0
양손 도검류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,55,6,136243,0,0,0,128,0,0,0
방어,,"방어 숙련도가 높을수록 회피, 무기 막기, 방패 막기 및 적의 공격이 빗나갈 확률이 높아지며 적에게서 치명타 공격을 받을 확률이 낮아집니다.",,,95,6,136243,0,0,0,640,0,0,0
언어: 공용어,,,,,98,10,136243,0,0,0,144,0,0,0
드워프 종족 특성,,드워프 종족 특성,,,101,9,136243,0,0,0,33938,0,0,0
언어: 오크어,,,,,109,10,136243,0,0,0,128,0,0,0
언어: 드워프어,,,,,111,10,136243,0,0,0,128,0,0,0
언어: 나이트 엘프어,,,,,113,10,136243,0,0,0,128,0,0,0
언어: 타우렌어,,,,,115,10,136243,0,0,0,128,0,0,0
쌍수 무기,,쌍수 무기,,,118,6,136243,0,0,0,146,0,0,0
타우렌 종족 특성,,타우렌 종족 특성,,,124,9,136243,0,0,0,33938,0,0,0
오크 종족 특성,,오크 종족 특성,,,125,9,136243,0,0,0,32914,0,0,0
나이트 엘프 종족 특성,,나이트 엘프 종족 특성,,,126,9,136243,0,0,0,33938,0,0,0
지팡이류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,136,6,136243,0,0,0,128,0,0,0
언어: 하이엘프어,,,,,137,10,136243,0,0,0,128,0,0,0
언어: 용언,,,,,138,10,136243,0,0,0,128,0,0,0
언어: 악마어,,악마의 뒤틀린 언어입니다.,,,139,10,236293,0,0,0,128,0,0,0
언어: 티탄어,,,,,140,10,136243,0,0,0,128,0,0,0
언어: 고대어,,,,,141,10,136243,0,0,0,128,0,0,0
야영,,,,,142,9,136243,0,0,0,0,0,0,0
말 타기,,,,,148,9,136243,0,0,0,1170,0,0,0
늑대 타기,,,,,149,9,136243,0,0,0,1170,0,0,0
호랑이 타기,,,,,150,9,136243,0,0,0,1170,0,0,0
산양 타기,,,,,152,9,136243,0,0,0,1170,0,0,0
수영,,,,,155,9,136243,0,0,0,0,0,0,0
양손 둔기류,,무기 숙련이 올라갈수록 적중률이 높아집니다.,,,160,6,136243,0,0,0,128,0,0,0
맨손 전투,,숙련도가 올라갈수록 적중률이 높아집니다.,,,162,6,136243,0,0,0,128,0,0,0
대장기술,개조,대장기술 숙련도가 올라갈수록 고레벨의 대장기술 도면을 배울 수 있습니다. 도면은 전문 대장장이나 퀘스트를 통해 배우거나 몬스터에게서 얻을 수 있습니다.,,,164,11,4620670,1,0,0,4224,2018,0,0
가죽세공,새김무늬,가죽세공 숙련도가 올라갈수록 고레벨의 가죽세공 도안을 배울 수 있습니다. 도안은 전문 가죽세공인이나 퀘스트를 통해 배우거나 몬스터에게서 얻을 수 있습니다.,,,165,11,4620678,1,0,0,4224,2108,0,0
