ID,Name_lang
1,모루
2,베틀
3,가열로
4,요리용 모닥불
5,미즈라엘의 결정
6,윈터후프 우물
7,썬더혼 우물
8,와일드메인 우물
9,부족의 불
10,작업소
11,그늘 협곡 달샘
12,별바람 마을 달샘
13,아리스리엔 연못 달샘
14,신탁의 숲 달샘
15,투자개발회사 비행장
16,투자개발회사 짐마차 (청)
17,투자개발회사 짐마차 (적)
18,NG-5 폭탄 (적)
19,NG-5 폭탄 (청)
20,우젤의 불꽃
21,잿빛 골짜기 달샘
22,침식된 제단
23,줄기 근처에서 사용
43,언더시티 소환 마법진
63,주술의 제단
83,스톰윈드 소환 마법진
103,불모의 땅 소환 마법진
123,거울 호수 폭포
143,갈퀴발톱굴
163,사비안 폭포
164,외부 봉인석
183,마나의 균열
203,오그리마 소환 마법진
223,성난비늘 샘
224,가시멧돼지 물 구멍
225,순수한 물 - 은빛소나무 숲
226,우물
243,달의 신전 샘
263,진타알로 제단
264,해적선 구멍
283,에퀴넥스 비석탑
303,마른나무껍질 마을
304,샤드라알로 제단
323,슬픈모래 감시탑 물웅덩이
343,헤이트탈론 비석
363,에체야키의 둥지
383,고목
403,임시 착륙장
423,아쿠에멘타스의 마법진
424,죽은 신의 성소
443,첫번째 해일의 웅덩이
444,두번째 해일의 웅덩이
445,세번째 해일의 웅덩이
446,네번째 해일의 웅덩이
463,고리쉬 부화장
483,미블론 스날투스
503,가젯잔 무덤
523,강철나무 숲의 폐허
543,검은 가열로
563,골락카 분화구
583,일곱 현자의 무덤
603,반반한 운고로 바위
604,보존된 트레샤돈 시체
623,검은 모루
643,고리쉬 실리시드 수정
644,오염된 달샘
663,연금술 실험대
683,벼리지 않은 승천의 인장
703,아우버다인 달샘
704,검은나무 일족 화톳불
705,절벽 폭포
723,불기둥 마루 열점
743,우로크의 제물더미
763,안돌할 저장고 시간의 균열
783,샤이로탐의 돌
803,신성한 생명의 불
804,붉은십자군 전진기지
805,안돌할 탑
823,스칼로맨스 강당
843,오염된 제데나르 달샘
863,우미의 친구
883,달샘
903,불기둥 마루 용암의 강
923,북마루 벌목지 상자
943,달빛야수 비석
944,다로우골 마을 광장
963,밝은 빛
983,폭파 지점
1003,절벽 폭포 동굴
1004,공포안개 봉우리 웅덩이
1023,죽은 골리아스
1043,레물로스의 제단
1063,썩은나무 일족 토템고분
1083,혈투의 웅덩이
1103,마라우돈 차원문
1123,호드 관측용 지구본
1143,동부 분화구
1144,서부 분화구
1145,눈사태 무덤
1163,얼라이언스 관측용 지구본
1164,던 발다르 안마당
1165,서리늑대 요새 안마당
1183,눈사태 무덤
1184,동부 분화구
1185,서부 분화구
1203,투명한 황색 웅덩이
1223,오닉시아의 화염 숨결
1243,크로쉬우스의 잔해
1263,이몰타르의 대좌
1264,암흑의 소환진
1283,대형 납골당
1284,떠도는 테러데일 영혼
1303,맹금의 봉우리 마을회관
1323,우서 경의 무덤 석상
1324,그롬 헬스크림의 기념비
1343,페이글의 낚시터
1344,잔자의 제단
1345,남녘해안
1346,그락카론드의 무덤
1347,포세이큰 구린내 폭탄
1348,약속 장소
1349,회오리치는 소용돌이
1350,그롤나르의 동굴
1351,폭죽 발사대
1352,연발탄 발사대
1353,환한 달빛
1354,부네의 방
1355,알진의 방
1356,진홍십자군 사령실
1357,라스 프로스트위스퍼의 방
1358,괴수의 방
1359,출몰 장소
1360,검은바위 나락 투기장
1361,파괴된 수정
1362,얼음비명 모루
1363,영원노래 마법석
1364,정화된 땅
1365,한여름 축제 화톳불
1366,축제 기둥
1367,아고나르의 제단
1368,아고나르의 뼈
1369,붉은퉁돔 떼
1370,크룬 스파인브레이커의 시체
1371,탈라나르 달샘
1372,숨겨놓은 제어판
1373,나이아스의 제단
1374,은밀한 장소
1375,소환의 룬
1376,지옥 화로
1377,나가 깃발이 올려져 있는 배신자의 만 근처
1378,세다이의 시체
1379,나지부스 기념비
1380,충돌 지점 수정
