ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,표범 변신,115603,1,248,132116,1,1000,0.4,0,0,0,0,0,0,0,0,0
2,생명의 나무 변신,115608,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
3,날쌘 동물 변신,115605,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
4,수중 동물 변신,115604,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
5,곰 변신,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
6,동물,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,구울,25527,6,9689,0,0,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,광포한 곰 변신,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
9,학 태세,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10,타론자 해골,9784,6,1034,0,0,0,0,0,50799,49613,49609,49617,0,0,0,0
11,다크문 - 용기의 시험,0,0,1226,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB 플레이어,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,어둠의 춤,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
14,곰,2281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,살쾡이,892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,늑대 정령,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
17,전투 태세,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
18,방어 태세,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
19,광폭 태세,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,현룡지세,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
21,좀비,26942,6,5150,0,0,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,탈태,0,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0
23,건우지세,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
24,맹호지세,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
25,언데드,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0
26,광란,17170,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
27,폭풍날개 변신 (영웅),115606,1,32776,0,0,0,0,246,0,0,0,0,0,0,0,0
28,어둠의 형상,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,폭풍날개 변신,115606,1,32776,0,0,0,0,245,0,0,0,0,0,0,0,0
30,은신,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,달빛야수 변신,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
32,구원의 영혼,16031,0,82704,0,0,0,0,0,0,0,0,0,0,0,0,0
33,검투사 태세,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
34,탈태,64560,3,472,1035040,0,0,0.4,0,0,0,0,0,0,0,0,0
35,달빛야수 변신,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
36,나무정령 변신,864,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
37,올빼미의 영혼 형상,38633,1,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
38,올빼미의 영혼 형상,38633,0,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
39,위습 형상,10045,6,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
40,위습 형상,10045,6,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
41,영혼형상,93949,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
42,제련살이의 백일몽,66094,0,65792,0,0,0,0,0,0,0,0,0,0,0,0,0
43,인간 형태,0,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0
44,백호 쉬엔,114683,1,14552,0,1,1,0.4,0,426730,439411,426833,0,0,0,0,0
45,옥룡 위론,114682,2,14552,0,1,2000,0.4,0,426902,426900,426926,0,0,0,0,0
46,주학 츠지,114684,1,14808,0,1,2000,0.4,0,436852,436897,0,437092,429633,426268,0,0
47,용의 섬 비룡,0,0,217,0,4,0,0,0,372608,372610,361584,403092,0,0,0,0
48,늑대 정령,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
49,흑우 니우짜오,114685,1,14552,0,1,2000,0.4,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
