Name_lang,Pos[0],Pos[1],Pos[2],MapOffset[0],MapOffset[1],FlightMapOffset[0],FlightMapOffset[1],ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,MinimapAtlasMemberID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID[0],MountCreatureID[1]
북녘골 수도원,-8888.98,-0.54,94.39,0,0,0,0,1,0,0,0,1024,0,4689,0,0,0,308,0
스톰윈드 - 엘윈 숲,-8841.06,489.656,109.607,0.00998004,0.0101744,0,0,2,0,0,2,1,0,4689,0,0,0,0,541
프로그래머의 섬,16391.81,16341.21,69.44,0,0,0,0,3,0,0,0,1024,0,4689,0,0,0,308,0
감시의 언덕 - 서부 몰락지대,-10551.9,1034.39,56.9543,0,0,0,0,4,0,0,4,1,0,4689,0,0,0,0,541
호숫골 - 붉은마루 산맥,-9429.1,-2231.4,68.65,0,0,0,0,5,0,20068,5,1,0,4689,0,0,0,0,541
아이언포지 - 던 모로,-4821.78,-1155.44,502.21,0,0,0,0,6,0,0,6,1,0,4689,0,0,0,0,541
메네실 항구 - 저습지,-3787.81,-777.696,1.5582,-0.002,0.002,0,0,7,0,0,7,1,0,4689,0,0,0,0,541
텔사마 - 모단 호수,-5421.91,-2930.01,347.25,0,0,0,0,8,0,0,8,1,0,4689,0,0,0,0,541
무법항 - 가시덤불 골짜기,-14271.8,299.87,31.09,0,0,0,0,9,0,0,0,1024,0,4689,0,0,0,0,541
공동묘지 - 은빛소나무 숲,478.86,1536.59,131.32,0,0,0,0,10,0,0,10,2,0,4689,0,0,0,3574,0
언더시티 - 티리스팔 숲,1568.62,267.97,-43.1,0,0,0,0,11,0,96403,11,10,0,4689,0,0,0,3574,0
어둠골 - 그늘숲,-10515.5,-1261.65,41.34,0,0,0,0,12,0,0,12,1,0,4689,0,0,0,0,541
타렌 제분소 - 언덕마루,-17.7066,-874.203,59.0056,0,0.003,0,0,13,0,0,13,2,0,4689,0,0,0,3574,0
남녘해안 - 언덕마루 구릉지,-711.48,-515.48,26.11,0,0,0,0,14,0,5793,14,1024,0,4689,0,0,0,0,541
동부 역병지대,2253.4,-5344.9,83.38,0,0,0,0,15,0,0,0,1024,0,4689,0,0,0,0,541
임시 주둔지 - 아라시 고원,-1240.53,-2515.11,22.16,0,0,0,0,16,0,0,16,1,0,4689,0,0,0,0,541
망치 주둔지 - 아라시 고원,-916.29,-3496.89,70.45,0.007,-0.007,0,0,17,0,0,17,2,0,4689,0,0,0,2224,0
무법항 - 가시덤불 골짜기,-14444.3,509.62,26.2,0,0,0,0,18,0,0,18,2,0,4689,0,0,0,2224,0
무법항 - 가시덤불 골짜기,-14473,464.15,36.43,0,0,0,0,19,0,0,19,1,0,4689,0,0,0,0,541
그롬골 - 가시덤불 골짜기,-12414.2,146.29,3.28,0,0,0,0,20,0,0,20,2,0,4689,0,0,0,2224,0
신 카르가스 - 황야의 땅,-6676.87,-2433.37,272.771,0.002,-0.01,0,0,21,0,0,21,2,0,4689,0,0,0,2224,0
썬더 블러프 - 멀고어,-1197.21,29.71,176.95,0,0,0,0,22,1,0,22,2,0,4689,0,0,0,2224,0
