CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
전리품,ContainerFrame1Item1,1,2,1,107628,0,0,0
교체,ContainerFrame1Item1,2,2,1,107628,0,0,0
전리품,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
바꾸기|n|n(|cFF00FFFFTab|r 키로 칸 전환),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
바꾸기|n|n(|cFF00FFFFTab|r 키로 칸 전환),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
전리품,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
전리품,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
바꾸기|n|n(|cFF00FFFFTab|r 키로 칸 전환),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
전리품,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
바꾸기|n|n(|cFF00FFFFTab|r 키로 칸 전환),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
[Tab] 키를 눌러 칸 전환,MultiBarBottomLeft,17,3,3,0,0,0,0
강화!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
강화!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
강화!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
강화!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
기다려 주십시오. 플레이어가 충분히 모이면 토너먼트가 시작됩니다!,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
