WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
충격!,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
곧 정신이 부식에 침식됩니다!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
구르는 잔해 붕괴 중!,27,461536,5000,0,0,0,0
당신의 운명이 분리되기 시작합니다!,28,1224865,0,0,5793,0,15
곧 수정 충격파가 발동합니다!,31,1243721,8000,0,0,0,0
곧 수정 감금이 발동합니다!,32,1227373,6000,0,0,0,0
알레리아가 사격 준비를 마쳤습니다!,33,1233602,3000,0,0,0,0
곧 미지의 두려움이 폭발합니다!,34,1225221,3000,0,0,0,0
치솟는 레시가 거의 소진됐습니다!,35,1235114,4000,0,0,0,0
곧 감전당함!,39,1246457,0,0,0,0,0
중력이 당신을 압도합니다!,40,1234570,0,0,0,0,8
알레리아가 사격 준비를 마쳤습니다!,41,1237623,3000,0,0,0,0
공백의 손아귀가 만료됩니다!,42,1232470,4000,0,0,0,0
망각이 몰려옵니다...,46,1257299,0,0,0,0,0
파멸!,47,1217973,10000,0,0,0,0
공허를 찾지 못하면 사라집니다.,48,1262972,0,0,0,0,0
빛을 찾지 못하면 사라집니다.,49,1262983,0,0,0,0,0
|TInterface\ICONS\SPELL_FIRE_FELFLAMESTRIKE.BLP:20|t 지옥 광선의 대상으로 지정되었습니다!,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t 곧 어둠징표가 폭발합니다!,51,1270497,2500,0,0,0,0
,52,1222088,2000,1,0,12197,0
곧 공허 배출이 분출됩니다!,53,1283236,3000,0,0,0,0
곧 쇠약의 독기가 만료됩니다!,54,1284477,3000,0,0,0,0
곧 나선의 독소가 분출합니다!,55,1284590,4000,0,0,0,0
곧 무덤구속이 만료됩니다!,58,1286837,6000,0,0,0,0
