Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,TempVisibilityPlayerConditionID,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,AlternateUiMapGroup,ContentTuningID,AdventureMapTextureKitID,MapArtZoneTextPosition
듀로타,1,12,6,0,3,0,0,0,0,0,0,0,70,0,0
불타는 칼날단 소굴,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0
티라가드 요새,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0
티라가드 요새,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0
해골 바위굴,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0
먼지바람 동굴,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0
멀고어,7,12,6,0,3,0,0,0,0,0,0,0,71,0,0
회색갈기 바위굴,8,7,0,0,5,0,0,0,0,0,0,0,0,0,0
투자개발회사 광산,9,7,0,0,5,0,0,0,0,0,0,0,0,0,0
북부 불모의 땅,10,12,6,0,3,0,0,0,0,0,0,0,3,0,0
통곡의 동굴,11,10,0,0,5,0,0,0,0,0,0,0,0,0,0
칼림도어,12,947,0,0,2,0,0,0,0,0,0,0,2844,0,0
동부 왕국,13,947,0,0,2,0,0,0,0,0,0,0,2844,0,0
아라시 고원,14,13,6,0,3,10,1,0,0,1,0,0,17,0,0
황야의 땅,15,13,6,0,3,0,0,0,0,0,0,0,27,0,0
울다만,16,15,0,0,5,0,0,0,0,0,0,0,0,0,0
저주받은 땅,17,13,6,0,3,0,0,0,0,0,0,0,34,0,0
티리스팔 숲,18,13,6,0,3,0,0,0,0,0,0,0,75,0,0
붉은십자군 수도원 입구,19,18,0,0,5,0,0,0,0,0,0,0,0,0,0
수호자의 안식처,20,18,0,0,5,0,0,0,0,0,0,0,0,0,0
은빛소나무 숲,21,13,6,0,3,0,0,0,0,0,0,0,7,0,0
서부 역병지대,22,13,6,0,3,0,0,0,0,0,0,0,25,0,0
동부 역병지대,23,13,6,0,3,0,0,0,0,0,0,0,35,0,0
희망의 빛 예배당,24,23,0,0,5,0,0,0,0,0,0,0,0,0,0
언덕마루 구릉지,25,13,6,0,3,0,0,0,0,0,0,0,11,0,0
동부 내륙지,26,13,6,0,3,0,0,0,0,0,0,0,20,0,0
던 모로,27,13,6,0,3,0,0,0,0,0,0,0,74,0,0
눈마루 통로,28,27,0,0,5,0,0,0,0,0,0,0,0,0,0
은빛 동굴,29,27,0,0,5,0,0,0,0,0,0,0,0,0,0
신 땜장이 마을,30,27,0,0,5,0,0,0,0,0,0,0,0,0,0
골볼라 채석장,31,27,0,0,5,0,0,0,0,0,0,0,0,0,0
이글거리는 협곡,32,13,6,0,3,0,0,0,0,0,0,0,29,0,0
검은바위 산,33,36,0,0,5,0,0,0,0,0,0,0,0,0,0
검은바위 산,34,36,0,0,5,0,0,0,0,0,0,0,0,0,0
검은바위 산,35,32,0,0,5,0,0,0,0,0,0,0,0,0,0
불타는 평원,36,13,6,0,3,0,0,0,0,0,0,0,30,0,0
엘윈 숲,37,13,6,0,3,0,0,0,0,0,0,0,73,0,0
개미굴 광산,38,37,0,0,5,0,0,0,0,0,0,0,0,0,0
개미굴 광산,39,37,0,0,5,0,0,0,0,0,0,0,0,0,0
벽옥맥 광산,40,37,0,0,5,0,0,0,0,0,0,0,0,0,0
달라란,41,42,0,0,5,0,0,0,0,0,0,0,0,0,0
저승바람 고개,42,13,6,0,3,0,0,0,0,0,0,0,775,0,0
지배자의 지하실,43,42,0,0,5,0,0,0,0,0,0,0,0,0,0
지배자의 지하실,44,42,0,0,5,0,0,0,0,0,0,0,0,0,0
지배자의 지하실,45,42,0,0,5,0,0,0,0,0,0,0,0,0,0
카라잔 지하무덤,46,42,0,0,5,0,0,0,0,0,0,0,0,0,0
그늘숲,47,13,6,0,3,0,0,0,0,0,0,0,13,0,0
모단 호수,48,13,6,0,3,0,0,0,0,0,0,0,9,0,0
붉은마루 산맥,49,13,6,0,3,0,0,0,0,0,0,0,10,0,0
북부 가시덤불,50,224,6,0,3,0,0,0,0,0,0,0,18,0,0
슬픔의 늪,51,13,6,0,3,0,0,0,0,0,0,0,31,0,0
서부 몰락지대,52,13,6,0,3,0,0,0,0,0,0,0,6,0,0
황금해안 채석장,53,52,0,0,5,0,0,0,0,0,0,0,0,0,0
장고로드 광산,54,52,0,0,5,0,0,0,0,0,0,0,0,0,0
죽음의 폐광,55,52,0,0,5,0,0,0,0,0,0,0,0,0,0
저습지,56,13,6,0,3,0,0,0,0,0,0,0,15,0,0
텔드랏실,57,12,6,0,3,0,0,0,68088,0,0,0,72,0,0
그늘 거미굴,58,57,0,0,5,0,0,0,0,0,0,0,0,0,0
악마 바위굴,59,57,0,0,5,0,0,0,0,0,0,0,0,0,0
바네실 지하굴,60,57,0,0,5,0,0,0,0,0,0,0,0,0,0
바네실 지하굴,61,57,0,0,5,0,0,0,0,0,0,0,0,0,0
어둠해안,62,12,6,0,3,10,1,0,0,1,0,0,5,0,0
잿빛 골짜기,63,12,6,0,3,0,0,0,0,0,0,0,12,0,0
버섯구름 봉우리,64,12,6,0,3,0,0,0,0,0,0,0,21,0,0
돌발톱 산맥,65,12,6,0,3,0,0,0,0,0,0,0,14,0,0
잊혀진 땅,66,12,6,0,3,0,0,0,0,0,0,0,19,0,0
마라우돈,67,66,0,0,5,0,0,0,0,0,0,0,0,0,0
마라우돈,68,66,0,0,5,0,0,0,0,0,0,0,0,0,0
페랄라스,69,12,6,0,3,0,0,0,0,0,0,0,22,0,0
먼지진흙 습지대,70,12,6,0,3,0,0,0,0,0,0,0,23,0,0
타나리스,71,12,6,0,3,0,0,0,0,0,0,0,28,0,0
맹독의 둥지,72,71,0,0,5,0,0,0,0,0,0,0,0,0,0
모래지옥 협곡,73,71,0,0,5,0,0,0,0,0,0,0,0,0,0
시간의 동굴,74,71,0,0,5,0,0,0,0,0,0,0,0,0,0
시간의 동굴,75,71,0,0,5,0,0,0,0,0,0,0,0,0,0
