ID,Name_lang,Cost_lang,OutOfError_lang,ToolTip_lang,MinPower,MaxPower,StartPower,CenterPower,RegenerationPeace,RegenerationCombat,BarType,Flags,StartInset,EndInset,FileDataID[0],FileDataID[1],FileDataID[2],FileDataID[3],FileDataID[4],FileDataID[5],Color[0],Color[1],Color[2],Color[3],Color[4],Color[5]
9,시험용 힘,%d 시험용 힘,시험용 힘이 부족합니다.,,0,1000,1000,0,-12.5,-5,0,0,0,0,0,0,0,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,0
10,시험용 힘,%d 시험용 힘,시험용 힘이 부족합니다.,,0,2000,0,0,20,10,0,1,0,0,0,0,0,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,0
18,치명상 계측기,,,,0,10,0,0,0,0,0,7,0,0,457299,457296,457297,457300,457298,0,-1,-1,-1,-1,-1,0
23,소음계,소음,들키지 않았습니다.,자신이 얼마나 시끄러운지 보여줍니다!,0,100,0,0,0,0,2,2,0,0,457566,457564,449443,0,457565,0,-401539,-16777216,-7678738,-16777216,-598016,0
24,역병 표본,,,,0,250,0,0,0,0,0,23,0.1328,0.1367,457299,457296,457297,457300,457298,0,-1,-1,-1,-1,-1,0
26,산성 소화액,,,이소라스의 위산에 소화되고 있습니다!|n|n시간이 지날수록 위산의 강도가 증가합니다. 주위의 대지 고리회 주술사에게 치료를 받아야 합니다!,0,300,0,0,0,0,0,23,0.1328,0.1367,459000,449447,457302,0,462656,0,-1,-1,-13902018,-1,-1,0
29,경주 진행 상황,이게 무엇인가요?,,,0,34,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
30,파상 공격 진행 상황,이게 무엇인가요?,,,0,5,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
32,파상 공격 진행 상황,이게 무엇인가요?,,,0,4,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
33,파상 공격 진행 상황,이게 무엇인가요?,,,0,7,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
34,알렉스트라자의 힘,,,,0,5,5,0,0,0,3,2,0,0.5,457617,449452,457583,457576,457575,0,-406016,-16777216,-837632,-16777216,-16777216,0
35,파상 공격 진행 상황,이게 무엇인가요?,,,0,7,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
36,감독관 스틸워터,이게 무엇인가요?,,감독관 스틸워터의 남은 생명력을 보여줍니다.,0,35000,0,0,0,0,0,6,0.1328,0.1367,459012,449447,449448,0,449449,0,-1,-1,-65536,-1,-1,0
37,타락한 피,타락한 피,피가 깨끗해졌습니다!,증상:|n 25%에 타락: 급격화|n 50%에 타락: 고통|n 75%에 타락: 기형체|n 100%에 타락: 완전함,0,100,0,0,0,0,0,2,0.28,0.22,462333,462330,462331,462334,462332,0,-1,-1,-1,-1,-1,0
39,전하 충전,전기,,오닉시아의 몸에 충전된 전하량을 보여줍니다. 가득 충전되면 폭발합니다.,0,100,0,0,0,0,0,2,0.15,0.15,457319,449467,457317,457320,457318,0,-1,-1,-1,-1,-1,0
61,기,기 %d,기가 부족합니다.,공격을 통해 비축한 힘입니다.,0,100,0,0,0,0,2,2,0,0,457566,457564,449443,0,457565,0,-401539,-16777216,-7678738,-16777216,-598016,0
62,구출 진척도,,,낙오한 드루이드 곁에 있어야 합니다!,0,45,1,0,1,1,0,23,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-5038305,-1,-1,0
63,의식 진척도,,,노르둔 마루 꼭대기의 차원문에서 정령에 맞서 싸워야 합니다!,0,105,0,0,1,1,0,23,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-5038305,-1,-1,0
64,방향 표시기,방향,,군주 라이올리스가 바라보는 방향입니다.,0,50,25,50,0,0,0,6,0.15,0.15,525293,525291,525292,0,0,0,-1,-1,-1,-1,-1,-16777216
65,정신집중,정신집중,집중력을 잃었습니다.,현재 임무에 집중할수록 공격력과 치유 능력이 향상됩니다. 적에게 물리 또는 주문 공격을 당하면 강화 효과가 사라집니다.,0,100,0,0,5,5,0,6,0.13,0.13,449450,449447,449448,0,446220,0,-1,-1,-1,-1,-1,-16777216
66,반란군 야영지 방어,,,트롤 공격으로부터 반란군 야영지를 방어합니다!,0,180,1,0,1,1,0,6,0.1328,0.1367,457295,449447,449468,0,457303,0,-1,-1,-16757025,-1,-1,0
67,그롬골 방어,,,트롤 공격으로부터 그롬골 주둔지를 방어합니다!,0,180,1,0,1,1,0,6,0.1328,0.1367,457306,449447,449468,0,457303,0,-1,-1,-1177600,-1,-1,0
68,스랄 보호,,,스랄을 해치려는 정령에 맞서 싸워야 합니다!,0,100,0,0,0,0,0,6,0.1328,0.1367,458988,457301,457302,0,457303,0,-1,-1,-6752257,-1,-1,0
69,스랄 보호,,,스랄을 해치려는 정령에 맞서 싸워야 합니다!,0,100,0,0,0,0,0,6,0.1328,0.1367,459016,457301,457302,0,457303,0,-1,-1,-16742657,-1,-1,0
72,스랄 보호,,,스랄을 위협하는 황혼의 병력을 처치해야 합니다!,0,100,0,0,0,0,0,6,0.1328,0.1367,459008,457301,457302,0,457303,0,-1,-1,-10921639,-1,-1,0
78,스랄 구출,,,스랄을 풀어주려면 토템을 활성화해야 합니다!,0,100,0,0,0,0,0,6,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-65536,-1,-1,0
80,용암 깃털,용암 깃털,용암 깃털이 없습니다!,모은 용암 깃털의 개수를 보여줍니다.,0,3,0,0,0,0,0,2,0.27,0.28,0,525288,525289,0,525290,0,-1,-1,-1,-1,-1,0
83,놀 때려잡기,,,잘 때려잡으세요!,0,60,60,0,-1,-1,0,6,0.2125,0.2125,533452,533449,533450,533453,533451,0,-1,-1,-1,-1,-1,-16777216
84,사격 연습장,,,빨리 쏘면 점수를 더 받습니다!,0,60,60,0,-1,-1,0,6,0.2125,0.2125,533452,533449,533450,533453,533451,0,-1,-1,-1,-1,-1,-16777216
86,통통 전차 게임,,,준비 끝났습니다!,0,60,60,0,-1,-1,0,6,0.2125,0.2125,533452,533449,533450,533453,533451,0,-1,-1,-1,-1,-1,-16777216
87,생명력,,,부상 당한 선원의 생명력이 0이 되기 전에 회복시키십시오.,0,120,50,0,-1,-1,0,6,0.1328,0.1367,457295,457301,457302,0,457303,0,-1,-1,-16711918,-1,-1,0
88,고리 던지기 도전,,,고리 던지기,0,10,10,0,0,0,3,6,0,0,457617,449432,449453,0,0,0,-1,-1,-3126561,-1,-1,0
89,낙하산 떨구기,,,남은 낙하산,0,4,4,0,0,0,3,6,0,0,457617,449432,449453,0,0,0,-1,-1,-3126561,-1,-1,0
90,시간의 모래,시간의 모래,모래시계에 모래가 남아 있지 않습니다!,모래시계로 시간을 되돌릴 수 있는 횟수입니다.,0,5,5,0,0,0,0,4,0,0,0,533349,533350,0,0,0,-1,-1,-1,-1,-1,-16777216
91,지팡이 강화,,,고대 영혼을 처치하여 페이즈의 지팡이에 힘을 불어넣고 의식을 중단시키십시오!,0,100,0,0,0,0,0,6,0.1328,0.1367,449450,457301,457302,0,457303,0,-1,-1,-8053343,-1,-1,-16777216
92,균형,균형,,데스윙의 척추를 기준으로 왼쪽과 오른쪽에 서 있는 플레이어들 사이의 균형을 보여줍니다. 모든 플레이어가 한쪽에만 서 있는 것을 감지하면 데스윙은 몸을 기울여 플레이어들을 떨어뜨리려고 합니다.,0,100,50,100,0,0,0,10,0.15,0.15,525293,525291,525292,0,0,0,-1,-1,-1,-1,-1,-16777216
93,명상,,,자신의 중심을 찾으세요.,0,100,50,0,0,0,0,6,0.1328,0.1367,457321,457301,457302,457320,457303,0,-1,-1,-16742657,-1,-1,0
94,험한 세상과 하늘에 다리가 되어,,,페이즈가 의식을 수행하는 동안 공격하는 자들을 막아내야 합니다!,0,100,0,0,0,0,0,6,0.1328,0.1367,449450,449447,449448,449451,449449,0,-1,-1,-11608077,-1,-70400,0
95,악마의 음료,악마의 음료,분노가 더 필요합니다!,탈태 상태에서 사용하는 능력이 소비합니다.,0,1000,200,0,0,0,0,2,0.2,0.2,462333,462330,462331,462334,462332,0,-1,-1,-1,-1,-1,-16777216
97,명석한 머리,명석함,정신력이 회복되지 않았습니다.,,0,3,0,0,0,0,2,0,0.27,0.28,0,525288,525289,0,525290,0,-1,-1,-1,-1,-1,0
103,진흙 막대,,,모은 진흙의 양을 보여줍니다.,0,100,10,0,0,0,1,147,0.1,0.17,457569,0,457567,0,0,0,-1,-16777216,-7690425,-16777216,-16777216,-16777216
104,꿈 속으로,꿈 속,마지막 꿈을 꾼 이후 정신이 회복되지 않았습니다.,,0,3,0,0,0,0,2,0,0.27,0.28,0,525288,525289,0,525290,0,-1,-1,-1,-16777216,-1,-16777216
105,초시계,,,,0,101,0,0,0,0,4,384,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
106,주먹 막대,,,최대한 강하게 때리세요!,0,100,0,0,0,0,2,2,0,0,457602,0,457570,0,457565,0,-1,-10790053,-65536,-16777216,-20705,-16777216
107,타락한 피,타락한 피,,"데스윙의 생명력이 줄어들수록 타락한 피가 점점 더 큰 화염 피해를 입힙니다. 생명력이 각각 15, 10, 5퍼센트 남았을 때, 데스윙은 과다출혈 상태가 되어 타락한 피가 2배로 증가합니다.",0,100,0,50,0,0,0,10,0.15,0.15,0,533343,533344,533346,533345,0,-1,-1,-1,-1,-1,-16777216
110,전하 충전,전하 충전,,번개의 힘을 사용하는 우두머리의 공격을 받았을 때 받는 효과(기절 효과의 지속시간이나 피해량 등)를 증가시킵니다.,0,100,0,0,0,0,0,2,0.15,0.15,457319,449467,457317,457320,457318,0,-1,-1,-1,-1,-1,-16777216
113,증오,증오,증오가 사라졌습니다.,"샤에 대한 증오는 시간이 지날수록 점점 증가하며, 샤의 능력에 의해 공격을 받아도 역시 증가합니다.",0,60,0,0,0.2,0.2,0,4,0.13,0.14,457315,449447,449448,449451,449449,0,-1,-1,-65536,-4113,-65536,-16777216
114,호젠 방해,호젠 방해,호젠의 잔치가 아무 탈 없이 흘러갑니다!,잔치에 참여하다가 방해를 받은 호젠의 수를 보여줍니다.|n|n잔치를 방해하고 우끼우끼의 분노를 불러일으키세요!,0,40,0,0,0,0,4,390,0,0,633766,0,0,0,0,633767,-1,-16777216,-16777216,-16777216,-16777216,-602368
115,불안정한 불씨,불안정한 불씨,불안정한 불씨가 더 필요합니다.,불안정한 불씨는 다음 점화 또는 영혼의 불꽃의 공격력을 강화합니다.,0,30,0,0,0,0,0,259,0.1328,0.1367,458992,457301,457302,0,457303,0,-1,-1,-65536,-1,-1,-16777216
116,열기 수준,열기,,이 흉측한 융합체가 흡수한 타락한 피의 수를 보여줍니다.,0,9,0,0,0,0,4,2,0,0,533347,0,0,0,0,533348,-1,-16777216,-16777216,-16777216,-16777216,-16777216
117,사격 연습장,,,25점을 기록하면 성공입니다!,0,25,0,0,0,0,4,388,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
129,통통 전차 게임,,,최대한 높은 점수를 기록하십시오!,0,100,0,0,0,0,4,260,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
133,놀 때려잡기,,,잘 때려잡으세요!,0,100,0,0,0,0,4,260,0,0,533341,0,0,0,0,533342,-1,-16777216,-16777216,-16777216,-16777216,-1
134,블랜치의 폭발 맥주,,,블랜치의 걸작 맥주를 완성하려면 맥주통이 불타지 않게 막아야 합니다.,0,100,0,0,0,0,0,6,0.1328,0.1367,653596,653593,653594,653597,653595,0,-1,-1,-5268647,-1,-1,-16777216
137,생존의 장: 불꽃,,,죽지 마십시오.,0,60,0,0,1,1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-16777216,-1,-1,-1,-16777216
139,생존 시간,,,죽지 마십시오.,0,60,60,0,-1,-1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-1,-1,-1,-1,-16777216
141,영혼 전이 재사용 대기시간,,,,0,15,15,0,-1,-1,2,6,0,0,457623,449442,449443,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216
148,수레 조종,수레 조종,수레를 조종하지 못합니다.,수레 주위에 있는 호드 또는 얼라이언스 플레이어의 수에 따라 어느 진영에서 수레를 조종하게 될지가 결정됩니다.,0,100,50,0,0,0,0,2,0.13,0.13,449450,449447,449448,0,449449,0,-1,-1,-1,-1,-1,-16777216
149,아이사의 명상,,,아이사가 명상을 하는 동안 안전하게 보호하세요.,0,90,0,0,1,1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-16777216,-1,-1,-1,-16777216
151,상어 붙잡기,,,상어를 꽉 붙잡으세요! 떨어져서는 안 됩니다!,0,100,50,0,-1,-1,0,6,0.1328,0.1367,457328,457301,457302,0,457303,0,-1,-1,-2293246,-1,-1,-16777216
158,셴진 수 치유,,,치유사를 구출하고 셴진 수의 상처가 치유될 때까지 보호하십시오.,0,500,0,0,0,0,0,22,0.1328,0.1367,525287,457301,457302,0,0,0,16777215,0,2877779,16777215,16777215,0
165,증오,,,조화의 웅덩이 안에 서서 자신의 증오를 다스리세요!,0,100,0,0,1,1,0,6,0.1328,0.1367,459004,457301,457302,0,457303,0,-1,-1,-196608,-1,-1,-16777216
171,침 막대,,,모은 침의 양을 보여줍니다.,0,100,0,0,0,0,1,130,0.1,0.17,457569,0,457567,0,0,0,-1,-16777216,-10044673,-16777216,-16777216,-16777216
175,진짜 궁극의 힘,진짜 궁극의 힘,당신은 너무 약합니다.,처치한 샤의 순수한 힘을 흡수합니다.,0,100,10,0,-1,-1,0,6,0.13,0.14,458992,457301,457302,449431,457303,0,-1,-1,-65536,-1,-1,-16777216
176,점도,점도,최저 점도,나뭇진이 굳어진 정도를 표시합니다. 굳어지지 않게 하려면 뛰어 올라야 합니다!,0,100,50,0,2,2,0,6,0.13,0.14,457315,449447,449448,449451,449449,0,-1,-1,-31232,-4113,-12800,-16777216
177,보의 밀림 맥주,,,이 섬에 거주하는 해적 호젠에게서 맥주를 모아야 합니다.,0,100,0,0,0,0,0,6,0.1328,0.1367,457325,457301,457302,0,457303,0,-1,-1,-5268647,-1,-1,-16777216
178,의지력,의지력,의지력이 부족합니다!,"자신의 새로운 모습에 대한 통제력을 유지하려고 애씁니다. 의지력이 고갈되면, 의식이 완전히 소멸됩니다.",0,100,100,0,0,0,0,10,0.13,0.13,628130,628127,628128,0,628129,0,-1,-1,-1,-1,-1,-16777216
179,부의 그늘 병,,,모은 그늘의 양을 보여줍니다.,0,100,0,0,0,0,1,130,0.1,0.17,457569,0,457567,0,0,0,-1,-16777216,-11402617,-16777216,-16777216,-16777216
183,명상,,,자신의 중심을 찾으세요.,0,100,50,0,0,0,0,6,0.1328,0.1367,627342,457301,457302,627343,457303,0,-1,-1,-16742657,-1,-1,-16777216
195,생존의 장: 칼날,,,죽지 마십시오.,0,60,0,0,1,1,0,6,0.1328,0.1367,457325,457301,457302,0,0,0,-1,-16777216,-1,-1,-1,-16777216
199,주먹 막대,,,최대한 강하게 때리세요!,0,100,0,0,0,0,2,2,0,0.15,629942,629939,629940,0,629941,0,-1,-1,-1,-16777216,-20705,-16777216
203,생명의 웅덩이 정화,,,생명의 웅덩이 주위에 있는 샤를 파괴하십시오!,0,40,0,0,0,0,0,6,0.1328,0.1367,0,653598,653599,653601,653600,0,-1,-1,-1,-1,-1,-16777216
