Name_lang,Description_lang,Position[0],Position[1],Position[2],LookAt[0],LookAt[1],LookAt[2],ID,MapID,Fov,TimeOfDay,Flags,SoundAmbienceID,Quality,TextureKit,DefaultScenePriority
모험가의 휴식처,한 폭의 그림 같은 폭포가 자리한 숲속 공터입니다. 야영지를 차리기에 이보다 좋은 장소가 또 있을까요?,-2982.99,468.057,455.523,-2985.54,456.018,454.399,1,2703,65,-1,8,2731,1,5671,0
온아라 전망대,아제로스를 누비는 모험가로서 이보다 더 경치 좋은 장소를 찾긴 대단히 어려울 겁니다.,-3046.0244,496.39932,410.31583,-3038.1926,487.43228,409.8168,4,2834,65,-1,8,2904,1,5672,0
이교도의 부두,세차게 내달리는 물소리가 구렁 안에 있는 이교도들이 이따금 내는 찬송가를 묻어줍니다.,181.91145,2500.3923,94.23643,203.66841,2493.2517,92.748405,5,2837,65,-1,0,2905,3,5673,0
풍요산지 샘,풍요산지의 토석인들이 저명한 모험가에게 기꺼이 내준 자리입니다. 뒷정리만 잘해달라네요.,-2808.0034,395.2014,81.54124,-2822.783,388.33853,81.51475,7,2847,65,-1,0,2902,3,5674,0
갤라지오 대회랑,"갤리윅스가 언더마인을 등골 휘도록 착취하고 있긴 합니다만, 안목 하나는 대단합니다!",431.86978,-802.94617,27.449316,398.82986,-802.8143,27.221827,25,2851,65,-1,0,2903,3,5676,0
즐겨찾기 무작위 지정,접속할 때마다 즐겨 찾을 야영 거점을 선택합니다. 즐겨찾기에 등록된 야영 거점이 없다면 전체 수집한 항목 중에서 선택됩니다.,0,0,0,0,0,0,29,2703,90,0,25,0,1,5675,1
모험가의 휴식처,Chair Test - A forest glade with a picturesque waterfall. What better place to set up camp?,-2982.99,468.057,455.523,-2985.54,456.018,454.399,99,2703,65,-1,7,2731,1,5671,1
Test Example from Scratch,Test Description,-2967.434,418.9375,85.79015,-2967.0469,408.52084,85.22732,110,2847,65,0,7,0,5,0,0
모험가의 휴식처,테스트 중,-2982.99,343.37,129.736,-2950.4392,376.76215,121.02705,111,2847,65,-1,7,2731,1,5671,1
포식당한 자의 운명,"미지의 시장 타자베쉬는 각종 편의 시설은 물론, 맛있는 냄새를 풍기는 길거리 음식, 최신 에테리얼 형상변환, 강렬한 경치까지 두루 갖춘 곳입니다.",-669,-160,536.5,-652.51,-122.109,537.3,119,2954,65,-1,0,3130,3,5743,0
