ID,Name_lang,Name1_lang,Mask_ID,Flags
1,Recruta %s,Recruta %s,1,0
2,Cabo %s,Cabo %s,2,0
3,Terceiro-sargento %s,Terceiro-sargento %s,3,0
4,Segundo-sargento %s,Segundo-sargento %s,4,0
5,Primeiro-sargento %s,Primeiro-sargento %s,5,0
6,Cavaleiro %s,Cavaleira %s,6,0
7,Tenente-cavaleiro %s,Tenente-cavaleira %s,7,0
8,Capitão-cavaleiro %s,Capitão-cavaleira %s,8,0
9,Campeão-cavaleiro %s,Campeã-cavaleira %s,9,0
10,Tenente-comandante %s,Tenente-comandante %s,10,0
11,Comandante %s,Comandante %s,11,0
12,Marechal %s,Marechal %s,12,0
13,Marechal-de-campo %s,Marechal-de-campo %s,13,0
14,Grão-marechal %s,Grão-marechal %s,14,0
15,Batedor %s,Batedora %s,15,0
16,Bruto %s,Bruta %s,16,0
17,Terceiro-sargento %s,Terceiro-sargento %s,17,0
18,Segundo-sargento %s,Segundo-sargento %s,18,0
19,Primeiro-sargento %s,Primeiro-sargento %s,19,0
20,Guarda Pétreo %s,Guarda Pétrea %s,20,0
21,Guarda-de-sangue- %s,Guarda-de-sangue %s,21,0
22,Legionário %s,Legionária %s,22,0
23,Centurião %s,Centuriã %s,23,0
24,Campeão %s,Campeã %s,24,0
25,Tenente-general %s,Tenente-general %s,25,0
26,General %s,General %s,26,0
27,Senhor da Guerra %s,Senhora da Guerra %s,27,0
28,Sumo Senhor da Guerra %s,Suma Senhora da Guerra %s,28,0
42,Gladiador %s,Gladiadora %s,29,0
43,Duelista %s,Duelista %s,30,0
44,Rival %s,Rival %s,31,0
45,Desafiante %s,Desafiante %s,32,0
46,Senhor dos Escaravelhos %s,Senhora dos Escaravelhos %s,33,0
47,Conquistador %s,Conquistadora %s,34,0
48,Justicar %s,Justicar %s,35,0
53,"%s, Campeão dos Naarus","%s, Campeã dos Naarus",36,0
62,Gladiador Impiedoso %s,Gladiadora Impiedosa %s,37,0
63,%s do Sol Partido,%s do Sol Partido,38,0
64,"%s, a Mão de A'dal","%s, a Mão de A'dal",39,0
71,Gladiador Vingativo %s,Gladiadora Vingativa %s,40,0
72,Mestre de Batalha %s,Mestre de Batalha %s,41,0
74,Ancião %s,Anciã %s,43,0
75,Guardião das Chamas %s,Guardiã das Chamas %s,44,0
76,Protetor das Chamas %s,Protetora das Chamas %s,45,0
77,"%s, o Exaltado","%s, a Exaltada",46,0
78,"%s, o Explorador","%s, a Exploradora",47,0
79,"%s, o Diplomata","%s, a Diplomata",48,0
80,Gladiador Brutal %s,Gladiadora Brutal %s,49,0
81,"%s, o Obstinado","%s, a Obstinada",42,0
82,Mestre da Arena %s,Mestre da Arena %s,50,0
83,Mestre do Anzol %s,Mestre do Anzol %s,51,0
84,Chef %s,Chef %s,52,0
85,%s Bate–bate,%s Bate–bate,53,0
86,%s das Dez Tempestades,%s das Dez Tempestades,54,0
87,%s do Sonho Esmeralda,%s do Sonho Esmeralda,55,0
89,Profeta %s,Profetisa %s,57,0
90,"%s, o Maléfico","%s, a Maléfica",58,0
91,Predador %s,Predadora %s,59,0
92,%s da Lâmina de Ébano,%s da Lâmina de Ébano,60,0
93,Arquimago %s,Arquimaga %s,61,0
94,Senhor da Batalha %s,Senhora da Batalha %s,62,0
95,Assassino %s,Assassina %s,63,0
96,Grão-mestre Alquimista %s,Grã-mestra Alquimista %s,64,0
97,Grão-mestre Ferreiro %s,Grã-mestra Ferreira %s,65,0
98,Super Chef %s,Super Chef %s,66,0
99,Grão-mestre Encantador %s,Grã-mestra Encantadora %s,67,0
100,Grão-mestre Engenheiro %s,Grã-mestra Engenheira %s,68,0
101,Doutor %s,Doutora %s,69,0
102,Grão-mestre Pescador %s,Grã-mestra Pescadora %s,70,0
103,Grão-mestre Herborista %s,Grã-mestra Herborista %s,71,0
104,Grão-mestre Escriba %s,Grã-mestra Escriba %s,72,0
105,Grão-mestre Joalheiro %s,Grã-mestra Joalheira %s,73,0
106,Grão-mestre Coureiro %s,Grã-mestra Coureira %s,74,0
107,Grão-mestre Minerador %s,Grã-mestra Mineradora %s,75,0
108,Grão-mestre Esfolador %s,Grã-mestra Esfoladora %s,76,0
109,Grão-mestre Alfaiate %s,Grã-mestra Alfaiate %s,77,0
110,Combatente %s,Combatente %s,78,0
111,Gladiador Medonho %s,Gladiadora Medonha %s,79,0
112,Gladiador Sinistro %s,Gladiadora Sinistra %s,80,0
113,%s de Gnomeregan,%s de Gnomeregan,81,0
114,"%s, o Coração de Leão","%s, a Coração de Leão",82,0
115,"%s, Campeão de Eluna","%s, Campeã de Eluna",83,0
116,"%s, Herói de Orgrimmar","%s, Heroína de Orgrimmar",84,0
117,"%s, o Corredor das Planícies","%s, a Corredora das Planícies",85,0
118,%s dos Lançanegra,%s dos Lançanegra,86,0
119,"%s, o Renegado","%s, a Renegada",87,0
