Field_9_2_0_42174_000_lang,ID,Season,Field_9_2_0_41827_001,ExpansionID,Field_10_0_2_45779_004,DelvesSeasonID
Derrote %d |4Chefe:Chefes; do raide Castelo de Nathria,10,5,1,8,1,0
Derrote %d |4Chefe:Chefes; do raide Sacrário da Dominação,11,6,2,8,1,0
Derrote %d |4Chefe:Chefes; do raide Sepulcro dos Primogênitos,12,7,3,8,1,0
Derrotar %d |4Chefe:Chefes; de Raide Fatídico,17,8,4,8,1,0
Derrote %d |4Chefe:Chefes; na Câmara dos Encarnados ,19,9,1,9,2,0
"Derrote %d |4Chefe:Chefes de Aberrus, o Crisol Sombrio",21,10,2,9,2,0
"Derrote %d |4chefe:chefes; de Amirdrassil, a Esperança Onírica",22,11,3,9,2,0
Derrotar %d |4Chefe:Chefes; de Raides Despertos,23,12,4,9,2,0
Derrotar %d |4Chefe:Chefes; do Palácio Nerub-ar,24,13,1,10,3,1
Derrotar %d |4Chefe:Chefes; da Libertação da Inframina,25,14,2,10,3,2
Derrotar %d |4Chefe:Chefes; da Manaforja Ômega,30,15,3,10,3,3
