Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
Sede de Sangue,"Ativa a habilidade Sede de Sangue, que aumenta em ${$a701}% a chance de sucesso da primeira missão que você ordenar a cada dia.",39,31,0,1,136012,41962,578,0,0,0,0,0,0
Reencarnação,"Ativa a habilidade Reencarnação em todas as missões, concedendo ${$a772}% de chance em missões bem-sucedidas de recuperar  $m772 de Vitalidade de uma Tropa expirada.",40,31,1,1,451167,41955,646,0,0,0,0,0,0
Dádiva Ancestral,Ativa a chance de seus Campeões retornarem com armamentos ou equipamentos de Campeão em missões bem sucedidas.,41,31,2,1,237574,41958,788,0,0,0,0,0,0
Lendas Ancestrais,Aumenta em ${$a898} o número de itens Lendários que você pode equipar.,42,31,5,0,237571,41961,0,0,0,0,0,0,0
Conhecimento Elemental,"Elementais Menores recém recrutados se tornam Elementais Maiores, aumentando em ${$a638-$a637}% a chance de sucesso em missões.",43,31,3,0,893777,41959,0,0,0,0,0,0,0
Sussurros da Terra,"Círculos de Arautos da Terra recém recrutados se tornam Geomantes da Harmonia Telúrica, ganhando:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffTempestade de Magma|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
Ergam-se!,"Permite recrutar Ascendentes.

Ascendentes aumentam em ${$a650}% a chance de sucesso em missões com |C00b3ffffPerigos|R, |C00b3ffffFeitiços|R ou |C00b3ffffLacaios|R, escolhidos aleatoriamente, além de: 

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffFúria dos Ascendentes|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
Andar Espiritual,Permite a você emitir uma ordem de serviço para ganhar 1 de seus 3 Selos do Destino Partido semanais em troca de Recursos do Salão da Ordem.,49,31,4,0,636335,41960,0,0,0,0,0,0,0
Campo de Treinamento,"Aumenta em ${$a702} o número máximo de Elementais Menores e Maiores, Arautos da Terra e Geomantes que você pode recrutar.",52,31,2,0,135776,41958,579,0,0,0,0,0,0
Vínculo Elemental,"Concede acesso aos Lordes do Fogo, Terra, Ar e Água. A cada dia um Lorde aleatório aparecerá no seu Salão da Ordem, concedendo a você um poderoso bônus em combate.",53,31,1,0,135988,41955,0,0,0,0,0,0,0
