ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,PreloadFileDataID,Flags[0],Flags[1],Flags[2]
0,Azeroth,Reinos do Leste,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,17,804940,775971,0,0,159399517,134479888,140
1,Kalimdor,Kalimdor,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,17,804935,782779,0,0,159399517,134479888,140
30,PVPZone01,Vale Alterac,"Oculto entre as Montanhas de Alterac, o Vale Alterac é lar do clã Lobo do Gelo. Os anões Lançatroz estabeleceram uma base de operações no vale a fim de dominar as riquezas guardadas em suas profundezas, além de obter pistas de seu passado ancestral.

Um campo de batalha em grande escala, cada lado tenta destruir as torres inimigas e destruir o General do lado oposto (Vanndar Lançatroz ou Drek'Thar).","Oculto entre as Montanhas de Alterac, o Vale Alterac é lar do clã Lobo do Gelo. Os anões Lançatroz estabeleceram uma base de operações no vale a fim de dominar as riquezas guardadas em suas profundezas, além de obter pistas de seu passado ancestral.

Um campo de batalha em grande escala, cada lado tenta destruir as torres inimigas e destruir o General do lado oposto (Vanndar Lançatroz ou Drek'Thar).",Mate o líder inimigo,"- Capture torres e casamatas inimigas
- Mate o líder inimigo
- Reduza os reforços inimigos a 0",0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,0,0,1553,135004168,0
33,Shadowfang,Bastilha da Presa Negra,,,,,-230.989,1571.57,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,0,0,134219293,134512648,0
34,StormwindJail,Cárcere de Ventobravo,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,0,0,1553,134479880,0
36,DeadminesInstance,Minas Mortas,,,,,-11207.8,1681.15,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,0,0,134219281,134512648,0
43,WailingCaverns,Caverna Ululante,,,,,-751.1312,-2209.2405,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,0,0,1553,134479880,0
47,RazorfenKraulInstance,Urzal dos Tuscos,,,,,-4459.449,-1660.2118,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,0,0,1553,134479880,0
48,Blackfathom,Profundezas Negras,,,,,4249.1206,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,0,0,1553,134479880,0
70,Uldaman,Uldaman,,,,,-6060.1816,-2954.9973,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,0,0,1553,134479880,0
90,GnomeragonInstance,Gnomeregan,,,,,-5162.6616,931.59875,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,0,0,1553,134479880,0
109,SunkenTemple,Templo Submerso,,,,,-10291.7,-3987.63,2,1,0,1477,191,-1,-1,-1,0,1,0,10,0,0,791166,0,0,1553,134479880,0
129,RazorfenDowns,Urzal dos Mortos,,,,,-4662.883,-2535.8716,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,0,0,1553,134479880,0
169,EmeraldDream,Sonho Esmeralda,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,0,0,1553,134479880,0
189,MonasteryInstances,Monastério Escarlate de Outrora,,,,,2892.2354,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,0,0,788662,0,0,1553,134479880,0
209,TanarisInstance,Zul'Farrak,,,,,-6790.5767,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,0,0,134219281,134512648,0
229,BlackRockSpire,Pico da Rocha Negra Inferior,,,,,-7522.527,-1233.0415,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,0,0,1537,134479880,0
230,BlackrockDepths,Abismo Rocha Negra,,,,,-7178.0947,-928.63947,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,0,0,1553,134479880,0
249,OnyxiaLairInstance,Covil de Onyxia,,,,,-4753.3125,-3752.4211,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,0,0,34305,134479880,0
269,CavernsOfTime,Abertura do Portal Negro,,,,,-8750.827,-4193.513,1,1,1,0,212,-1,-1,-1,0,1,1,5,0,0,829736,0,0,1553,134479880,0
289,SchoolofNecromancy,Scolomântia,,,,,1274.7812,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,0,0,1553,134479880,0
309,Zul'gurub,Antiga Zul'Gurub,,,,,-11916.06,-1224.5771,1,1,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,0,0,525841,134479880,0
329,Stratholme,Stratholme,,,,,3392.317,-3378.4832,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,0,0,134219281,134512648,0
349,Mauradon,Maraudon,,,,,-1432.6971,2924.9775,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,0,0,1553,134479880,0
369,DeeprunTram,Metrô Correfundo,,,,,-8349.224,517.34796,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,0,0,268437009,134480384,128
389,OrgrimmarInstance,Cavernas Ígneas,,,,,1816.7559,-4423.3716,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,0,0,1553,134479880,0
409,MoltenCore,Núcleo Derretido,,,,,-7510.565,-1036.6981,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,0,0,1553,134479880,0
429,DireMaul,Gládio Cruel,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,0,0,134219265,134512648,128
449,AlliancePVPBarracks,Quartel JxJ da Aliança,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,-1,0,0,0,775968,0,0,1553,134479880,0
450,HordePVPBarracks,Quartel JxJ da Horda,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,-1,0,0,0,782776,0,0,1553,134479880,0
469,BlackwingLair,Covil Asa Negra,,,,,-7663.4126,-1218.6665,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,0,0,1553,134479880,0
489,PVPZone03,Ravina Brado Guerreiro Clássica,"Um vale que faz fronteira com a Floresta do Vale Gris e os Sertões, a Ravina Brado Guerreiro é palco de uma constante batalha entre a Horda e a Aliança.

Sendo um campo de batalha de capturar bandeira de 10 contra 10, a primeira facção a capturar três bandeiras vence.

Cheios de boa vontade para ajudar seus aliados, membros de todas as raças de Azeroth vão para a Ravina e somam suas espadas, ou feitiços, ao conflito.","Um vale que faz fronteira com a Floresta do Vale Gris e os Sertões, a Ravina Brado Guerreiro é palco de uma constante batalha entre a Horda e a Aliança.

Sendo um campo de batalha de capturar bandeira de 10 contra 10, a primeira facção a capturar três bandeiras vence.

Cheios de boa vontade para ajudar seus aliados, membros de todas as raças de Azeroth vão para a Ravina e somam suas espadas, ou feitiços, ao conflito.",Capture a bandeira inimiga,"- Defenda a sua bandeira
- Capture a bandeira inimiga
- A última captura dá a vitória",0,0,1,3,0,3277,122,-1,-1,-1,0,1,-1,0,0,0,790291,0,0,1553,135004160,0
509,AhnQiraj,Ruínas de Ahn'Qiraj,,,,,-8114.4644,1526.3657,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,0,0,1553,134479880,0
529,PVPZone04,Bacia Arathi Clássica,"A Bacia Arathi é um dos principais palcos da guerra entre os humanos e os Renegados em Azeroth.

A Bacia Arathi é um campo de batalha de dominação em que 15 enfrentam 15 e cada lado tenta controlar os Estábulos, a Ferraria, a Mina, o Moinho e a Fazendo pelo máximo de tempo possível.

As tropas de elite do Corruptor buscam cortar a ligação vital entre os humanos e seus aliados enânicos ao sul.

Enquanto isso, a Liga de Arathor reivindica as terras perdidas em nome de seus benfeitores em Ventobravo.","A Bacia Arathi é um dos principais palcos da guerra entre os humanos e os Renegados em Azeroth.

A Bacia Arathi é um campo de batalha de dominação em que 15 enfrentam 15 e cada lado tenta controlar os Estábulos, a Ferraria, a Mina, o Moinho e a Fazendo pelo máximo de tempo possível.

A Liga de Arathor reivindica as terras perdidas em nome de seus benfeitores em Ventobravo.

Enquanto isso, as tropas de elite do Corruptor buscam cortar a ligação vital entre os humanos e seus aliados enânicos ao sul.",Capture os objetivos,"- Capture e domine os objetivos
- Ganhe 1500 recursos",0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,-1,0,0,0,790377,0,0,1553,135004160,0
530,Expansion01,Terralém,,,,,0,0,1,0,1,0,198,-1,-1,-1,0,1,-1,0,0,804943,828395,0,0,1553,134479880,128
531,AhnQirajTemple,Templo de Ahn'Qiraj,,,,,-8111.724,1526.7858,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,0,0,1553,134479880,0
532,Karazahn,Karazhan,,,,,-11110.407,-2004.0653,1,2,1,3457,200,-1,-1,-1,0,1,0,10,0,0,834192,0,0,1553,134479880,0
533,Stratholme Raid,Naxxramas,,,,,0,0,1,2,2,3456,197,-1,-1,-1,0,1,-1,25,0,0,827115,0,0,34321,134479880,0
534,HyjalPast,A Batalha pelo Monte Hyjal,,,,,-8178.508,-4182.0503,1,2,1,616,212,-1,-1,-1,0,1,1,25,0,0,831824,0,0,1553,134479880,0
540,HellfireMilitary,Cidadela Fogo do Inferno: Salões Despedaçados,,,,,-306.75818,3064.4355,2,1,1,3714,199,-1,-1,-1,0,1,530,5,0,0,831277,0,0,134219281,134512648,0
542,HellfireDemon,Cidadela Fogo do Inferno: Fornalha de Sangue,,,,,-295.41934,3151.9927,2,1,1,3713,199,-1,-1,-1,0,1,530,5,0,0,830642,0,0,134219281,134512648,0
543,HellfireRampart,Cidadela Fogo do Inferno: Muralha,,,,,-360.04987,3067.8955,1,1,1,3562,199,-1,-1,-1,0,1,530,5,0,0,832154,0,0,67089,134479880,0
544,HellfireRaid,Covil de Magtheridon,,,,,-330.23386,3106.636,2,2,1,3836,208,-1,-1,-1,0,1,530,25,0,0,833183,0,0,1553,134479880,0
545,CoilfangPumping,Presacurva: Câmara dos Vapores,,,,,764.21906,6915.0796,2,1,1,3715,207,-1,-1,-1,0,1,530,5,0,0,828422,0,0,1553,134479880,0
546,CoilfangMarsh,Presacurva: Brejo Oculto,,,,,764.62823,6768.0728,2,1,1,3716,207,-1,-1,-1,0,1,530,5,0,0,831262,0,0,134219281,134512648,0
547,CoilfangDraenei,Presacurva: Pátio dos Escravos,,,,,742.1582,7011.3267,2,1,1,3717,207,-1,-1,-1,0,1,530,5,0,0,830731,0,0,1553,134479880,0
548,CoilfangRaid,Presacurva: Caverna do Serpentário,,,,,775.7864,6865.2427,2,2,1,3607,207,-1,-1,-1,0,1,530,25,0,0,829900,0,0,1553,134479880,0
550,TempestKeepRaid,Bastilha da Tormenta,,,,,0,0,2,2,1,3845,206,-1,-1,-1,0,1,-1,25,0,0,832484,0,0,1553,134479880,0
552,TempestKeepArcane,Bastilha da Tormenta: Arcatraz,,,,,0,0,2,1,1,3848,206,-1,-1,-1,0,1,-1,5,0,0,832070,0,0,1553,134479880,0
553,TempestKeepAtrium,Bastilha da Tormenta: Jardim Botânico,,,,,0,0,2,1,1,3847,206,-1,-1,-1,0,1,-1,5,0,0,833950,0,0,134219281,134512648,0
