Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2]
Templo da Serpente de Jade,2,960,2,4,0,1800,1440,1080
Cervejaria Malte do Trovão,56,961,2,0,0,2700,1260,720
Portal do Sol Poente,57,962,2,0,0,2700,1320,780
Monastério Shado-Pan,58,959,2,0,0,3600,2100,1260
Cerco ao Templo Niuzao,59,1011,2,0,0,3000,1800,1050
Palácio Mogu'shan,60,994,2,0,0,2700,1440,720
Scolomântia,76,1007,2,0,0,3300,1980,1140
Salões Escarlates,77,1001,2,0,0,2700,1320,780
Monastério Escarlate,78,1004,2,0,0,2700,1320,780
Beira-céu,161,1209,2,0,0,3400,1700,1020
Minas de Escória do Malho Sangrento,163,1175,2,0,0,3600,2100,1320
Auchindoun,164,1182,2,0,0,3300,1920,1140
Sepulcrário da Lua Negra,165,1176,2,5,0,1980,1584,1188
Central do Carrilcruel,166,1208,2,5,0,1800,1440,1080
Pico da Rocha Negra Superior,167,1358,2,0,0,5100,2580,1500
Floretérnia,168,1279,2,0,0,3600,1800,1050
Docas de Ferro,169,1195,2,5,0,1800,1440,1080
Olho de Azshara,197,1456,6,0,21063,2100,1680,1260
Bosque Corenegro,198,1466,6,0,21063,1800,1440,1080
Castelo Corvo Negro,199,1501,6,0,21063,2340,1872,1404
Salões da Bravura,200,1477,6,0,0,2280,1824,1368
Covil de Neltharion,206,1458,6,6,21063,1980,1584,1188
Câmara das Guardiãs,207,1493,6,0,21063,1980,1584,1188
Gorja das Almas,208,1492,6,0,0,1440,1152,864
O Arcâneo,209,1516,6,0,0,2700,2160,1620
Pátio das Estrelas,210,1571,6,0,0,1800,1440,1080
Retorno a Karazhan: Inferior,227,1651,6,0,0,2520,2016,1512
Catedral da Noite Eterna,233,1677,6,0,0,2100,1680,1260
Retorno a Karazhan (Superior),234,1651,2,0,0,2100,1680,1260
Sede do Triunvirato,239,1753,6,0,0,2100,1680,1260
Atal'Dazar,244,1763,4,7,0,1800,1440,1080
Angra do Facão,245,1754,4,7,0,1980,1584,1188
Tol Dagor,246,1771,0,7,0,2160,1728,1296
A MEGAMINA!!!,247,1594,0,7,0,2340,1872,1404
Mansão Capelo,248,1862,0,7,0,2340,1872,1404
Repouso do Rei,249,1762,0,7,0,2520,2016,1512
Templo de Sethraliss,250,1877,0,7,0,2160,1728,1296
Terra Podre,251,1841,0,7,0,1980,1584,1188
Santuário da Tempestade,252,1864,0,7,0,2520,2016,1512
Cerco de Boralus,353,1822,0,7,0,2160,1728,1296
Operação: Gnomecan - Ferro-velho,369,2097,4,7,0,2280,1824,1368
Operação: Gnomecan - Oficina,370,2097,0,7,0,1920,1536,1152
Brumas de Tirna Scithe,375,2290,0,8,0,1800,1440,1080
A Chaga Necrótica,376,2286,0,8,0,2160,1728,1296
O Outro Lado,377,2291,0,8,0,2580,2064,1548
Salões da Expiação,378,2287,0,8,0,1920,1536,1152
Empéstia,379,2289,0,8,0,2280,1824,1368
Profundezas Sanguinárias,380,2284,0,8,0,2460,1968,1476
Torres da Ascensão,381,2285,0,8,0,2340,1872,1404
Teatro da Dor,382,2293,0,8,0,2280,1824,1368
Tazavesh: Ruas das Maravilhas,391,2441,0,8,0,2340,1872,1404
Tazavesh: Gambito de So'leah,392,2441,0,8,0,1800,1440,1080
Poços da Vida Rubi,399,2521,0,9,0,1800,1440,1080
A Ofensiva Nokhid,400,2516,0,9,0,2400,1920,1440
Câmara Lazúli,401,2515,0,9,0,2040,1632,1224
Academia Algeth'ar,402,2526,0,9,0,1920,1536,1152
Uldaman: Legado de Tyr,403,2451,0,9,0,0,0,0
Neltharus,404,2519,0,9,0,0,0,0
Clareira de Courambaia,405,2520,0,9,0,0,0,0
Salões da Infusão,406,2527,0,9,0,0,0,0
