ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
1,,50,0,0,0,0
2,Garantia de Aceleração,1,2915,1,0,0
4,,3,2922,0,0,0
5,Garantia de Acerto Crítico,6,2927,1,0,0
6,Garantia de Versatilidade,7,2928,1,0,0
7,Garantia de Maestria,5,2929,1,0,0
8,Define Nvl de Item em 117 e Nvl Requerido em 55.,29,3203,0,0,0
9,Define Nvl de Item em 168 e Nvl Requerido em 60.,46,3210,0,0,0
10,Define Nvl de Item em 180 e Nvl Requerido em 60.,8,3210,0,0,0
11,Define Nvl de Item em 200.,8,3211,0,0,0
17,Frascos duram mais,44,2939,0,0,0
27,Bem Alimentado dura mais,11,3000,0,0,0
30,Causa dano de Fogo ao inimigo,17,3070,0,0,0
32,Define Nvl de Item em 29 e Nvl Requerido em 15.,18,3204,0,0,0
34,Define Nvl de Item em 65 e Nvl Requerido em 25.,30,3205,0,0,0
36,Define Nvl de Item em 94 e Nvl Requerido em 35.,31,3206,0,0,0
38,Define Nível de Item em 127 e o Nível Requerido em 45.,32,3207,0,0,0
39,Define Nível de Item em 163 e o Nível Requerido em 55.,33,3208,0,0,0
58,Reduz o dano de queda,41,3147,0,0,0
59,Aumenta um pouco a velocidade de movimento,42,3148,0,0,0
61,Aumenta a velocidade de nado,40,3152,0,0,0
62,Causa dano de Gelo a um inimigo,17,3153,0,0,0
64,Mantém efeitos de Bem Alimentado quando morto em Arenas e Campos de Batalha,38,3175,0,0,0
65,Chance de receber nível extra de perícia ao criar,39,3176,0,0,0
66,Adiciona um engaste,35,3177,0,0,0
67,@spelldesc332950,11,169,0,0,0
68,Completar Missões Mundiais aumenta o Atributo Primário,37,3178,0,0,0
70,Define Nvl de Item em 129 e Nvl Requerido em 53.,29,3203,0,0,0
71,Define Nvl de Item em 200 e Nvl Requerido em 60.,51,3211,0,0,0
72,Define Nvl de Item em 165 e Nvl Requerido em 57.,29,3209,0,0,0
73,Define Nvl de Item em 165.,29,3210,0,0,0
74,Define Nvl de Item em 54 e Nvl Requerido em 47.,45,3208,0,0,0
75,Define Nvl de Item em 56 e Nvl Requerido em 45.,32,3207,0,0,0
76,Define Nvl de Item em 43 e Nvl Requerido em 35.,31,3206,0,0,0
77,Define Nvl de Item em 33 e Nvl Requerido em 25.,30,3205,0,0,0
78,Define Nvl de Item em 23 e Nvl Requerido em 15.,18,3204,0,0,0
79,Define Nvl de Item em 87 e Nvl Requerido em 50.,45,3265,0,0,0
80,Aumenta o nível de item no equivalente a 2 níveis.,50,0,0,0,2
81,"Define Nvl de Item em 230, Nvl Requerido em 60, adiciona Único Equipado: Criado nas Terras Sombrias.",52,3323,0,0,0
82,Define Nível de Item em 233 e Nvl Requerido em 60.,53,3444,0,0,0
83,"Define Nvl de Item em 262, Nvl Requerido em 60, adiciona Único Equipado: Criado nas Terras Sombrias.",54,3445,0,0,0
84,Aumenta o nível de item no equivalente a 3 níveis.,55,0,0,0,3
85,"Suas habilidades têm chance de criar um Núcleo de Automa perto do alvo, causando dano e concedendo cura.",56,3448,0,0,0
86,"Aumenta a Evasão. Ao receber dano, você tem chance de curar pontos de vida.",56,3449,0,0,0
87,Você tem chance de obter recursos adicionais ao matar um inimigo que conceda experiência ou honra.,56,3450,0,0,0
88,Suas habilidades têm chance de criar um grânulo próximo. Colete-o para ganhar seu atributo primário por 15 s.,56,3451,0,0,0
89,Aumenta a velocidade de movimento e a velocidade de montaria terrestre nas Terras Sombrias.,56,3452,0,0,0
90,"Receber dano gera fagulhas de poder. Ao chegar a 5 aplicações, o próximo atacante sofre um choque e recebe dano Cósmico.",56,3453,0,0,0
91,"Ao matar um inimigo, seu maior atributo secundário aumenta por 20 s, acumulando até 5 vezes.",56,3454,0,0,0
92,"Aumenta em 50% a duração de efeitos de Frasco, Elixir e Bem Alimentado.",56,3455,0,0,0
93,Define Nível de Item em 400 e o Nível Requerido em 70.,84,3510,0,0,0
94,,59,0,0,0,0
95,,60,0,0,0,0
96,,61,0,0,0,0
97,,62,0,0,0,0
98,,63,0,0,0,0
99,,64,0,0,0,0
100,,65,0,0,0,0
101,Set base ilevel to 51 (DNT),66,3137,0,0,0
102,Set base ilevel to 60 (DNT),67,3146,0,0,0
103,No Effect on this test finishing reagent (DNT),68,0,0,0,0
104,No Effect on this test finishing reagent (DNT),69,0,0,0,0
105,Enfeite sua armadura com esporões grossos e adicione Único-equipado: Adornado (2).,87,3600,0,0,0
