ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,[m]Furioso[f]Furiosa,[f]Lágrima,Repouso,2
2,[m]Quente[f]Quente,[m]Deserto,Ilha,2
3,[m]Férreo[f]Férrea,[f]Tumba,Abismo,2
4,[m]Profundo[f]Profunda,[f]Poça,Colina,2
5,[m]Escuro[f]Escura,[f]Draga,Desfiladeiro,2
6,[m]Pétreo[f]Pétrea,[f]Chama,Ravina,2
19,[m]Alegre[f]Alegre,[m]Córrego,Vale,1
55,[m]Enganoso[f]Enganosa,[m]Teste,Terra,4
61,[m]Sonolento[f]Sonolenta,[m]Lar,Vinhedo,1
62,[m]Sagrado[f]Sagrada],[m]Leão,Ilha,1
63,[m]Azul[f]Azul,[f]Onda,Ilhota,1
64,[m]Fresco[f]Fresca,[f]Bruma,Porto,1
65,[m]Silencioso[f]Silenciosa,[m]Vento,Refúgio,1
66,[m]Dourado[f]Dourada,[f]Luz,Santuário,1
67,[m]Plácido[f]Plácida,[m]Oceano,Ponto,1
68,[m]Grande[f]Grande,[m]Mar,Repouso,1
69,[m]Fatigado[f]Fatigada,[f]Vela,Aldeia,1
70,[m]Salino[f]Salina,[f]Colheita,Colina,1
71,[m]Primordial[f]Primordial,[f]Bandeira,Pouso,1
72,[m]Esmeralda[f]Esmeralda,[f]Bênção,Enclave,1
73,[m]Antigo[f]Antiga,[m]Carvalho,Ancoradouro,1
74,[m]Recente[f]Recente,[f]Jornada,Posto,1
75,[m]Lúgubre[f]Lúgubre,[f]Penumbra,Vilarejo,1
76,[m]Prometido[f]Prometida,[f]Âncora,Porto,1
77,[m]Límpido[f]Límpida,[m]Céu,Condado,1
78,[m]Alvo[f]Alva,[f]Areia,Orla,1
81,[m]Árido[f]Árida,[f]Floração,Baía,2
82,[m]Místico[f]Mística,[f]Montanha,Ilhota,2
83,[m]Calcinado[f]Calcinada,[f]Areia,Refúgio,2
84,[m]Brilhante[f]Brilhante,[m]Sol,Bastião,2
86,[m]Rachado[f]Rachada,[f]Rocha,Pináculo,2
87,[m]Vermelho[f]Vermelha,[m]Javali,Serra,2
88,[m]Alto[f]Alta,[m]Verão,Jardim,2
89,[m]Térreo[f]Térrea,[f]Espinha,Cornucópia,2
90,[m]Ligeiro[f]Ligeira,[m]Peregrino,Tugúrio,2
91,[m]Livre[f]Livre,[f]Fortuna,Comuna,2
92,[m]Friável[f]Friável,[f]Presa,Oásis,2
93,[m]Pesaroso[f]Pesarosa,[m]Exílio,Penhasco,2
94,[m]Agudo[f]Aguda,[m]Cascalho,Assentamento,2
