ID,SortName_lang,UiOrderIndex,Flags
1,Épico,0,0
21,Noturnália,0,0
22,Sazonal,0,0
23,Cataclismo,0,0
24,Herborismo,0,0
25,Campos de batalha,0,0
41,Dia dos Mortos,0,0
61,Bruxo,0,0
81,Guerreiro,0,0
82,Xamã,0,0
101,Pesca,0,0
121,Ferraria,0,0
141,Paladino,0,0
161,Mago,0,0
162,Ladino,0,0
181,Alquimia,0,0
182,Couraria,0,0
201,Engenharia,0,0
221,Mapa do Tesouro,0,0
241,Torneio,3,0
261,Caçador,0,0
262,Sacerdote,0,0
263,Druida,0,0
264,Alfaiataria,0,0
284,Especial,0,0
304,Culinária,0,0
324,Primeiros Socorros,0,0
344,Lendário,0,1
364,Feira de Negraluna,0,0
365,Guerra de Ahn'Qiraj,0,0
366,Festival da Lua,0,0
367,Reputação,0,0
368,Invasão,0,0
369,Solstício,0,0
370,CervaFest,0,0
371,Escrivania,0,0
372,Cavaleiro da Morte,0,0
373,Joalheria,0,0
374,Jardinova,0,0
375,Festa da Fartura,0,0
376,O Amor Está no Ar,0,0
377,Arqueologia,0,0
378,Semana das Crianças,0,0
379,Invasão às Terras do Fogo,0,0
380,Os Zandalari,0,0
381,Prisão Elemental,0,0
391,Mestres Cervejeiros Pandaren,0,0
392,Cenário,0,0
394,Mascotes de Batalha,2,0
395,Monge,0,0
396,Desembarque,0,0
397,Campanha Pandarênica,0,0
398,Montaria,0,0
399,Guilda dos Brigões,0,0
400,Campo de Testes,0,0
401,Campanha da Guarnição,0,0
402,Ataque ao Portal Negro,0,0
403,Suporte à Guarnição,0,0
404,Registro,0,0
405,Batedor de Carteira,0,0
406,Artefato,0,0
407,Caçador de Demônios,0,0
408,Mineração,0,0
409,Evento de Fim de Semana,0,0
410,Encantamento,0,0
411,Esfolamento,0,0
412,Missão Mundial,0,0
413,Campanha de Cavaleiro da Morte,0,0
416,Campanha de Caçador de Demônios,0,0
417,Campanha de Druida,0,0
418,Campanha de Caçador,0,0
419,Campanha de Monge,0,0
420,Campanha de Mago,0,0
421,Campanha de Sacerdote,0,0
422,Campanha de Paladino,0,0
423,Campanha de Xamã,0,0
424,Campanha de Ladino,0,0
425,Campanha de Bruxo,0,0
426,Campanha de Guerreiro,0,0
427,Salão da Ordem,0,0
