ID,Name_lang,AreaTableID,Type,Flags,UiTextureKitID
15,Ungá Ingô,0,0,0,0
39,Cripta dos Reis Esquecidos,0,0,0,0
40,Aldeia Rocha Verde,0,0,0,0
44,Templo da Serpente de Jade,0,1,18,0
45,Cervejaria Malte do Trovão,0,1,1,0
46,Monastério Shado-Pan,0,1,1,0
48,Portal do Sol Poente,0,1,1,0
49,Cerco ao Templo Niuzao,0,1,1,0
50,Palácio Mogu'shan,0,1,1,0
51,Scolomântia,0,1,1,0
52,Salões Escarlates,0,1,1,0
53,Monastério Escarlate,0,1,1,0
58,Arena da Aniquilação,0,0,0,0
63,Festival da Cerveja da Lua,0,0,0,0
65,Tempestade Cervejeira,0,0,0,0
68,Templo de Kotmogu,0,0,0,0
70,Queda de Theramore,0,0,0,0
71,Queda de Theramore,0,0,0,0
72,Queda de Theramore,0,0,0,0
179,Adaga no Escuro,0,0,0,0
180,Ilha Diamante,0,0,0,0
181,Ataque a Zan'Vess,0,0,0,0
182,Batalha em Alto Mar,0,0,0,0
183,Um Pouco de Paciência,0,0,0,0
184,Ancoradouro do Leão,0,0,0,0
187,Ponto de Dominação,0,0,0,0
200,Em Busca da Colheita Negra,0,0,0,0
201,Ponto de Dominação,0,0,0,0
203,Ataque a Zan'Vess,0,0,0,0
204,Derrubem a Muralha!,0,0,0,0
205,Ancoradouro do Mar Revolto,0,0,0,0
206,Ataque a Zeb'tula,0,0,0,0
207,Para os Céus!,0,0,0,0
208,A Queda de Shan Bu,0,0,0,0
209,Derrubem a Muralha!,0,0,0,0
210,Sangue na Neve,0,0,0,0
211,A Forja do Trovão,0,0,0,0
212,Ataque a Shaol'mara,0,0,0,0
215,Tesouros do Rei Trovão,0,0,0,0
216,Coração Sombrio de Pandária,0,0,0,0
219,Os Segredos das Cavernas Ígneas,0,0,0,0
237,Campo de Testes: Escolha uma Provação,0,0,2,0
239,Batalha em Alto Mar,0,0,0,0
247,Scenario Template,0,0,0,0
248,Campo de Testes,0,0,2,0
254,Protótipo de Cenário,0,0,2,0
256,Morte do Boi,0,0,0,0
257,Torneio Celestial,0,0,0,0
269,Encontrando o Ingrediente Secreto,0,0,0,0
275,O Expurgo de Grommar,0,0,0,0
278,Hora do Macarrão,0,0,0,0
294,Urzal dos Tuscos,0,0,0,0
318,As Minas de Draenor,0,0,0,0
320,Final de Gorgrond,0,0,0,0
322,Enseada de Dawson,0,0,0,0
323,Cenário da Cidade de Ossos,0,0,0,0
324,A Batalha do Passo do Trovão,0,0,0,0
329,Pico da Rocha Negra Superior,0,3,26,0
331,A Batalha por Shattrath,0,0,0,0
333,Profundezas Negras,0,3,10,0
423,Beira-céu,0,1,1,0
425,Minas de Escória do Malho Sangrento,0,1,1,0
426,Docas de Ferro,0,1,18,0
427,Auchindoun,0,1,1,0
428,Sepulcrário da Lua Negra,0,1,18,0
429,Central do Carrilcruel,0,1,19,0
430,Floretérnia,0,1,18,0
432,Pico da Rocha Negra Superior,0,1,1,0
449,Defesa de Karabor,0,0,0,0
450,Destino de Karabor,0,0,0,0
499,Lá vem barulho,0,0,0,0
508,A Força da Aliança,0,0,0,0
509,A Força da Horda,0,0,0,0
510,O Cárcere,0,3,10,0
511,Cavernas Ígneas,0,3,10,0
515,Caverna Ululante,0,3,10,0
516,Bastilha da Presa Negra,0,3,10,0
523,Bastilha da Presa Negra,0,3,10,0
524,Cerco ao Templo Niuzao,0,3,10,0
525,Cerco ao Templo Niuzao,0,3,10,0
526,Portal do Sol Poente,0,3,10,0
527,Portal do Sol Poente,0,3,10,0
528,Palácio Mogu'shan,0,3,10,0
531,Monastério Shado-pan,0,3,10,0
535,Monastério Shado-pan,0,3,10,0
536,Palácio Mogu'shan,0,3,10,0
537,Cervejaria Malte do Trovão,0,3,10,0
538,Cervejaria Malte do Trovão,0,3,10,0
539,Templo da Serpente de Jade,0,3,10,0
540,Templo da Serpente de Jade,0,3,10,0
542,Caverna Rocha Negra,0,3,10,0
545,Caverna Rocha Negra,0,3,10,0
547,Fim dos Tempos,0,3,10,0
548,Trono das Marés,0,3,10,0
550,Trono das Marés,0,3,10,0
551,Pináculo do Vórtice,0,3,10,0
552,Pináculo do Vórtice,0,3,10,0
553,Grim Batol,0,3,10,0
554,Grim Batol,0,3,10,0
555,Cidade Perdida dos Tol'vir,0,3,10,0
556,Zul'Gurub,0,3,10,0
557,Cidade Perdida dos Tol'vir,0,3,10,0
558,Salões Primordiais,0,3,10,0
565,Salões Primordiais,0,3,10,0
566,Forja das Almas,0,3,10,0
567,Nascente da Eternidade,0,3,10,0
568,Forja das Almas,0,3,10,0
569,Fosso de Saron,0,3,10,0
570,Hora do Crepúsculo,0,3,10,0
571,Fosso de Saron,0,3,10,0
572,Salões da Reflexão,0,3,10,0
573,Salões da Reflexão,0,3,10,0
574,Zul'Aman,0,3,10,0
575,Óculus,0,3,10,0
576,Óculus,0,3,10,0
577,Pináculo Utgarde,0,3,10,0
579,Pináculo Utgarde,0,3,10,0
580,Salões Relampejantes,0,3,10,0
581,Salões Relampejantes,0,3,10,0
582,Salões Rochosos,0,3,10,0
583,Expurgo de Stratholme,0,3,10,0
584,Salões Rochosos,0,3,10,0
585,Expurgo de Stratholme,0,3,10,0
586,Gundrak,0,3,10,0
587,Gundrak,0,3,10,0
588,Castelo Violeta,0,3,10,0
589,Castelo Violeta,0,3,10,0
590,Bastilha Drak'Tharon,0,3,10,0
591,Bastilha Drak'Tharon,0,3,10,0
592,Ahn'kahet: O Velho Reino,0,3,10,0
593,Ahn'kahet: O Velho Reino,0,3,10,0
594,Azjol-Nerub,0,3,10,0
595,Azjol-Nerub,0,3,10,0
596,Bastilha Utgarde,0,3,10,0
597,Bastilha Utgarde,0,3,10,0
598,Nexus,0,3,10,0
599,Nexus,0,3,10,0
605,Nexus,0,3,10,0
606,Labirinto Soturno,0,3,10,0
607,Salões Despedaçados,0,3,10,0
608,Salões Despedaçados,0,3,10,0
609,Labirinto Soturno,0,3,10,0
610,Lamaçal Negro,0,3,10,0
611,Lamaçal Negro,0,3,10,0
612,Jardim Botânico,0,3,10,0
613,Jardim Botânico,0,3,10,0
614,Mecanar,0,3,10,0
615,Mecanar,0,3,10,0
616,Terraço dos Magísteres,0,3,10,0
617,Terraço dos Magísteres,0,3,10,0
618,Câmara dos Vapores,0,3,10,0
619,Câmara dos Vapores,0,3,10,0
620,Arcatraz,0,3,10,0
621,Arcatraz,0,3,10,0
622,Salões dos Sethekk,0,3,10,0
623,Salões dos Sethekk,0,3,10,0
624,Antigo Contraforte de Eira dos Montes,0,3,10,0
625,Antigo Contraforte de Eira dos Montes,0,3,10,0
626,Catacumbas Auchenai,0,3,10,0
