String_lang,ID,Flags
"Requer a conquista ""Um Aliado Lazúli"".",740,1
"Requer a conquista ""Ajudante do Penhasco"".",741,1
"Requer a conquista ""Juntos nos Céus"".",742,1
"Requer a conquista ""Um Novo Amigo"".",743,1
|cff808080Este talento é concedido à sua especialização de graça e não pode ser desaprendido|r,910,1
Gaste mais %d |4ponto:pontos; para desbloquear este talento,911,1
Classic,953,1
Terralém,954,1
Nortúndria,955,1
Cataclysm,956,1
Pandária,957,1
Draenor,958,1
Legion,959,1
Kul Tiraz,960,1
Shadowlands,961,1
Ilhas do Dragão,962,1
Zandalari,963,1
