ID,Name_lang
1,Word of Recall (OLD)
3,Word of Mass Recall (OLD)
4,Word of Recall Other
5,Death Touch
7,Suicídio
11,Seta de Gelo das Eras
13,Swim Speed (TEST)
14,Drenar Mana
17,Palavra de Poder: Escudo
24,Major Heal Self (TEST)
25,Atordoar
26,Bind Self (TEST)
27,Portal de Vila d'Ouro
31,Teleportar para Vila d'Ouro
33,Teleportar para Cerro Oeste
34,Teleportar para Floresta do Crepúsculo
35,Teleportar para Elwynn
45,Pisada de Guerra
53,Punhalada pelas Costas
56,Atordoar
59,Normal bow shot (TEST)
65,Aceleração
66,Invisibilidade
71,Vanguarda
75,Tiro Automático
77,Casco de Tartaruga
81,Esquivar
96,Desmembrar
99,Rugido Incapacitante
100,Investida
101,Tropeço
107,Bloqueio
108,Evade (DND)
110,Critter Tracking (INTERNAL)
111,Passo Temporal
112,Reflect Magic (TEST)
113,Correntes de Gelo
116,Seta de Gelo
118,Polimorfia
120,Cone de Frio
122,Nova Congelante
126,Olho de Kilrogg
130,Queda Lenta
133,Bola de Fogo
134,Escudo de Fogo
136,Curar Ajudante
139,Renovar
172,Corrupção
184,Escudo de Fogo
196,One-Handed Axes
197,Two-Handed Axes
198,One-Handed Maces
199,Two-Handed Maces
200,Polearms
201,One-Handed Swords
202,Two-Handed Swords
203,Unarmed
204,Defense
227,Staves
228,Polimorfia: Galinha
246,Retardar
261,Summon Skeleton
264,Bows
265,Area Death (TEST)
266,Guns
269,Caminho de Fogo Gatilho (DNC)
339,Raízes Enredantes
348,Imolação
355,Provocar
370,Expurgar
379,Escudo da Terra
408,Golpe no Rim
427,Teleportar para o Monastério
428,Teleportar para Arroio da Lua
430,Bebida
431,Bebida
432,Bebida
433,Comida
434,Comida
435,Comida
436,Restaurar Mana
437,Restaurar Mana
438,Restaurar Mana
439,Poção de Cura
440,Poção de Cura
441,Poção de Cura
442,Teleportar para Abadia de Vila Norte
443,Teleportar para o Quartel
444,Teleportar para o Farol
445,Teleportar para Vila Sombria
446,Teleportar para o Cemitério
447,Teleportar Arvoroso
453,Reconforto Mental
458,Cavalo Castanho
459,Lobo Cinza
465,Aura de Devoção
467,Espinhos
468,Garanhão Branco
470,Garanhão Preto
471,Baio
472,Cavalo Tobiano
475,Remover Maldição
483,Aprendendo
498,Proteção Divina
512,Correntes de Gelo
514,Scott Test
518,Evocar Verme
522,SPELLDEFENSE (DND)
527,Purificar
528,Dissipar Magia
530,Encantar (Possuir)
546,Andar sobre a Água
550,Anular Veneno
556,Revocação Astral
568,Estouro Arcano
578,Lobo Preto
579,Lobo Vermelho
580,Lobo Silvestre
581,Lobo Invernal
585,Punição
586,Desvanecer
589,Palavra Sombria: Dor
596,Prece de Cura
603,Ruína
605,Controle Mental
606,Putrefação da Mente
633,Impor as Mãos
642,Escudo Divino
668,Língua Comum
669,Língua Órquica
670,Língua Taurahe
671,Língua Darnassiana
672,Língua Enânica
673,Defesa Menor
674,Empunhar Duas Armas
686,Seta Sombria
688,Evocar Diabrete
691,Evocar Caçador Vil
697,Evocar Emissário do Caos
698,Ritual de Evocação
700,Sono
