ID,Name_lang,OptionEnum,TransmogOutfitSlotInfoID,Flags,OtherSlot,ItemCostMultiplier,IllusionCostMultiplier
1,Arma de Uma Só Mão,1,13,0,0,3,0
2,Arma de Uma Só Mão,1,14,0,0,3,0
3,Adaga,6,13,0,0,3,0
4,Adaga,6,14,0,0,3,0
5,Arma de Duas Mãos,2,13,4,0,6,0
6,Arma de Duas Mãos (Fúria),7,14,0,0,3,0
7,Arma de Longo Alcance,3,13,5,0,3,0
8,Escudo,5,14,1,0,3,0
9,Mão Secundária,4,14,1,0,3,0
10,Arma de Duas Mãos (Fúria),7,13,0,0,3,0
11,,8,13,2,15,6,0
12,,9,13,2,16,6,0
13,,10,13,2,17,6,0
14,,11,13,2,18,6,0
15,,8,14,2,11,0,0
16,,9,14,2,12,0,0
17,,10,14,2,13,0,0
18,,11,14,2,14,0,0
