ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,Desenvolvimento,0,0,0,0,-127
2,Estados Unidos,0,1,1,0,0
3,Oceania,0,1,1,0,0
4,América Latina,0,1,1,0,0
5,Torneio,0,1,1,1,50
6,Coreia,0,10,10,0,0
7,Torneio,0,10,10,1,50
8,Inglês,3277,1,1,0,0
9,Alemão,3277,1,1,0,0
10,Francês,3277,1,1,0,0
11,Espanhol,3277,1,1,0,0
12,Russo,256,4,4,0,0
13,Torneio,0,1,1,1,50
14,Taiwan,0,17,17,0,-127
15,Torneio,0,17,17,1,50
16,China,0,17,17,0,0
17,CN1,0,17,17,0,0
18,CN2,0,17,17,0,0
19,CN3,0,17,17,0,0
20,CN4,0,17,17,0,0
21,CN5,0,17,17,0,0
22,CN6,0,17,17,0,0
23,CN7,0,17,17,0,0
24,CN8,0,17,17,0,0
25,Torneio,0,17,17,1,50
26,Servidor de Teste,0,0,0,0,0
27,Torneio,0,0,0,1,50
28,Servidor de QA,0,0,0,0,0
29,CN10,0,17,17,0,0
30,Servidor de Teste 2,0,0,0,0,0
31,CN11,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,Torneio Russo,256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,Brasil,0,1,1,0,0
50,Italiano,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,Recommended Realm,0,17,17,0,0
56,Test,0,1,1,0,80
58,Future Test,0,1,1,0,80
159,Teste Regional,0,0,0,0,80
160,Clássico,0,0,0,0,0
161,Classic,0,0,0,0,0
162,EUA - Oeste,0,1,1,0,-50
163,EUA - Leste,0,1,1,0,-49
164,Automation,0,0,0,0,0
165,Teste da Era,0,0,0,0,0
166,Era Classic,0,1,1,0,0
167,Era Classic,3277,1,1,0,0
168,Era Classic,0,10,10,0,0
169,Era Classic,0,17,17,0,0
170,Era Classic,0,17,17,0,0
171,Sazonal,0,1,1,0,-127
172,Sazonal,3277,1,1,0,-127
173,Sazonal,0,10,10,0,-127
174,Sazonal,0,17,17,0,-127
175,Sazonal,0,17,17,0,-127
179,Teste de Cópia,0,17,17,0,-127
180,Global,0,17,17,0,0
181,Hardcore,0,0,0,0,0
182,Sazonal,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,Dev 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,Beta,0,0,0,0,0
187,NetEase Test,0,17,17,0,0
188,Return To Northrend,0,1,1,2,0
189,Progressão,0,1,1,0,0
190,Progressão,3277,1,1,0,0
191,Progressão,0,10,10,0,0
192,Progressão,0,17,17,0,0
193,Progressão,0,17,17,0,0
194,Aniversário,0,1,1,0,-127
195,Aniversário,0,10,10,0,-127
196,Aniversário,3277,1,1,0,-127
197,Aniversário,0,17,17,0,-127
198,Aniversário,0,17,17,0,-127
199,Era Classic,0,17,17,0,0
201,Era Classic,0,0,0,0,0
202,Aniversário,0,0,0,0,0
