ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,"Logo, logo chegará uma remessa de peixes deliciosos!",51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Gera um carregamento de Catalisadores Alquímicos.

Você pode acompanhar o progresso dos carregamentos no Relatório da Guarnição.

Quando a estrutura estiver no Nível 2 ou acima, é possível designar um seguidor da prancheta para aumentar a produção.",Catalisador Alquímico,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Gera um carregamento de carne, couro ou pelego, dependendo da criatura capturada.

Se a estrutura estiver no Nível 2 ou acima, é possível designar um seguidor da prancheta para aumentar sua produção.",Carregamento dos Celeiros,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Gera um carregamento de Recursos da Guarnição com lenha coletada em Draenor.

É possível consultar o andamento dos carregamentos no Relatório da Guarnição.

Volte para coletar os itens quando eles estiverem prontos.",Carregamento da Serraria,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Gera um carregamento de Tramandinga.

Você pode acompanhar o progresso dos carregamentos no Relatório da Guarnição.

Quando a estrutura estiver no Nível 2 ou acima, é possível designar um seguidor da prancheta para aumentar a produção.",Tecido Tramandinga,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Gera um carregamento de Lingotes de Vero-aço.

Você pode acompanhar o progresso dos carregamentos no Relatório da Guarnição.

Quando a estrutura estiver no Nível 2 ou acima, é possível designar um seguidor da prancheta para aumentar a produção.",Lingote de Vero-aço,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Gera um carregamento de Couro Lustrado.

Você pode acompanhar o progresso dos carregamentos no Relatório da Guarnição.

Quando a estrutura estiver no Nível 2 ou acima, é possível designar um seguidor da prancheta para aumentar a produção.",Couro Lustrado,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Gera um carregamento de Cristal de Taladita.

Você pode acompanhar o progresso dos carregamentos no Relatório da Guarnição.

Quando a estrutura estiver no Nível 2 ou acima, é possível designar um seguidor da prancheta para aumentar a produção.",Cristal de Taladita,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
