ID,ZoneName_lang,AlteredFormCustomizeOffset[0],AlteredFormCustomizeOffset[1],AlteredFormCustomizeOffset[2],ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModel_9_0_1_35522_001Override_Female[0],ChrModel_9_0_1_35522_001Override_Female[1],ChrModel_9_0_1_35522_001Override_Female[2],ChrClassesID,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs,ChrRacesID
0,Vale de Vila Norte,0,0,0,0,0,0,0,0,0,8,12427,0,0,0,0,0,0,0,0,0,1
1,Vale de Vila Norte,0,0,0,0,0,0,0,0,0,9,12427,0,0,0,0,0,0,0,0,0,1
2,Umbravale,0,0,0,0,0,0,0,0,0,3,12433,0,0,0,0,133508,0,0,0,0,4
3,Chapada Nuvem Vermelha,0,0,0,0,0,0,0,0,0,3,12436,0,0,0,0,133570,0,0,0,0,6
4,Chapada Nuvem Vermelha,0,0,0,0,0,0,0,0,0,7,12436,0,0,0,0,0,132530,0,0,0,6
5,Vale Ammen,0,0,0,0,0,0,0,0,0,1,12417,0,0,0,0,0,0,0,0,0,11
6,Vale Ammen,0,0,0,0,0,0,0,0,0,3,12417,131761,132614,0,0,133584,0,0,0,0,11
7,Ilha Andassol,0,0,0,0,0,0,0,0,0,5,12422,0,0,0,0,0,134410,0,0,0,10
8,Ilha Andassol,0,0,0,0,0,0,0,0,0,4,12422,0,133196,0,0,0,0,0,0,0,10
9,Ilha Andassol,0,0,0,0,0,0,0,0,0,8,12422,0,0,134112,0,0,0,0,0,0,10
10,Ilha Andassol,0,0,0,0,0,0,0,0,0,9,12422,0,0,0,0,0,0,0,0,0,10
11,Vale Ammen,0,0,0,0,0,0,0,0,0,2,12417,0,0,0,0,0,0,0,0,0,11
12,Ilha Andassol,0,0,0,0,0,0,0,0,0,2,12422,135104,135107,128833,132580,0,0,0,0,0,10
13,Vale Ammen,0,0,0,0,0,0,0,0,0,5,12417,0,0,0,0,0,0,0,0,0,11
14,Vale Ammen,0,0,0,0,0,0,0,0,0,7,12417,0,0,0,0,0,132521,0,0,0,11
15,Ilhas do Eco,0,0,0,0,0,0,0,0,0,7,12437,0,0,0,0,0,132520,0,0,0,8
16,Plangemortis,0,0,0,0,0,0,0,0,0,4,12438,0,133196,0,0,0,0,0,0,0,5
17,Umbravale,0,0,0,0,0,0,0,0,0,1,12433,0,0,0,0,0,0,0,0,0,4
18,Vale das Provações,0,0,0,0,0,0,0,0,0,9,12434,0,0,0,0,0,0,0,0,0,2
19,Vale das Provações,0,0,0,0,0,0,0,0,0,3,12434,0,0,0,0,133516,0,0,0,0,2
20,Vale Ammen,0,0,0,0,0,0,0,0,0,8,12417,0,0,0,0,0,0,0,0,0,11
21,Gnomeregan,0,0,0,0,0,0,0,0,0,4,12424,0,0,0,0,0,0,0,0,0,7
22,Gnomeregan,0,0,0,0,0,0,0,0,0,8,12424,0,0,0,0,0,0,0,0,0,7
23,Gnomeregan,0,0,0,0,0,0,0,0,0,9,12424,0,0,0,0,0,0,0,0,0,7
24,Ilhas do Eco,0,0,0,0,0,0,0,0,0,5,12437,0,0,0,0,0,134410,0,0,0,8
25,Vale Ammen,0,0,0,0,0,0,0,0,0,10,12417,0,0,0,0,0,0,0,0,0,11
26,Vale Cristálgida,0,0,0,0,0,0,0,0,0,10,12423,0,0,0,0,0,0,0,0,0,3
27,Vale de Vila Norte,0,0,0,0,0,0,0,0,0,10,12427,0,0,0,0,0,0,0,0,0,1
28,Chapada Nuvem Vermelha,0,0,0,0,0,0,0,0,0,1,12436,0,0,0,0,0,0,0,0,0,6
29,Vale Cristálgida,0,0,0,0,0,0,0,0,0,2,12423,0,0,0,0,0,0,0,0,0,3
30,Vale das Provações,0,0,0,0,0,0,0,0,0,7,12434,0,0,0,0,0,132918,0,0,0,2
31,Vale Cristálgida,0,0,0,0,0,0,0,0,0,3,12423,131761,132614,0,0,133506,0,0,0,0,3
32,Plangemortis,0,0,0,0,0,0,0,0,0,8,12438,0,0,0,0,0,0,0,0,0,5
33,Ilhas do Eco,0,0,0,0,0,0,0,0,0,3,12437,0,0,0,0,133572,0,0,0,0,8
34,Plangemortis,0,0,0,0,0,0,0,0,0,9,12438,0,0,0,0,0,0,0,0,0,5
35,Umbravale,0,0,0,0,0,0,0,0,0,4,12433,0,0,0,0,0,0,0,0,0,4
36,Vale Cristálgida,0,0,0,0,0,0,0,0,0,8,12423,0,0,0,0,0,0,0,0,0,3
37,Áquerus: A Fortaleza de Ébano,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,1
38,Áquerus: A Fortaleza de Ébano,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,2
39,Áquerus: A Fortaleza de Ébano,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,3
40,Áquerus: A Fortaleza de Ébano,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,4
41,Áquerus: A Fortaleza de Ébano,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,5
42,Áquerus: A Fortaleza de Ébano,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,8
