ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,Geral - %s,Geral,1572875,0,0
2,Comércio - %s,Comércio,1048635,0,0
22,DefesaLocal - %s,DefesaLocal,1114123,0,0
26,ProcurandoGrupo,ProcurandoGrupo,262152,0,0
27,CanalMundialPéGrande,CanalMundialPéGrande,8,0,0
28,PedraDeEncontro,PedraDeEncontro,8,0,0
32,Bate-papo de Novatos,Bate-papo de Novatos,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,DiscussãoBetaShadowlands,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,DiscussãoRTPShadowlands,2097160,0,2
35,War Within Test Discussion,DiscussãoTesteWarWithin,6291465,0,0
36,Tempo de Crona: Cataclysm,Tempo de Crona,2097160,0,2
37,Tempo de Crona: Burning Crusade,Tempo de Crona,2097160,0,2
38,Tempo de Crona: Wrath of the Lich King,Tempo de Crona,2097160,0,2
39,Tempo de Crona: Mists of Pandaria,Tempo de Crona,2097160,0,2
40,Tempo de Crona: Warlords of Draenor,Tempo de Crona,2097160,0,2
41,Tempo de Crona: Legião,Tempo de Crona,2097160,0,2
42,Comércio (Serviços) - %s,Serviços,34603067,0,0
