ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Corpo,11987,11986,4,20,3,0,0
2,Rosto,11991,11990,1,100,2,0,0
3,Acessórios,11985,11984,3,100,2,0,0
4,Cabelo,11989,11988,2,100,2,0,0
5,Marcas,11987,11986,5,65,3,0,0
6,Forma de Urso,15730,15730,6,0,1,5,1
7,Forma de Felino,15731,15731,7,0,1,1,0
9,Forma Aquática,15729,15729,10,0,1,4,1
10,Forma de Viagem,15734,15734,11,0,1,3,1
11,Forma Voadora,15732,15732,9,0,1,27,0
12,Forma de Luniscante,15733,15733,8,0,1,31,0
13,Rosto (Morto-vivo),11991,11990,1,80,3,0,0
14,Rosto (Pandaren),11991,11990,1,80,3,0,0
15,Rosto (Orc Mag'har),11991,11990,1,85,3,0,0
16,Rosto (Anão),11991,11990,1,88,2,0,0
17,Acessórios (Anão),11985,11984,3,88,2,0,0
18,Rosto (Tauren),11991,11990,1,100,3,0,0
19,Acessórios (Tauren),11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,Diabrete,24571,24571,40,50,1,0,1
22,Corpo (Dracthyr),11987,11986,1,20,2,0,0
23,Espelho,18308,18307,2,100,2,0,0
24,Armadura 1 (Dracthyr),11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,Corpo (Dragonaria),20126,20127,1,20,3,0,0
28,Corpo 2 (Dragonaria),20128,20129,2,20,3,0,0
29,Cabeça (Dragonaria),20130,20131,3,100,2,0,0
30,Cabeça 2 (Dragonaria),18308,18307,4,100,2,0,0
31,Acessórios (Dracthyr),20130,20131,2,100,2,0,0
32,Rosto (Dracthyr),11991,11990,3,100,2,0,0
33,Espelho (Dracthyr),18308,18307,4,100,2,0,0
34,Acessórios (Orc Mag'har),11985,11984,2,85,3,0,0
37,Caçador Vil,24570,24570,43,50,1,0,1
39,Emissário do Caos,24575,24575,41,40,1,0,1
42,Guarda Vil,24569,24569,44,30,1,0,1.4
43,Demonarca,24684,24684,46,30,1,0,-1.2
44,Sayaad,24574,24574,42,40,1,0,1
45,Infernal,24685,24685,45,30,1,0,1.5
46,Corpo (Luniscante),11987,11986,1,40,3,0,0
47,Clarão Sombrio,26042,26042,47,30,1,0,1
48,Tirano,26043,26043,48,70,1,0,1
50,Gemas,11987,11986,4,30,3,0,0
52,Protodraco Renovado,19958,19958,102,50,1,0,1
53,Velocidraco Pairavento,19959,19959,103,50,1,0,1
54,Dracarisco do Penhasco,19960,19960,104,50,1,0,1
55,Dracoleante Sinuoso,23901,23901,105,50,1,0,1
56,Draco Asa Etérea da Gruta,25100,25100,106,50,1,0,1
57,Cavalgaventos Algariano,25101,25101,107,50,1,0,1
58,Fascinadraco Florescente,25531,25531,108,50,1,0,1
59,Dirigível do Imersor,27697,27697,109,50,1,0,1
60,Aerogoblin do Imersor,28583,28583,110,50,1,0,1
61,Draco do Planalto,19957,19957,101,50,1,0,1
62,Manaplano do Imersor,30736,30736,110,50,1,0,1.3
67,Mascote - Chihuahua,6144,6144,0,0,0,0,0
68,Uíxi,30463,30463,0,0,0,0,0
