Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:Lembranças Perdidas|r|nRecupere lembranças perdidas dos kobolds invasores!,3,122390,51
|cnWHITE_FONT_COLOR:Turba de Kobolds|r|nOs kobolds tomaram o Repouso de Kriegval e precisam ser expulsos!,4,122392,51
|cnWHITE_FONT_COLOR:Dia de Folga de Dagran|r|nDagran Thaurissian II está procurando ajuda para fazer treinamento de campo.,5,122393,51
"|cnWHITE_FONT_COLOR:Velas Engraçadas|r|nEsquico soube que os Sombrafuso deixaram algumas velas engraçadas para trás. Ele veio atrás delas, mas só encontrou o caos!",6,122394,51
|cnWHITE_FONT_COLOR:Ritual das Trevas|r|nA Ordem da Noite vai realizar um ritual para corromper a área!,7,122376,59
|cnWHITE_FONT_COLOR:Ataque de Quíron|r|nGrande Quíron vai começar um ataque ao Santuário do Ocaso e precisa da sua ajuda!,8,122377,59
|cnWHITE_FONT_COLOR:Barulho Sinalizador|r|nTermine o trabalho dos Luminares abatidos e resgate reféns da Ordem da Noite.,9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:Vítimas de Tortura|r|nNerubianos Evoluídos estão torturando prisioneiros no Subforte.,11,122380,60
|cnWHITE_FONT_COLOR:Resgate da Fiandeira|r|nTrês agentes da Fiandeira estão encarcerados no Subforte.,12,122382,60
|cnWHITE_FONT_COLOR:Pesquisa Evoluída|r|nUm pesquisador nerubiano evoluído está realizando experimentos perversos.,13,122384,60
|cnWHITE_FONT_COLOR:Fuga da Evolução|r|nUm experimento no Subforte deu errado e ameaça escapar.,14,122385,60
|cnWHITE_FONT_COLOR:Mineradores Perdidos|r|nResgate um grupo de mineradores terranos capturados por fungorianos.,15,122386,50
|cnWHITE_FONT_COLOR:Espalhando Decomposição|r|nUm mago do Kirin Tor está tentando conter a propagação da decomposição fungoriana.,16,122387,50
|cnWHITE_FONT_COLOR:Competição do Explorador|r|nIntegrantes da Liga dos Exploradores começaram uma competição amistosa no fundo da caverna.,17,122388,50
|cnWHITE_FONT_COLOR:Tremores do Teleportador|r|nAjude um engenheiro loquaz a consertar a rede de teleporte dele.,18,122389,50
|cnWHITE_FONT_COLOR:Porcos Perdidos|r|nOs porcos do fazendeiro sumiram nas cavernas e precisam ser encontrados.,19,122332,58
|cnWHITE_FONT_COLOR:A Grande Caçada ao Tesouro|r|nO Chef Jantaire está organizando uma caça ao tesouro.,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
|cnWHITE_FONT_COLOR:Pedaço de Cogumelo|r|nAliya Montelmo precisa de ajuda para recuperar um cogumelo de um monstro dos mais terríveis.,22,122335,58
|cnWHITE_FONT_COLOR:Engenheiros Capturados|r|nKobolds tomaram a Usina Hidráulica e sequestraram os engenheiros.,23,122395,52
|cnWHITE_FONT_COLOR:Confiança Abalada|r|nAjude uma kobold e um mensageiro mecânico a recuperar tesouros da Usina Hidráulica.,24,122396,52
|cnWHITE_FONT_COLOR:Pisada da Sensatez|r|nOs mensageiros mecânicos precisam de ajuda para testar um dispositivo e recuperar materiais roubados.,25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
|cnWHITE_FONT_COLOR:Resgate Ilusório|r|nResgate os Arathi sequestrados pelos kobyss.,27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
|cnWHITE_FONT_COLOR:Gambito de Raen|r|nRaen Cavalvorada está procurando ajuda para recuperar relíquias roubadas pelos kobyss.,29,122402,53
|cnWHITE_FONT_COLOR:Terror Vigilante|r|nOs kobyss estão tentando controlar alguma coisa nas profundezas do mundo.,30,122403,53
|cnWHITE_FONT_COLOR:Traquinagem Goblínica|r|nInvestigue a presença dos goblins no Abismo Tak-Rethan.,31,122404,54
|cnWHITE_FONT_COLOR:Sequestrando farins|r|nVários farins foram sequestrados pelos kobyss!,32,122406,54
|cnWHITE_FONT_COLOR:Fúria de Feromônios|r|nKobyss roubaram caixas de feromônios para emboscar aliados da Fiandeira.,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:Terrano Sequestrado|r|nNerubianos sequestraram mineradores da Aldeia Freyalenha!,35,122341,56
|cnWHITE_FONT_COLOR:Minérios Preciosos|r|nAjude a revigorar os terranos enfraquecidos para combater os nerubianos.,36,122372,56
|cnWHITE_FONT_COLOR:Campos Abrasadores|r|nAjude um Luminar perdido a neutralizar a ameaça nerubiana.,37,122373,56
|cnWHITE_FONT_COLOR:Em busca de tesouros|r|nNada é capaz de deter um anão Ferro Negro em busca de um tesouro.,38,122374,56
|cnWHITE_FONT_COLOR:Gemas Perdidas|r|nNerubianos roubaram um baú de gemas de memória!,39,122409,63
|cnWHITE_FONT_COLOR:Skardyn Esmagador|r|nOs nerubianos estão usando skardyns para sequestrar mensageiros mecânicos!,40,122410,63
|cnWHITE_FONT_COLOR:Sequestro Kobold|r|nDois kobolds amistosos precisam de ajuda para resgatar os amigos dos nerubianos.,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
|cnWHITE_FONT_COLOR:Antigos Rituais|r|nOs Luminares precisam de ajuda para interromper um ritual nerubiano nas profundezas de um templo proibido.,43,122413,64
"|cnWHITE_FONT_COLOR:Chamado de Renilace|r|nA Ordem da Noite invadiu a Fenda Rastejante, acreditando que ela pode ajudar a concretizar o Renilace.",44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
"|cnWHITE_FONT_COLOR:Reino das Sombras|r|nA Fenda Rastejante está estranhamente silenciosa, a não ser por um único portal flutuando lá dentro.",46,122416,64
|cnWHITE_FONT_COLOR:Reféns Turturados|r|nPrisioneiros de toda Azeroth foram levados para a Trama Espiral para serem torturados.,47,122417,57
|cnWHITE_FONT_COLOR:Com Amor da Fiandeira|r|nA Fiandeira tem um plano para atrapalhar as operações da Trama Espiral.,48,122418,57
|cnWHITE_FONT_COLOR:Distúrbios Estranhos|r|nOs nerubianos na Trama Espiral estão agindo de forma estranha.,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
"|cnWHITE_FONT_COLOR:Poder de Zekvir|r|nZekvir, Mão da Emissária, habita este lugar. Só os mais fortes podem desafiar seu poder.",52,34450,61
|cnWHITE_FONT_COLOR:Escavadores perdidos|r|nGoblins que escavam na área não têm dado notícias.,53,129109,65
|cnWHITE_FONT_COLOR:Sangue negro lucrativo|r|nUm goblin quer lucrar com o sangue negro da região.,54,129110,65
|cnWHITE_FONT_COLOR:Fendas furiosas|r|nEstranhos rasgos se abriram por todo o Sítio de Escavação 9.,55,129111,65
|cnWHITE_FONT_COLOR:Tudo que reluz|r|nOs Sombrafuso roubaram ouro dos cidadãos e o estão usando para animar um elemental!,60,130367,66
|cnWHITE_FONT_COLOR:Sr. IMERSOR|r|nVários goblins mecânicos desapareceram no Ralo da Ruela.,61,130368,66
|cnWHITE_FONT_COLOR:Teleportadores descontrolados|r|nTeleportadores experimentais estão sendo usados para melhorar as operações dos Sombrafuso na região.,62,130369,66
"|cnWHITE_FONT_COLOR:Protótipo do Labirinto|r|nExplore uma vasta caverna repleta de nerubianos, fungorianos... e só a Luz sabe o que mais.",63,34450,67
|cnWHITE_FONT_COLOR:Um show histórico|r|nO Infrachefe é conhecido por ter pisoteado rivais diante de plateias lotadas no Domo da Demolição.,64,34450,68
|cnWHITE_FONT_COLOR:Velas corrompidas|r|nGoblins Sombrafuso estão saqueando o Repouso de Kriegval. Ajude os kobolds a restaurar a ordem.,65,133756,51
"|cnWHITE_FONT_COLOR:Operação Superchispa|r|nUma operação de perfuração gnômica está acontecendo aqui, mas os goblins Sombrafuso apareceram para causar estragos.",67,133769,50
|cnWHITE_FONT_COLOR:Insetos e vermes|r|nAjude a equipe de extermínio a cuidar de uma grande infestação.,68,133773,56
|cnWHITE_FONT_COLOR:Enxugando gelo|r|nOs goblins consertaram todos os velhos problemas... e acabaram criando mais um monte!,69,133774,52
|cnWHITE_FONT_COLOR:Sombrafuso interrompidos|r|nOs goblins Sombrafuso estão montando um equipamento. Acabe com os planos deles!,70,133778,63
|cnWHITE_FONT_COLOR:Relíquias dos Deuses Antigos|r|nOs capangas de Gallywix mexeram nas relíquias dos Deuses Antigos. Resolva isso antes que as coisas piorem!,71,133782,64
|cnWHITE_FONT_COLOR:Em busca de vingança|r|nAjude Nilce a acertar as contas com a Ordem da Noite.,73,133783,59
|cnWHITE_FONT_COLOR:Feriado dos órfãos|r|nAjude Alaíza Chamarco a continuar sua vingança sanguinária contra os kobyss.,75,133786,53
|cnWHITE_FONT_COLOR:Operação de terceiros|r|nAjude Madame Goya a impedir que Gallywix coloque as mãos no valioso sangue negro.,76,133788,60
|cnWHITE_FONT_COLOR:Areia na engrenagem|r|nAjude Pamsy e sua equipe a sabotar a operação de bombeamento de Gallywix.,77,133792,54
|cnWHITE_FONT_COLOR:Mecas de pitibiribas|r|nDestrua os mecas goblínicos com poder de fogo nerubiano.,78,133850,57
|cnWHITE_FONT_COLOR:Recuperação de Relíquia|r|nAjude a recuperar os artefatos que os etéreos estão saqueando do Arquivo Lazúli.,79,136927,69
|cnWHITE_FONT_COLOR:Asas Sombrias|r|nResgate os dracos azuis em que os etéreos invasores estão imbuindo caos.,80,136928,69
|cnWHITE_FONT_COLOR:Socar e Esmurrar|r|nRechace a ameaça dos etéreos usando a própria infraestrutura contra eles.,81,136929,69
|cnWHITE_FONT_COLOR:Catástrofe Culinária|r|nUm chef goblin tem ideias para explorar os recursos intocados da área.,82,137352,65
|cnWHITE_FONT_COLOR:Reintrodução de Crocoliscos|r|nSolte crocoliscos do esgoto da Inframina no habitat natural para ajudar a conservação a espécie.,83,137516,66
|cnWHITE_FONT_COLOR:Missão Cavaleiresca|r|nCavaleiros kobolds encurralaram uma fera cruel e precisam de ajuda para encontrar o covil dela.,84,137714,65
"|cnWHITE_FONT_COLOR:Demolição Explosiva|r|nLivre-se com ""segurança"" dos explosivos instáveis que estão acumulados nos esgotos.",85,138372,66
|cnWHITE_FONT_COLOR:Facas na escuridão|r|nKy'veza recebe apenas os alvos mais dignos e destemidos em seu lar.,86,34450,70
|cnWHITE_FONT_COLOR:Brilho invasor|r|nCorte a Profusão Verde de Floraluz antes que tome conta do campus inteiro!,87,144950,71
|cnWHITE_FONT_COLOR:Academia sob cerco|r|nAcabe com a invasão do Caos antes que se espalhe para além do campus!,88,144951,71
|cnWHITE_FONT_COLOR:Faculdade do medo|r|nDesmascare os professores falsos e acabe com a influência da Lâmina Crepuscular sobre o corpo estudantil.,89,144952,71
|cnWHITE_FONT_COLOR:A defesa da linha|r|nAjude a restabelecer as defesas da Nascente do Sol em face do novo ataque do Caos.,92,144941,72
|cnWHITE_FONT_COLOR:Marcha da Brigada Arcana|r|nAtive Sentinelas contra os Pilares do Caos da Hoste Devoradora.,93,144942,72
|cnWHITE_FONT_COLOR:Passagem de bombardeio|r|nDestrua bivaques da Hoste Devoradora no Caos usando poderosos explosivos arcanos em seu interior.,94,144943,72
|cnWHITE_FONT_COLOR:Teleportadores descontrolados|r|nTeleportadores experimentais estão sendo usados para melhorar as operações dos Sombrafuso na região.,95,5793,72
|cnWHITE_FONT_COLOR:Reintrodução de Crocoliscos|r|nSolte crocoliscos do esgoto da Inframina no habitat natural para ajudar a conservação a espécie.,96,5793,72
|cnWHITE_FONT_COLOR:Putricaule da Discórdia|r|nCause confusão entre fãs e lutadores usando o disfarce do seu alter ego vilanesco.,102,143768,74
|cnWHITE_FONT_COLOR:Campeão da Arena|r|nEnfrente várias rodadas de luta até chegar ao campeão atual.,103,143769,74
|cnWHITE_FONT_COLOR:Invasão de Floraluz|r|nAjude os fungorianos a rechaçar um ataque de floraluz.,104,143770,74
"|cnWHITE_FONT_COLOR:Adentre Tazavesh, o Mercado Oculto!|r|n|nLute no mercado oculto e impeça que So'leah siga em busca de poder.",107,92044,75
|cnWHITE_FONT_COLOR:Aniquilação de totem|r|nDestrua os totens amaldiçoados sendo usados pelos Ramatorpes para aprisionar Akil'zon em seu santuário.,108,144947,76
|cnWHITE_FONT_COLOR:Ritual interrompido|r|nInterrompa o ritual sacrifical dos trolls Ramatorpes e salve os filhotes Garra d'Almas.,109,144948,76
|cnWHITE_FONT_COLOR:Sapolutamente indecente|r|nDerrote os Ramatorpes e quebre a maldição mantendo os trolls Amani em forma de sapo.,110,144949,76
|cnWHITE_FONT_COLOR:Teleportadores descontrolados|r|nTeleportadores experimentais estão sendo usados para melhorar as operações dos Sombrafuso na região.,111,5793,76
|cnWHITE_FONT_COLOR:Reintrodução de Crocoliscos|r|nSolte crocoliscos do esgoto da Inframina no habitat natural para ajudar a conservação a espécie.,112,5793,76
|cnWHITE_FONT_COLOR:Penetras na festa|r|nImpeça a Lâmina Crepuscular de fazer contato com o Caos.,113,144935,77
|cnWHITE_FONT_COLOR:Preso!|r|nResgate os reféns esquecidos dentro das criptas.,114,144936,77
|cnWHITE_FONT_COLOR:Loa solto|r|nLiberte um loa descontrolado dos grilhões dos trolls Ramatorpe.,115,144937,77
|cnWHITE_FONT_COLOR:Teleportadores descontrolados|r|nTeleportadores experimentais estão sendo usados para melhorar as operações dos Sombrafuso na região.,116,5793,77
|cnWHITE_FONT_COLOR:Reintrodução de Crocoliscos|r|nSolte crocoliscos do esgoto da Inframina no habitat natural para ajudar a conservação a espécie.,117,5793,77
|cnWHITE_FONT_COLOR:Estratagemas de pórticos|r|nReconstrua a rede de pórticos do cofre. E desconstrua as forças etéreas de dentro!,118,138779,69
|cnWHITE_FONT_COLOR:Núcleo do problema|r|nReúna os Núcleos Energizados necessários para romper o controle dos domanaar sobre o Sacrário.,124,144944,79
|cnWHITE_FONT_COLOR:O efeito gravitacional|r|nUse o puxão gravitacional das microssingularidades para ganhar a vantagem sobre os domanaar.,125,144945,79
|cnWHITE_FONT_COLOR:Nada do que eu esperava|r|nResolva o caos causado pelos experimentos com Floraluz de Deremius Andoralba.,126,144946,79
|cnWHITE_FONT_COLOR:Teleportadores descontrolados|r|nTeleportadores experimentais estão sendo usados para melhorar as operações dos Sombrafuso na região.,127,5793,79
|cnWHITE_FONT_COLOR:Reintrodução de Crocoliscos|r|nSolte crocoliscos do esgoto da Inframina no habitat natural para ajudar a conservação a espécie.,128,5793,79
|cnWHITE_FONT_COLOR:Dominação e desespero|r|nNullaeus aguarda no interior por aqueles corajosos ou tolos o bastante para desafiar sua dominância.,134,34450,81
|cnWHITE_FONT_COLOR:Mana Roubado|r|nA Guarda Sombria drena mana de aliados e inimigos para alimentar suas máquinas.,135,144524,73
|cnWHITE_FONT_COLOR:Fauna Capturada|r|nFaça a vida selvagem da Tempestade do Caos se voltar contra a Guarda Sombria para sabotar suas operações.,136,144526,73
|cnWHITE_FONT_COLOR:Resultados: Calamitosos|r|nInterrompa os experimentos voláteis do Caos conduzidos pela Guarda Sombria.,137,144528,73
|cnWHITE_FONT_COLOR:Fim dos Traidores|r|nInterrompa os rituais sombrios da Lâmina Crepuscular e traga Antenoriano à justiça.,139,144779,78
