ID,Name_lang,Quantity,Flags
2,Gemas do Joalheiro,3,1
3,Pedra de Vida,1,0
4,Gema de Mana,1,0
6,Tempestita,1,1
7,Pérola Encantada,1,1
8,Vínculo da Luz,1,1
9,Pedra Vinculadora,1,1
10,Escolha da Morte,1,1
11,Veredito da Morte,1,1
12,Jura de Eitrigg,1,1
13,Fervor do Gelonato,1,1
14,Fetiche do Poder Volátil,1,1
15,Vitalidade do Jaganata,1,1
16,Rédeas dos Mortos,1,1
17,Rédeas do Vivo-morto,1,1
18,Escaravelho Iminente de Satrina,1,1
19,Consolo dos Derrotados,1,1
20,Consolo dos Caídos,1,1
21,Talismã do Poder Volátil,1,1
22,Vingança dos Renegados,1,1
23,Chamado de Victor,1,1
24,Elo da Agressão Insensível,1,0
25,Elo da Deplorável Violência,1,1
26,Elo do Rei Traidor,1,0
27,Elo das Gêmeas Val'kyr,1,1
28,Elo do Temperamento Violento,1,1
29,Elo Carnívoro,1,1
30,Círculo do Reparador Sombrio,1,1
31,Elo da Tempestade de Fogo,1,1
32,Anel da Tempestade de Fogo,1,1
33,Elo de Gormok,1,1
34,Argola das Gêmeas Val'kyr,1,1
35,Manifestação Lúrida,1,1
36,Elo do Espreitaplanos,1,1
37,Sinete do Espreitaplanos,1,1
38,Anel da Agressão Insensível,1,1
39,Anel da Agressão Insensível,1,1
40,Anel do Reparador Sombrio,1,1
41,Anel do Temperamento Violento,1,1
42,Sinete do Rei Traidor,1,1
43,Testar Limite de Anel,1,1
44,Ábaco de Althor,1,1
45,Bugiganga de Verossangue,1,1
46,Moeda da Língua Cadavérica,1,1
47,Determinação do Mortífero,1,1
48,Objeto Estrangeiro Desalojado,1,1
49,Filactério do Lich Inominável,1,1
50,Abominação Minúscula em Uma Jarra,1,1
51,Presa Impecável de Sindragosa,1,1
52,Anel Sangrento da Abominação,1,1
53,Sinete de Putrefação,1,1
54,Anel Espiral Cereja,1,1
55,Anel Rompedor de Rostorroto,1,1
56,Elo Forjado no Frio de Saurfang,1,1
57,Selo da Rainha do Crepúsculo,1,1
58,Sinete Tridentino,1,1
59,Aro do Colosso de Osso,1,1
60,Anel Eternamente Frio de Devium,1,1
61,Selo de Muitas Bocas,1,1
62,Anel de Safira Ninhálgida,1,1
63,Elo Jaganata,1,1
64,Argola do Labirinto sem Fim,1,1
65,Olho Frígido de Medulante,1,1
66,Memória de Malygos,1,1
67,Poder da Praga,1,1
68,Anel dos Sussurros Enlouquecedores,1,1
69,Anel da Rápida Ascensão,1,1
70,Círculo do Senhor Esqueletal,1,1
71,Outro Anel de Sinete de Valanar,1,1
72,Elo Encarnado de Recomposição,1,1
73,Luneta de Muradin,1,1
74,Lasca de Puro Gelo,1,1
75,Órgão Não Identificado,1,1
76,Caveira Sussurrante com Presas,1,1
77,Escama Crepuscular,1,1
78,Anel da Regeneração Modular,1,1
79,Tributo de Saviana,1,1
80,Sinete do Crepúsculo,1,1
81,Oferenda de Zarithrian,1,1
82,Escama Crepuscular Afiada,1,1
83,Escama Crepuscular Petrificada,1,1
84,Escama Crepuscular Faiscante,1,1
85,Escama Crepuscular Chamuscada,1,1
86,Frasco da Guilda,1,0
89,Peso Esmagador,1,1
90,Essência do Ciclone,1,1
91,Queda da Mortalidade,1,1
92,Coração de Ignícius,1,1
93,Espelho de Theralion,1,1
94,Ampola das Memórias Roubadas,1,1
95,Sino da Ressonância Enfurecedora,1,1
96,Coração da Ira,1,1
97,Jarra dos Antigos Remédios,1,1
98,Talismã da Maquinação do Prestor,1,1
99,Verme Simbiótico,1,1
100,Poder do Oceano,1,1
101,Caranguejo de Porcelana,1,1
102,Estrela do Mar,1,1
103,Graça do Arauto,1,1
104,Ampulheta da Bruxaria,1,1
105,Chave da Câmara Infinda,1,1
106,Desespero Plúmbeo,1,1
107,Espelho de Magnetita,1,1
108,Lágrima de Sangue,1,1
109,Gavinhas da Escuridão Penetrante,1,1
110,Coração do trovão,1,1
111,Canção da chuva,1,1
112,Coração do Consolo,1,1
113,Canção do Pesar,1,1
114,Graça de Tia,1,1
115,Hinário de Anhuur,1,1
116,Sangue de Isiset,1,1
117,Olho Esquerdo de Rajh,1,1
118,Olho Direito de Rajh,1,1
119,Casca de Ovo Corrompida,1,1
120,Vendaval de Sombras,1,1
121,Marca de Khardros,1,1
122,Graça dos Skardyn,1,1
123,Dedo de Throngus,1,1
129,Porca Vomitomática,1,1
130,Pedra do Alquimista,1,1
132,Balança da Vida,1,1
133,Capacitor de Relâmpagos de Pulso Variável,1,1
134,Mandíbulas da Derrota,1,1
135,Fome Incontrolável,1,1
136,Aparato de Khaz'goroth,1,1
137,Fuso de Seda de Aranha,1,1
138,Foco Necromântico,1,1
139,Olho de Poder Fulgurante,1,1
140,Reestabilizador Matricial,1,1
141,Instrumento de Aceleração,1,1
142,Suspensão da Execução,1,1
143,Runa de Zeth,1,1
145,Quintessência Abrasadora,1,1
146,Semente Antiga Petrificada,1,1
147,Essência da Chama Eterna,1,1
148,Flamajoia,1,1
150,Sinete dos Vingadores,1,1
151,Beijo da Viúva,1,1
152,Anel da Prisão de Cristal,1,1
153,Anel de Alysrazor,1,1
155,Anel de Enxofre,1,1
158,Selobrasa de Theck,1,1
166,Argola da Descida de Emergência,1,1
167,Selo do Grande Arquiteto,1,1
168,Elo da Reconstrução,1,1
169,Sinete do Resoluto,1,1
170,Anel da Carne Rasgada,1,1
171,Elo Tira-fôlego,1,1
172,Anel dos Corações Duros,1,1
173,Selo da Sombra Primordial,1,1
174,Argola Infinita,1,1
175,Sinete da Sutura,1,1
176,Sinete das Bocas Mordazes,1,1
177,Anel dos Retalhados,1,1
178,Garra do Crepúsculo Curvada,1,1
179,Reflexo da Luz,1,1
180,Desejos Engarrafados,1,1
181,Signo Quiroptírico,1,1
182,Caveira Apodrecida,1,1
183,Fogo das Profundezas,1,1
184,Olho do Desfazer,1,1
185,Ira do Desacorrentar,1,1
186,Resolução do Desmorrer,1,1
187,Vontade do Desprender,1,1
188,Coração do Desviver,1,1
189,Cajila do Dragão Final,1,1
190,Vórtice Mutalmas,1,1
191,Fetiche de Elos Ósseos,1,1
192,Ampola de Sombras,1,1
193,Orgulho Indomável,1,1
194,Astúcia dos Cruéis,1,1
195,Coração da Proteção Eólica,1,1
196,Compasso do Caça-estrelas,1,1
197,Selo dos Sete Sinais,1,1
198,Insígnia da Mente Corrompida,1,1
201,Tesouro Mogu,1,0
203,Faceta do Joalheiro,2,1
204,Pedra de Familiar,1,0
205,Gema de Mana Brilhante,1,0
206,Carta de Negraluna de Névoas,1,1
207,Cristal do Medo,1,1
208,Garrafa de Estrelas Infinitas,1,1
209,Vórtice Névoa Negra,1,1
210,Essência do Terror,1,1
211,Estatueta de Bandido de Jade,1,1
212,Estatueta de Charreteiro de Jade,1,1
213,Estatueta de Cortesã de Jade,1,1
214,Estatueta de Juiz de Jade,1,1
215,Estatueta de Senhor da Guerra de Jade,1,1
216,Ordens Finais de Lei Shen,1,1
217,Luz do Cosmos,1,1
218,Selo Polarizante de Qin-xi,1,1
219,Espíritos do Sol,1,1
220,Matéria-prima de Pesadelos,1,1
221,Terror na Névoa,1,1
222,Frasco com Sangue de Dragão,1,1
223,Elo das Novas Troantes,1,1
224,Circuito da Alma Frágil,1,1
225,Anel da Sombra do Medo,1,1
226,Anel dos Sonhos de Feng,1,1
227,Selo do Vínculo de Feng,1,1
228,Fragmento de Medo Encarnado,1,1
229,Anel Espinhento Doloroso,1,1
230,Anel do Infinito de Regail,1,1
231,Anel da Tempestade de Lâminas,1,1
232,Anel da Concha Estilhaçada,1,1
233,Selo do Profano,1,1
234,Sinete de Rubi do Vizir,1,1
235,Sinete Almágua,1,1
236,Antiguidades do Lótus Dourado,1,1
237,Antiguidades do Shado-Pan,1,1
238,Antiguidades do Shado-Pan,1,1
239,Anéis de Diamantes Pretos Brilhantes,1,1
240,Armadilha Resistente,1,0
241,Comenda Brutal da Ofensiva de Dominância,1,1
242,Comenda Maior da Operação: Muralha de Escudos,1,1
243,Comenda Menor da Ofensiva de Dominância,1,1
244,Comenda Menor da Operação: Muralha de Escudos,1,1
245,Antiguidades da Operação: Muralha de Escudos,1,1
246,Antiguidades da Ofensiva de Dominância,1,1
247,Cartão de Desafio,1,0
249,Engrenagem Embebida em Sangue,1,1
250,Antiguidades do Ataque Shado-Pan,1,1
251,Cristal da Alma de Jin'rokh,1,1
252,Anel de Shamuru,1,1
253,Lasca de Sonho de Jin'rokh,1,1
254,Olho Aprisionado de Durumu,1,1
255,Selo Espilâmina,1,1
256,Símbolo do Deus Ensanguentado,1,1
257,Tentáculo Amputado de Durumu,1,1
258,Lembrança de Ro'shak,1,1
259,Elo do Tirano Escamoso,1,1
260,Olho Petrificado do Basilisco,1,1
261,Juju do Mal,1,1
262,Sopro da Hidra,1,1
263,Essência do Esplendor de Cha-Ye,1,1
264,Ampola Delicada do Sanguinário,1,1
265,Pena Fabulosa de Ji-Kun,1,1
266,Fortitude dos Zandalari,1,1
267,Olhar das Gêmeas,1,1
268,Último Suspiro de Horridon,1,1
269,Bolsa de Ova de Hidra Inscrita,1,1
270,Vento Crescente de Ji-Kun,1,1
271,Cálice Imbuído em Relâmpago,1,1
272,Talismã da Ira de Primordius,1,1
273,Patuá de Renataki,1,1
274,Runa da Recriação,1,1
275,Barreira de Almas,1,1
276,Centelha de Zandalar,1,1
277,Relíquia Roubada de Zuldazar,1,1
278,Talismã da Sede de Sangue,1,1
279,Visão Infalível de Lei Shen,1,1
280,Última Escolha de Vuxulai,1,1
281,Antiguidades da Ofensiva do Kirin Tor,1,1
282,Antiguidades da Investida Fendessol,1,1
283,Talismãs do Ataque Shado-Pan,1,1
287,Manto da Virtude,1,1
288,,1,1
289,,1,1
290,,1,1
291,,1,1
292,,1,1
293,,1,1
294,,1,1
295,Disciplina de Xuen,1,1
296,Mordida de Yu'on,1,1
297,Contemplação de Chi-Ji,1,1
298,Diligência de Xuen,1,1
299,Resolução de Niuzao,1,1
300,Anel Petrificado de Pennyroyal,1,1
301,Brasa Extinta de Galakras,1,1
302,Selo Hereditário de Iyyokuk,1,1
303,Selo das Mágoas Eternas,1,1
304,Selo da Fúria Amuada,1,1
305,Sinete do Fatiamento Laser,1,1
306,Sinete dos Dinomantes,1,1
307,Sinete do Caminho da Mágoa,1,1
308,Selo de Sangue Asgorathiano,1,1
309,Selo dos Reis Esquecidos,1,1
310,PH,1,1
311,Anel de Sangarra,1,1
312,Anel de Controle de Galakrond,1,1
313,Anel da Tumba de Ferro,1,1
314,Elo da Presa do Diabo,1,1
315,PH,1,1
316,Anel Estripador da Realidade,1,1
317,Sinete Ágil da Serpente,1,1
318,Anel de Energia Incansável,1,1
319,Elo Ascendente de Kil'ruk,1,1
320,Certeza da Consequência,1,1
321,Ataduras Purificadas de Immerseus,1,1
322,Insígnia Polida de Nazgrim,1,1
323,Núcleo do Fogo de Fusão,1,1
324,Talismã Azarado de Rook,1,1
325,Cristal de Concentração do Jaganata,1,1
326,Olho Malévolo de Galakras,1,1
327,Prisão Prismática do Orgulho,1,1
328,Totem Tóxico de Kardris,1,1
329,Talismã de Haromm,1,1
330,Signo da Desordem,1,1
331,Cristal de Raiva Enfurecido,1,1
332,Dente Escavado com Ácido de Thok,1,1
333,Ponta da Cauda de Thok,1,1
334,Frasco de Corrupção Viva,1,1
335,Maldição da Soberba,1,1
336,Talismã Ensanguentado de Skeer,1,1
337,Rebimboca Dismorfa da Descontinuidade,1,1
338,Sangue Negro de Y'Shaarj,1,1
339,Detonador Tiquetaqueante de Ébano,1,1
340,Crisol da Rocha Negra,3,0
341,Senhores da Guerra Criados,3,1
342,Item da Oficina de Engenharia,1,0
343,Fruta da Guarnição,5,0
344,Ilusão do Encantador,1,0
345,Elo do Arquimago,1,1
346,Criado - Legion,3,1
347,Anel do Pirata Fantasma,1,1
348,Olho de Sabre,1,1
349,Matador de Demônio,1,1
350,Relíquia Criada,1,1
351,Frasco Rubro,3,0
352,Cerveja Ligeira,2,0
353,Test Item Limit Category Crafted,3,1
357,Lendário de Legion,1,1
358,Elos do Invasor,1,1
359,Berloques do Invasor,1,1
360,Selos Violeta,1,1
361,Olhos dos Canazes,1,1
362,Caminho dos Titãs,1,1
463,Olho-de-kraken,1,1
464,Aro de Olho-de-kraken,1,1
465,Cartão Perfurado Vermelho,1,1
466,Cartão Perfurado Amarelo,1,1
467,Cartão Perfurado Azul,1,1
468,Olho-de-leviatã,1,1
469,Aro de Olho-de-leviatã,1,1
471,Frasco de Serenidade,3,0
472,Baralho de Negraluna,1,1
473,Lendário Criado de Shadowlands,1,1
474,Medalhões do Gladiador,1,1
481,Criado nas Terras Sombrias,1,1
482,Estilhaço Sanguíneo de Rev,1,1
483,Estilhaço Sanguíneo de Jas,1,1
484,Estilhaço Sanguíneo de Bek,1,1
486,Estilhaço Gélido de Kor,1,1
487,Estilhaço Gélido de Kyr,1,1
488,Estilhaço Gélido de Tel,1,1
489,Estilhaço Profano de Dyz,1,1
490,Estilhaço Profano de Oth,1,1
491,Estilhaço Profano de Zed,1,1
492,Melodia Pessoal,1,1
493,Ritmos de Batalha,1,1
494,Harmonia de Pocopoc,1,1
