ID,AllowableRace,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],AllowableRaces[0],AllowableRaces[1]
25,-1,Espadim Usado,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
35,-1,Cajado Curvado,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
36,-1,Maça Gasta,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
37,-1,Machado Usado,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
38,-1,Camisa do Recruta,2,0,0,0,-1,0,0,0,0,1,36864,8192,8388608,0,0,-1,-1
39,-1,Calças do Recruta,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
40,-1,Botas do Recruta,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
43,-1,Botas do Escudeiro,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
44,-1,Calças do Escudeiro,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
45,-1,Camisa do Escudeiro,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
47,-1,Sapatos do Salteador,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
48,-1,Calças do Salteador,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
49,-1,Camisa do Salteador,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
51,-1,Botas do Neófito,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
52,-1,Calças do Neófito,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
53,-1,Camisa do Neófito,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
55,-1,Botas do Aprendiz,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
56,-1,Veste do Aprendiz,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
57,-1,Veste do Acólito,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
59,-1,Sapatos do Acólito,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
60,-1,Túnica em Camadas,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
61,-1,Calças de Couro Enânicas,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
79,-1,Calcilhas Enânicas de Tecido,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
80,-1,Sapatos Macios Forrados de Pelame,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
85,-1,Colete de Couro Sujo,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
120,-1,Calças do Capanga,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
121,-1,Botas do Meliante,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
127,-1,Camisa do Coureador,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
129,-1,Botas Rústicas do Coureador,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
139,-1,Calças do Brigão,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
140,-1,Botas do Brigão,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
147,-1,Calças Grosseiras do Coureador,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
148,-1,Camisa Grosseira do Coureador,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
153,-1,Kilt Primitivo,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
154,-1,Poncho Primitivo,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
193,-1,Colete de Tecido Esfarrapado,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
194,-1,Calças de Tecido Esfarrapado,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
195,-1,Botas de Tecido Esfarrapado,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
200,-1,Colete de Tecido Grosso,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
201,-1,Calças de Tecido Grosso,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
202,-1,Sapatos de Tecido Grosso,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
203,-1,Luvas de Tecido Grosso,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
209,-1,Calças de Couro Sujas,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
210,-1,Botas de Couro Sujas,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
236,-1,Armadura de Couro Curado,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
237,-1,Calças de Couro Curado,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
238,-1,Botas de Couro Curado,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
239,-1,Luvas de Couro Curado,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
285,-1,Colete de Malha em Escamas,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
286,-1,Calças de Malha em Escamas,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
287,-1,Botas de Malha em Escamas,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
647,-1,Destino,4,0,0,0,-1,22,0,0,0,28,0,8192,0,0,0,-1,-1
710,-1,Braçadeiras da Milícia do Povo,1,0,0,0,-1,0,0,0,0,7,0,8192,8388608,0,0,-1,-1
711,-1,Luvas de Tecido Esfarrapado,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
714,-1,Luvas de Couro Sujas,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
718,-1,Luvas de Malha em Escamas,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
719,-1,Luvas do Tratador de Coelhos,1,0,0,0,-1,0,0,0,0,1,0,8192,8388608,0,0,-1,-1
720,-1,Luvas do Brigão,3,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
727,-1,Espada Curta Chanfrada,2,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
753,-1,Espada Curta Presa do Dragão,2,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
754,-1,Espada Curta da Vingança,3,0,0,0,-1,18,0,0,0,25,0,8192,0,0,0,-1,-1
756,-1,Picareta de Túnel,2,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
763,-1,Braçadeiras Cobertas de Gelo,1,0,0,0,-1,3,0,0,0,6,0,8192,0,0,0,-1,-1
766,-1,Maça Bordejada,1,0,0,0,-1,2,0,0,0,3,0,8192,0,0,0,-1,-1
767,-1,Cajado Bô Longo,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
768,-1,Machado de Lenhador,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
776,-1,Vendeta,3,0,0,0,-1,13,0,0,0,20,524288,8192,0,0,0,-1,-1
778,-1,Picareta de Escavação Kobold,1,0,0,0,-1,2,0,0,0,3,0,8192,0,0,0,-1,-1
781,-1,Martelo de Pedra dos Gnolls,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
789,-1,Martelo de Batalha Corpulento,2,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
790,-1,Machado do Mateiro,2,0,0,0,-1,9,0,0,0,14,0,8192,0,0,0,-1,-1
791,-1,Cajado Fraxíneo Nodoso,3,0,0,0,-1,12,0,0,0,19,0,8192,0,0,0,-1,-1
792,-1,Sandálias Tricotadas,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
793,-1,Luvas Tricotadas,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
794,-1,Calças Tricotadas,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
795,-1,Túnica Tricotada,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
796,-1,Botas de Couro Áspero,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
797,-1,Luvas de Couro Áspero,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
798,-1,Calças de Couro Grosseiro,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
799,-1,Vestimenta de Couro Áspero,1,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
809,-1,Navalha Sangrenta,4,0,0,0,-1,20,0,0,0,26,0,8192,0,0,0,-1,-1
810,-1,Martelo do Vento do Norte,4,0,0,0,-1,21,0,0,0,27,0,8192,0,0,0,-1,-1
811,-1,Machado das Matas Profundas,4,0,0,0,-1,22,0,0,0,28,0,8192,0,0,0,-1,-1
812,-1,Cajado Faiscante do Bosque Brilhante,4,0,0,0,-1,21,0,0,0,27,0,8704,0,0,0,-1,-1
816,-1,Faquinha de Combate,2,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
820,-1,Lâmina Fatiadora,2,0,0,0,-1,6,0,0,0,10,0,8192,0,0,0,-1,-1
821,-1,Colete de Couro dos Pata Molhada,2,0,0,0,-1,4,0,0,0,6,0,8192,0,0,0,-1,-1
826,-1,Machado Embrutecido dos Pata Molhada,2,0,0,0,-1,5,0,0,0,8,0,8192,0,0,0,-1,-1
827,-1,Cassetete Malvado,2,0,0,0,-1,6,0,0,0,10,0,8192,0,0,0,-1,-1
832,-1,Cinto Prateado dos Défias,2,0,0,0,-1,5,0,0,0,8,0,8192,0,0,0,-1,-1
