ID,Text_lang
1,[SERVIDOR] Desligamento em %s
2,[SERVIDOR] Reinicialização em %s
3,%s
4,[SERVIDOR] Desligamento cancelado
5,[SERVIDOR] Reinicialização cancelada
6,[SERVIDOR] Desligamento do Campo de Batalha em %s
7,[SERVIDOR] Reinicialização do Campo de Batalha em %s
8,[SERVIDOR] Desligamento da Instância em %s
9,[SERVIDOR] Reinicialização da Instância em %s
11,Sua consulta será respondida em breve.
12,Tempo de espera indisponível.
13,"Tempo de espera médio:
 %s"
17,[SERVIDOR] Desligamento da zona entre-reinos em %s
18,[SERVIDOR] Reinicialização da zona entre-reinos em %s
124,DEBUG: Confrontar %s
125,Desligamento de Mítico+ em %s
