ID,Name_lang,HordeName_lang,ParentTradeSkillCategoryID,SkillLineID,OrderIndex,Flags
58,Culinária de Feriado,,72,185,4,0
59,Véu de Inverno,,58,185,0,0
63,Culinária do Dia a Dia,,90,185,7,0
64,Caminho da Grelha,,90,975,1,1
65,Caminho da Wok,,90,976,2,1
66,Caminho da Panela,,90,977,3,1
67,Caminho da Vaporeira,,90,978,4,1
68,Caminho do Forno,,90,979,5,1
69,Caminho da Infusão,,90,980,6,1
70,Delícias Incomuns,,72,185,5,0
72,Antigas Receitas do Mundo,,1016,2548,999,1
73,Pratos de Terralém,,1017,2547,990,1
74,Receitas do Norte Gelado,,1018,2546,980,1
75,Receitas do Cataclismo,,1019,2545,970,1
76,Básico,,379,165,0,0
84,Outro,,362,197,10,0
90,Cuisine Pandarênica,,1015,2544,960,1
91,Glifos,,450,773,140,0
92,Glifo - Mago,,415,773,170,0
93,Glifo - Sacerdote,,415,773,200,0
94,Glifo - Bruxo,,415,773,230,0
95,Glifo - Druida,,415,773,150,0
96,Glifo - Monge,,415,773,180,0
97,Glifo - Ladino,,415,773,210,0
98,Glifo - Caçador,,415,773,160,0
99,Glifo - Xamã,,415,773,220,0
100,Glifo - Paladino,,415,773,190,0
101,Glifo - Guerreiro,,415,773,240,0
102,Cajados & Varinhas,,415,773,70,0
103,Mão Secundária,,415,773,80,0
104,Tinta,,415,773,20,0
105,Mente limpa,,415,773,110,0
106,Carta,,415,773,50,0
107,Pergaminhos,,415,773,100,0
108,Pesquisa,,415,773,10,0
113,Glifo,,415,773,0,0
114,Outro,,415,773,250,0
115,Missão,,415,773,60,0
116,Ofícios,,415,773,90,0
117,Teleporte,,415,773,120,0
118,Material,,415,773,0,0
119,Escrivania para Ombros,,763,773,60,0
127,Uso pessoal,,415,773,30,0
128,Vinculado ao equipar,,415,773,20,0
130,Vinculado ao usar,,415,773,20,0
131,Vinculado ao pegar,,415,773,10,0
150,Bandagens,,397,129,100,0
151,Antídotos,,397,129,200,0
164,Gemas Azuis,,372,755,15,0
165,Armas de Punho,,372,755,90,0
166,Gemas Verdes,,372,755,30,0
167,Coroas e Acessórios,,372,755,80,0
168,Materiais,,372,755,65,0
169,Metagemas,,372,755,40,0
170,Montarias,,372,755,60,0
171,Colares,,372,755,55,0
172,Gemas Laranja,,372,755,25,0
173,Gemas Prismáticas,,372,755,45,0
174,Gemas Roxas,,372,755,35,0
175,Gemas Vermelhas,,372,755,10,0
176,Anéis,,372,755,50,0
177,Prismas,,372,755,70,0
178,Estátuas,,372,755,95,0
179,Ajudantes e projetos,,372,755,75,0
180,Berloques,,372,755,85,0
181,Gemas Amarelas,,372,755,20,0
182,Engenhoqueiros,,419,202,1025,0
183,Peças,,419,202,1020,0
184,Explosivos,,419,202,1030,0
185,Óculos,,419,202,1040,0
186,"Armadura, Vestimenta",,419,202,1050,0
187,"Armadura, Berloques",,419,202,1060,0
188,Dispositivos,,419,202,1070,0
189,Armas de Fogo & Arcos,,419,202,1080,0
190,Miras,,419,202,1090,0
191,Ferramentas,,419,202,1100,0
192,Montarias,,419,202,1110,0
193,Engrenagens,,419,202,1100,0
194,Fogos de Artifício,,419,202,1100,0
195,Pesca,,419,202,1100,0
196,Robótica,,419,202,1100,0
197,Viagem,,419,202,1100,0
198,Cinto,,419,202,1100,0
199,Luvas,,419,202,1100,0
200,Manto,,419,202,1100,0
201,Letal,,419,202,1100,0
202,Consumível,,419,202,1100,0
203,Utilitário,,419,202,1100,0
204,Armadura Energizada,,419,202,1000,0
210,Runas,,0,960,0,0
214,Pesquisa,,372,755,-1,0
215,Materiais,,590,164,10,0
216,Modificações de Arma,,590,164,20,0
217,Modificações de Armadura,,590,164,30,0
218,Elmos,,590,164,40,0
219,Ombros,,590,164,50,0
220,Torso,,590,164,60,0
221,Manoplas,,590,164,70,0
222,Braçadeiras,,590,164,80,0
223,Cintos,,590,164,90,0
224,Pernas,,590,164,100,0
225,Botas,,590,164,110,0
226,Escudos,,590,164,120,0
227,Armas,,590,164,130,0
228,Chaves-mestras,,590,164,140,0
229,Engaste,,590,164,150,0
230,Materiais,,362,197,1,0
231,Bordado,,362,197,20,0
232,Magilinhas,,362,197,30,0
233,Bolsas,,362,197,40,0
234,Chapéu & Capuz,,362,197,50,0
235,Ombros,,362,197,60,0
236,Vestes & Túnicas,,362,197,70,0
237,Braçadeiras,,362,197,80,0
238,Cintos,,362,197,90,0
239,Luvas,,362,197,100,0
240,Calças,,362,197,110,0
241,Botas,,362,197,120,0
242,Mantos,,362,197,130,0
243,Camisas,,362,197,140,0
244,Montarias,,362,197,150,0
245,Redes,,362,197,160,0
246,Especial,,362,197,170,0
247,Materiais,,379,165,10,0
248,Relevos,,379,165,20,0
249,Kits de Armadura,,379,165,30,0
250,Bolsas,,379,165,40,0
251,Elmos,,379,165,50,0
252,Ombros,,379,165,60,0
253,Torso,,379,165,70,0
254,Braçadeiras,,379,165,80,0
255,Luvas,,379,165,90,0
256,Cintos,,379,165,100,0
257,Calças,,379,165,110,0
258,Botas,,379,165,120,0
259,Mantos,,379,165,130,0
260,Especial,,379,165,140,0
261,Tambores,,379,165,35,0
264,Fundição,,1078,186,0,0
265,Elemental,,1076,186,1,0
296,Pesquisa,,379,165,1,0
297,Treinamento de Projetos,,590,164,160,0
332,Alquimia de Draenor,,594,2480,950,1
333,Reagentes e Pesquisa,,332,171,100,0
334,Frascos,,332,171,200,0
335,Poções e Elixires,,332,171,300,0
336,Berloques e Aprimoramentos de Berloque,,332,171,400,0
342,Comida de Draenor,,1013,2543,950,1
343,Pratos de Carne,,342,185,20,0
344,Pratos de Peixe,,342,185,30,0
345,Banquetes,,342,185,5,0
346,Iguarias,,342,185,10,0
347,Engenharia Draenoriana,,711,2501,950,1
348,Encantamento Draenoriano,,648,2488,950,1
349,Manto,,348,333,200,0
350,Pescoço,,348,333,300,0
351,Anel,,348,333,400,0
352,Arma,,348,333,100,0
354,Outros,,348,333,500,0
361,Aprimoradores de Item,,410,773,200,0
362,Moldes de Alfaiataria,,957,2540,999,1
363,Armadura,,369,197,40,0
364,Tinturas e Linha,,369,197,30,0
365,Bolsas,,369,197,20,0
366,Reagentes e Pesquisa,,369,197,1,0
367,Outro,,369,197,50,0
368,Mantos,,369,197,45,0
369,Moldes de Draenor,,948,2535,950,1
372,Desenhos de Joalheria,,816,2524,999,1
373,Desenhos de Draenor,,807,2519,950,1
374,Reagentes e Pesquisa,,373,755,10,0
375,Aprimoradores de Joias,,373,755,20,0
376,Joias,,373,755,30,0
377,Gemas,,373,755,40,0
378,Outro,,373,755,50,0
379,Moldes de Couraria,,874,2532,999,1
380,Moldes de Draenor,,873,2527,950,1
381,Reagentes e Pesquisa,,380,165,10,0
382,Armadura de Couro,,380,165,40,0
383,Armadura de Malha,,380,165,50,0
384,Aprimoradores de Armadura,,380,165,30,0
385,Mantos,,380,165,60,0
386,Bolsas,,380,165,20,0
388,Outro,,380,165,70,0
389,Instruções de Draenor,,551,2472,950,1
390,Reagentes e Pesquisa,,389,164,10,0
391,Aprimoradores de Item,,389,164,30,0
392,Armadura,,389,164,40,0
393,Escudos e Armas,,389,164,50,0
394,Outro,,389,164,60,0
396,Curas de Draenor,,0,129,10,0
397,Remédios Velhos,,0,129,100,0
399,Ilusões,,348,333,10,0
400,Estandartes de Batalha,,369,197,17,0
401,Outros,,369,197,10,0
402,Tendas,,380,165,50,0
403,Pedidos de Comerciante,,410,773,50,0
407,Reagentes e Pesquisa,,347,202,0,0
408,Engenhocas Consumíveis,,347,202,100,0
409,Reagentes e Pesquisa,,348,333,20,0
410,Escrivania de Draenor,,761,2509,950,1
411,Cajados & Varinhas,,410,773,500,0
412,Carta,,410,773,400,0
413,Mão Secundária,,410,773,600,0
414,Reagentes e Pesquisa,,410,773,100,0
415,Escrivania do Classic,,770,2514,999,1
416,Óculos,,347,202,100,0
417,Robótica,,347,202,300,0
418,Dispositivos,,347,202,200,0
419,Engenharia,,720,2506,999,1
420,Ferramentas,,410,773,100,0
423,Transmutação,,332,171,200,0
424,Treinamento,,426,164,0,0
425,Mineração de Legion,,1066,2566,940,1
426,Instruções de Legion,,545,2454,940,1
427,Armadura,,426,164,40,0
428,Outro,,426,164,60,0
429,Reagentes,,426,164,10,0
430,Moldes de Legion,,947,2534,940,1
431,Mantos,,430,197,30,0
432,Treinamento,,430,197,0,0
